step,reward,seed
0,4.0,3
100000,256.3,3
200000,668.7,3
300000,880.2,3
400000,981.0,3
500000,974.8,3
600000,901.4,3
700000,974.2,3
800000,983.1,3
900000,973.4,3
1000000,984.3,3
1100000,978.4,3
1200000,982.5,3
1300000,977.4,3
1400000,981.6,3
1500000,977.9,3
1600000,983.6,3
1700000,982.5,3
1800000,983.2,3
1900000,982.0,3
2000000,978.4,3
2100000,980.4,3
2200000,982.4,3
2300000,981.5,3
2400000,984.3,3
2500000,981.5,3
2600000,981.9,3
2700000,981.8,3
2800000,979.7,3
2900000,983.1,3
3000000,983.5,3
3100000,981.6,3
3200000,979.7,3
3300000,981.7,3
3400000,981.2,3
3500000,978.7,3
3600000,982.2,3
3700000,979.7,3
3800000,981.3,3
3900000,982.6,3
4000000,975.0,3
0,23.4,2
100000,479.1,2
200000,972.9,2
300000,896.9,2
400000,973.4,2
500000,879.0,2
600000,969.4,2
700000,977.1,2
800000,980.2,2
900000,882.6,2
1000000,981.1,2
1100000,980.9,2
1200000,977.8,2
1300000,985.9,2
1400000,981.9,2
1500000,981.2,2
1600000,977.5,2
1700000,988.3,2
1800000,978.9,2
1900000,977.9,2
2000000,978.4,2
2100000,977.2,2
2200000,980.4,2
2300000,984.3,2
2400000,981.4,2
2500000,982.9,2
2600000,976.3,2
2700000,983.7,2
2800000,977.4,2
2900000,979.1,2
3000000,978.7,2
3100000,978.8,2
3200000,982.7,2
3300000,982.7,2
3400000,978.5,2
3500000,969.5,2
3600000,985.2,2
3700000,980.9,2
3800000,968.3,2
3900000,983.3,2
4000000,985.9,2
0,19.2,1
100000,507.3,1
200000,971.2,1
300000,972.0,1
400000,885.1,1
500000,887.4,1
600000,977.2,1
700000,980.1,1
800000,979.3,1
900000,984.9,1
1000000,977.7,1
1100000,931.6,1
1200000,986.5,1
1300000,980.1,1
1400000,985.0,1
1500000,980.9,1
1600000,980.0,1
1700000,982.3,1
1800000,986.2,1
1900000,983.0,1
2000000,981.7,1
2100000,983.9,1
2200000,977.4,1
2300000,981.4,1
2400000,982.7,1
2500000,976.9,1
2600000,987.1,1
2700000,979.2,1
2800000,987.9,1
2900000,980.3,1
3000000,982.1,1
3100000,984.6,1
3200000,981.8,1
3300000,982.9,1
3400000,985.4,1
3500000,982.0,1
3600000,968.9,1
3700000,979.7,1
3800000,982.1,1
3900000,982.5,1
4000000,984.5,1
