step,reward,seed
0,33.9,3
100000,883.3,3
200000,945.4,3
300000,974.1,3
400000,979.5,3
500000,969.9,3
600000,942.2,3
700000,976.8,3
800000,976.0,3
900000,976.2,3
1000000,972.3,3
1100000,975.6,3
1200000,978.6,3
1300000,977.9,3
1400000,975.5,3
1500000,975.2,3
1600000,929.5,3
1700000,978.7,3
1800000,975.1,3
1900000,973.5,3
2000000,958.1,3
2100000,875.6,3
2200000,980.1,3
2300000,982.2,3
2400000,982.1,3
2500000,885.9,3
2600000,982.9,3
2700000,983.9,3
2800000,979.0,3
2900000,981.3,3
3000000,982.4,3
3100000,978.6,3
3200000,985.4,3
3300000,984.2,3
3400000,973.3,3
3500000,980.0,3
3600000,979.7,3
3700000,977.7,3
3800000,978.6,3
3900000,984.2,3
4000000,978.9,3
0,41.6,1
100000,839.5,1
200000,973.6,1
300000,976.4,1
400000,978.1,1
500000,873.8,1
600000,973.1,1
700000,975.9,1
800000,871.8,1
900000,980.3,1
1000000,879.5,1
1100000,979.9,1
1200000,975.5,1
1300000,973.4,1
1400000,925.6,1
1500000,978.0,1
1600000,972.8,1
1700000,979.2,1
1800000,983.5,1
1900000,982.5,1
2000000,974.7,1
2100000,977.9,1
2200000,872.9,1
2300000,979.7,1
2400000,982.5,1
2500000,978.3,1
2600000,974.5,1
2700000,979.7,1
2800000,980.2,1
2900000,981.8,1
3000000,982.4,1
3100000,981.5,1
3200000,983.1,1
3300000,979.5,1
3400000,983.2,1
3500000,984.1,1
3600000,985.7,1
3700000,979.4,1
3800000,986.9,1
3900000,978.2,1
4000000,978.9,1
0,102.2,2
100000,918.7,2
200000,968.5,2
300000,973.1,2
400000,976.7,2
500000,972.5,2
600000,975.0,2
700000,875.7,2
800000,977.4,2
900000,975.6,2
1000000,979.1,2
1100000,976.6,2
1200000,980.5,2
1300000,978.5,2
1400000,983.1,2
1500000,981.1,2
1600000,982.0,2
1700000,982.4,2
1800000,975.7,2
1900000,979.3,2
2000000,977.2,2
2100000,984.1,2
2200000,977.2,2
2300000,985.3,2
2400000,981.5,2
2500000,982.4,2
2600000,977.8,2
2700000,980.9,2
2800000,974.5,2
2900000,980.2,2
3000000,884.3,2
3100000,981.0,2
3200000,983.4,2
3300000,979.7,2
3400000,982.3,2
3500000,980.0,2
3600000,985.9,2
3700000,980.5,2
3800000,986.2,2
3900000,981.2,2
4000000,986.9,2
