step,reward,seed
0,2.2,3
100000,1.6,3
200000,0.9,3
300000,4.9,3
400000,0.1,3
500000,2.2,3
600000,0.7,3
700000,4.0,3
800000,5.2,3
900000,2.0,3
1000000,1.1,3
1100000,0.1,3
1200000,2.9,3
1300000,1.6,3
1400000,3.5,3
1500000,2.3,3
1600000,1.6,3
1700000,0.6,3
1800000,0.1,3
1900000,13.1,3
2000000,1.2,3
2100000,1.2,3
2200000,0.5,3
2300000,0.2,3
2400000,3.7,3
2500000,4.2,3
2600000,0.9,3
2700000,2.3,3
2800000,0.5,3
2900000,2.1,3
3000000,25.3,3
3100000,0.3,3
3200000,36.7,3
3300000,2.4,3
3400000,3.2,3
3500000,4.8,3
3600000,3.6,3
3700000,32.8,3
3800000,0.5,3
3900000,32.7,3
0,7.2,1
100000,20.7,1
200000,1.5,1
300000,28.8,1
400000,21.1,1
500000,3.5,1
600000,9.7,1
700000,46.4,1
800000,47.1,1
900000,0.9,1
1000000,26.9,1
1100000,3.3,1
1200000,11.8,1
1300000,55.8,1
1400000,61.0,1
1500000,51.1,1
1600000,25.5,1
1700000,60.5,1
1800000,6.8,1
1900000,85.4,1
2000000,86.5,1
2100000,99.1,1
2200000,93.9,1
2300000,95.0,1
2400000,168.9,1
2500000,45.9,1
2600000,119.2,1
2700000,89.1,1
2800000,37.5,1
2900000,64.3,1
3000000,163.9,1
3100000,24.1,1
3200000,196.5,1
3300000,73.5,1
3400000,127.5,1
3500000,44.7,1
3600000,28.1,1
3700000,52.5,1
3800000,52.6,1
3900000,87.1,1
4000000,140.6,1
0,6.6,2
100000,0.8,2
200000,7.0,2
300000,21.1,2
400000,0.4,2
500000,0.1,2
600000,4.8,2
700000,5.7,2
800000,4.5,2
900000,9.5,2
1000000,3.3,2
1100000,0.6,2
1200000,4.8,2
1300000,6.0,2
1400000,3.0,2
1500000,5.7,2
1600000,1.5,2
1700000,15.9,2
1800000,5.6,2
1900000,0.0,2
2000000,1.6,2
2100000,1.6,2
2200000,5.2,2
2300000,3.2,2
2400000,5.0,2
2500000,3.5,2
2600000,6.8,2
2700000,23.8,2
2800000,9.7,2
2900000,2.6,2
3000000,0.1,2
3100000,17.1,2
3200000,0.8,2
3300000,10.5,2
3400000,15.3,2
3500000,4.5,2
3600000,0.2,2
3700000,11.2,2
3800000,7.7,2
3900000,3.2,2
4000000,2.7,2
