step,reward,seed
0,76.3,3
100000,1000.0,3
200000,420.6,3
300000,1000.0,3
400000,1000.0,3
500000,1000.0,3
600000,1000.0,3
700000,985.3,3
800000,1000.0,3
900000,177.1,3
1000000,1000.0,3
1100000,1000.0,3
1200000,1000.0,3
1300000,1000.0,3
1400000,1000.0,3
1500000,1000.0,3
1600000,1000.0,3
1700000,1000.0,3
1800000,1000.0,3
1900000,1000.0,3
2000000,995.7,3
2100000,943.4,3
2200000,999.0,3
2300000,1000.0,3
2400000,1000.0,3
2500000,1000.0,3
2600000,1000.0,3
2700000,1000.0,3
2800000,1000.0,3
2900000,995.1,3
3000000,1000.0,3
3100000,1000.0,3
3200000,1000.0,3
3300000,940.6,3
3400000,1000.0,3
3500000,1000.0,3
3600000,1000.0,3
3700000,1000.0,3
3800000,1000.0,3
3900000,1000.0,3
4000000,1000.0,3
0,83.4,1
100000,424.8,1
200000,1000.0,1
300000,1000.0,1
400000,1000.0,1
500000,1000.0,1
600000,1000.0,1
700000,472.5,1
800000,1000.0,1
900000,1000.0,1
1000000,1000.0,1
1100000,1000.0,1
1200000,707.4,1
1300000,1000.0,1
1400000,1000.0,1
1500000,1000.0,1
1600000,1000.0,1
1700000,1000.0,1
1800000,1000.0,1
1900000,1000.0,1
2000000,1000.0,1
2100000,1000.0,1
2200000,1000.0,1
2300000,657.4,1
2400000,1000.0,1
2500000,1000.0,1
2600000,328.5,1
2700000,1000.0,1
2800000,1000.0,1
2900000,1000.0,1
3000000,1000.0,1
3100000,1000.0,1
3200000,1000.0,1
3300000,1000.0,1
3400000,1000.0,1
3500000,1000.0,1
3600000,1000.0,1
3700000,1000.0,1
3800000,1000.0,1
3900000,1000.0,1
4000000,1000.0,1
0,102.0,2
100000,1000.0,2
200000,1000.0,2
300000,1000.0,2
400000,818.8,2
500000,1000.0,2
600000,1000.0,2
700000,983.1,2
800000,1000.0,2
900000,1000.0,2
1000000,949.8,2
1100000,1000.0,2
1200000,1000.0,2
1300000,1000.0,2
1400000,940.3,2
1500000,1000.0,2
1600000,1000.0,2
1700000,1000.0,2
1800000,1000.0,2
1900000,999.7,2
2000000,1000.0,2
2100000,1000.0,2
2200000,1000.0,2
2300000,1000.0,2
2400000,1000.0,2
2500000,1000.0,2
2600000,1000.0,2
2700000,1000.0,2
2800000,1000.0,2
2900000,1000.0,2
3000000,1000.0,2
3100000,729.8,2
3200000,1000.0,2
3300000,1000.0,2
3400000,1000.0,2
3500000,1000.0,2
3600000,1000.0,2
3700000,800.2,2
3800000,1000.0,2
3900000,1000.0,2
4000000,1000.0,2
