step,reward,seed
0,426.1,2
100000,998.3,2
200000,999.0,2
300000,999.3,2
400000,999.8,2
500000,973.0,2
600000,997.9,2
700000,994.3,2
800000,999.2,2
900000,997.7,2
1000000,999.6,2
1100000,999.8,2
1200000,991.9,2
1300000,999.5,2
1400000,994.1,2
1500000,999.7,2
1600000,998.9,2
1700000,998.9,2
1800000,998.7,2
1900000,999.5,2
2000000,999.3,2
2100000,998.6,2
2200000,993.1,2
2300000,902.7,2
2400000,999.8,2
2500000,998.4,2
2600000,998.7,2
2700000,999.4,2
2800000,999.1,2
2900000,999.6,2
3000000,999.4,2
3100000,996.8,2
3200000,992.4,2
3300000,998.6,2
3400000,995.9,2
3500000,999.7,2
3600000,999.4,2
3700000,997.2,2
3800000,668.7,2
3900000,988.8,2
4000000,974.8,2
0,396.1,3
100000,998.5,3
200000,998.4,3
300000,988.8,3
400000,997.8,3
500000,981.5,3
600000,994.0,3
700000,978.9,3
800000,999.2,3
900000,983.6,3
1000000,998.9,3
1100000,996.4,3
1200000,987.8,3
1300000,990.7,3
1400000,979.2,3
1500000,999.4,3
1600000,998.8,3
1700000,998.9,3
1800000,995.8,3
1900000,998.1,3
2000000,999.0,3
2100000,999.7,3
2200000,992.1,3
2300000,999.7,3
2400000,999.4,3
2500000,998.9,3
2600000,997.9,3
2700000,997.6,3
2800000,999.5,3
2900000,995.2,3
3000000,996.8,3
3100000,998.7,3
3200000,999.8,3
3300000,950.0,3
3400000,998.9,3
3500000,999.8,3
3600000,999.7,3
3700000,999.6,3
3800000,999.2,3
3900000,999.4,3
4000000,999.8,3
0,422.5,1
100000,999.4,1
200000,996.7,1
300000,997.6,1
400000,999.8,1
500000,997.8,1
600000,996.9,1
700000,992.6,1
800000,989.3,1
900000,996.6,1
1000000,995.9,1
1100000,998.7,1
1200000,999.7,1
1300000,989.2,1
1400000,985.5,1
1500000,881.0,1
1600000,996.3,1
1700000,994.6,1
1800000,999.6,1
1900000,991.0,1
2000000,998.3,1
2100000,996.7,1
2200000,997.7,1
2300000,989.6,1
2400000,989.9,1
2500000,986.9,1
2600000,999.9,1
2700000,997.1,1
2800000,994.9,1
2900000,995.6,1
3000000,999.6,1
3100000,995.1,1
3200000,998.6,1
3300000,987.6,1
3400000,992.1,1
3500000,998.6,1
3600000,995.2,1
3700000,996.2,1
3800000,995.7,1
3900000,952.7,1
4000000,999.6,1
