step,reward,seed
0,0.0,3
100000,0.0,3
200000,39.0,3
300000,760.4,3
400000,760.5,3
500000,764.4,3
600000,729.4,3
700000,689.3,3
800000,768.4,3
900000,763.9,3
1000000,767.5,3
1100000,771.0,3
1200000,772.5,3
1300000,711.3,3
1400000,773.3,3
1500000,696.4,3
1600000,777.5,3
1700000,777.2,3
1800000,776.7,3
1900000,776.2,3
2000000,773.6,3
2100000,778.4,3
2200000,778.9,3
2300000,781.5,3
2400000,778.8,3
2500000,779.8,3
2600000,780.5,3
2700000,782.1,3
2800000,777.6,3
2900000,765.8,3
3000000,779.5,3
3100000,784.0,3
3200000,785.7,3
3300000,783.9,3
3400000,780.3,3
3500000,522.2,3
3600000,784.5,3
3700000,780.0,3
3800000,784.3,3
3900000,783.8,3
4000000,786.7,3
0,0.0,1
100000,0.0,1
200000,0.0,1
300000,0.0,1
400000,5.2,1
500000,0.0,1
600000,0.0,1
700000,72.8,1
800000,813.0,1
900000,820.7,1
1000000,768.2,1
1100000,832.7,1
1200000,800.5,1
1300000,830.0,1
1400000,831.5,1
1500000,829.9,1
1600000,835.1,1
1700000,837.5,1
1800000,829.9,1
1900000,834.4,1
2000000,837.1,1
2100000,838.1,1
2200000,838.5,1
2300000,837.3,1
2400000,839.3,1
2500000,839.9,1
2600000,839.3,1
2700000,839.8,1
2800000,842.6,1
2900000,836.1,1
3000000,839.1,1
3100000,842.8,1
3200000,842.9,1
3300000,843.5,1
3400000,845.0,1
3500000,204.4,1
3600000,839.2,1
3700000,844.2,1
3800000,843.9,1
3900000,835.0,1
4000000,841.7,1
0,0.0,2
100000,1.1,2
200000,125.4,2
300000,561.5,2
400000,819.6,2
500000,827.9,2
600000,826.0,2
700000,831.0,2
800000,832.1,2
900000,831.6,2
1000000,834.0,2
1100000,833.9,2
1200000,831.4,2
1300000,828.2,2
1400000,829.5,2
1500000,834.5,2
1600000,810.7,2
1700000,831.3,2
1800000,832.4,2
1900000,831.9,2
2000000,785.3,2
2100000,518.9,2
2200000,833.7,2
2300000,830.4,2
2400000,184.1,2
2500000,832.4,2
2600000,835.9,2
2700000,833.5,2
2800000,834.9,2
2900000,834.5,2
3000000,833.9,2
3100000,832.9,2
3200000,834.1,2
3300000,832.8,2
3400000,835.0,2
3500000,834.9,2
3600000,835.4,2
3700000,836.0,2
3800000,832.9,2
3900000,832.3,2
4000000,836.7,2
