step,reward,seed
0,1.3,3
100000,834.3,3
200000,838.3,3
300000,829.0,3
400000,834.5,3
500000,828.3,3
600000,823.3,3
700000,838.0,3
800000,844.6,3
900000,840.5,3
1000000,849.2,3
1100000,847.0,3
1200000,838.2,3
1300000,822.3,3
1400000,830.0,3
1500000,825.1,3
1600000,834.2,3
1700000,832.1,3
1800000,828.5,3
1900000,830.7,3
2000000,824.0,3
2100000,835.7,3
2200000,845.8,3
2300000,829.0,3
2400000,832.2,3
2500000,816.6,3
2600000,828.1,3
2700000,832.9,3
2800000,837.7,3
2900000,831.5,3
3000000,833.4,3
3100000,837.9,3
3200000,837.7,3
3300000,836.1,3
3400000,843.3,3
3500000,839.7,3
3600000,837.9,3
3700000,838.9,3
3800000,837.7,3
3900000,831.6,3
4000000,855.2,3
0,2.7,1
100000,844.8,1
200000,845.0,1
300000,835.4,1
400000,836.8,1
500000,815.3,1
600000,794.6,1
700000,808.4,1
800000,827.7,1
900000,829.6,1
1000000,823.8,1
1100000,841.6,1
1200000,830.4,1
1300000,830.8,1
1400000,824.6,1
1500000,837.3,1
1600000,837.1,1
1700000,825.1,1
1800000,834.5,1
1900000,817.2,1
2000000,828.1,1
2100000,818.7,1
2200000,820.3,1
2300000,818.5,1
2400000,830.2,1
2500000,809.9,1
2600000,802.8,1
2700000,813.3,1
2800000,802.6,1
2900000,798.0,1
3000000,818.2,1
3100000,814.3,1
3200000,810.1,1
3300000,762.3,1
3400000,815.0,1
3500000,798.9,1
3600000,801.9,1
3700000,814.2,1
3800000,781.1,1
3900000,796.1,1
4000000,790.5,1
0,6.1,2
100000,825.8,2
200000,842.7,2
300000,853.0,2
400000,787.4,2
500000,860.2,2
600000,848.2,2
700000,833.8,2
800000,854.4,2
900000,757.9,2
1000000,843.1,2
1100000,826.1,2
1200000,827.0,2
1300000,842.8,2
1400000,852.4,2
1500000,852.9,2
1600000,847.5,2
1700000,844.9,2
1800000,848.4,2
1900000,829.9,2
2000000,853.1,2
2100000,850.3,2
2200000,862.5,2
2300000,837.9,2
2400000,842.1,2
2500000,858.1,2
2600000,854.1,2
2700000,818.5,2
2800000,851.6,2
2900000,841.0,2
3000000,855.2,2
3100000,856.8,2
3200000,839.0,2
3300000,859.0,2
3400000,851.9,2
3500000,557.0,2
3600000,833.3,2
3700000,822.8,2
3800000,844.9,2
3900000,812.4,2
4000000,830.8,2
