step,reward,seed
0,179.9,3
100000,401.1,3
200000,513.4,3
300000,578.5,3
400000,582.4,3
500000,581.9,3
600000,492.7,3
700000,494.8,3
800000,352.0,3
900000,566.0,3
1000000,584.4,3
1100000,586.2,3
1200000,611.2,3
1300000,611.1,3
1400000,610.8,3
1500000,615.3,3
1600000,612.3,3
1700000,600.2,3
1800000,614.0,3
1900000,610.7,3
2000000,615.3,3
2100000,608.7,3
2200000,617.0,3
2300000,618.4,3
2400000,616.8,3
2500000,618.3,3
2600000,618.1,3
2700000,620.7,3
2800000,619.2,3
2900000,622.0,3
3000000,626.1,3
3100000,625.1,3
3200000,593.9,3
3300000,625.9,3
3400000,623.7,3
3500000,625.7,3
3600000,632.9,3
3700000,628.2,3
3800000,636.4,3
3900000,629.5,3
4000000,630.4,3
0,179.8,1
100000,339.8,1
200000,434.1,1
300000,521.7,1
400000,536.7,1
500000,591.2,1
600000,610.7,1
700000,624.8,1
800000,612.1,1
900000,629.1,1
1000000,629.4,1
1100000,630.1,1
1200000,630.9,1
1300000,625.3,1
1400000,632.1,1
1500000,632.8,1
1600000,631.3,1
1700000,630.0,1
1800000,606.5,1
1900000,632.5,1
2000000,632.9,1
2100000,634.5,1
2200000,634.1,1
2300000,635.5,1
2400000,632.7,1
2500000,631.1,1
2600000,636.5,1
2700000,630.0,1
2800000,634.9,1
2900000,627.4,1
3000000,636.6,1
3100000,637.2,1
3200000,628.5,1
3300000,638.2,1
3400000,553.5,1
3500000,669.6,1
3600000,694.4,1
3700000,714.7,1
3800000,698.5,1
3900000,749.8,1
4000000,749.3,1
0,179.9,2
100000,539.9,2
200000,232.9,2
300000,476.4,2
400000,388.8,2
500000,622.3,2
600000,705.2,2
700000,684.4,2
800000,528.4,2
900000,603.1,2
1000000,721.1,2
1100000,722.7,2
1200000,724.5,2
1300000,704.9,2
1400000,728.7,2
1500000,727.0,2
1600000,726.7,2
1700000,730.4,2
1800000,732.9,2
1900000,733.9,2
2000000,732.8,2
2100000,735.0,2
2200000,728.9,2
2300000,730.0,2
2400000,731.4,2
2500000,607.8,2
2600000,736.0,2
2700000,742.0,2
2800000,736.9,2
2900000,729.1,2
3000000,737.5,2
3100000,741.8,2
3200000,743.7,2
3300000,549.7,2
3400000,703.8,2
3500000,739.9,2
3600000,741.0,2
3700000,724.4,2
3800000,751.3,2
3900000,514.2,2
4000000,749.5,2
