step,reward,seed
0,6.3,3
100000,52.5,3
200000,390.7,3
300000,425.3,3
400000,456.0,3
500000,495.6,3
600000,517.1,3
700000,543.2,3
800000,531.1,3
900000,546.5,3
1000000,542.4,3
1100000,557.3,3
1200000,547.3,3
1300000,560.4,3
1400000,555.5,3
1500000,558.9,3
1600000,566.5,3
1700000,573.3,3
1800000,571.3,3
1900000,561.3,3
2000000,579.3,3
2100000,1.8,3
2200000,581.1,3
2300000,580.3,3
2400000,559.6,3
2500000,574.2,3
2600000,586.0,3
2700000,573.5,3
2800000,574.2,3
2900000,572.1,3
3000000,581.7,3
3100000,576.2,3
3200000,584.5,3
3300000,557.6,3
3400000,586.3,3
3500000,591.2,3
3600000,588.1,3
3700000,594.2,3
3800000,573.8,3
3900000,592.1,3
4000000,594.5,3
0,6.2,1
100000,343.3,1
200000,500.3,1
300000,504.7,1
400000,520.6,1
500000,535.0,1
600000,528.3,1
700000,537.8,1
800000,527.4,1
900000,545.2,1
1000000,544.8,1
1100000,541.2,1
1200000,547.8,1
1300000,547.9,1
1400000,539.5,1
1500000,543.9,1
1600000,542.8,1
1700000,556.5,1
1800000,554.8,1
1900000,555.4,1
2000000,553.8,1
2100000,560.3,1
2200000,552.4,1
2300000,567.5,1
2400000,557.3,1
2500000,551.9,1
2600000,514.1,1
2700000,522.4,1
2800000,553.9,1
2900000,545.4,1
3000000,573.8,1
3100000,567.1,1
3200000,576.0,1
3300000,580.9,1
3400000,592.2,1
3500000,591.4,1
3600000,593.5,1
3700000,592.5,1
3800000,590.2,1
3900000,592.5,1
4000000,595.1,1
0,6.2,2
100000,232.9,2
200000,408.5,2
300000,426.0,2
400000,425.8,2
500000,434.3,2
600000,448.2,2
700000,468.2,2
800000,473.5,2
900000,455.4,2
1000000,477.8,2
1100000,499.6,2
1200000,532.6,2
1300000,510.0,2
1400000,541.4,2
1500000,526.4,2
1600000,545.7,2
1700000,549.5,2
1800000,547.5,2
1900000,545.2,2
2000000,556.3,2
2100000,552.5,2
2200000,557.0,2
2300000,557.4,2
2400000,575.7,2
2500000,572.9,2
2600000,581.1,2
2700000,570.4,2
2800000,582.6,2
2900000,504.2,2
3000000,576.9,2
3100000,581.1,2
3200000,578.3,2
3300000,587.2,2
3400000,586.6,2
3500000,592.4,2
3600000,593.4,2
3700000,582.9,2
3800000,606.0,2
3900000,586.8,2
4000000,596.3,2
