step,reward,seed
0,0.1,2
100000,472.9,2
200000,566.5,2
300000,525.4,2
400000,576.6,2
500000,9.7,2
600000,591.6,2
700000,595.4,2
800000,597.4,2
900000,599.5,2
1000000,593.1,2
1100000,601.4,2
1200000,568.5,2
1300000,602.6,2
1400000,610.1,2
1500000,612.0,2
1600000,624.0,2
1700000,619.9,2
1800000,619.7,2
1900000,617.0,2
2000000,625.1,2
2100000,630.5,2
2200000,633.3,2
2300000,622.4,2
2400000,621.3,2
2500000,641.5,2
2600000,635.6,2
2700000,645.5,2
2800000,634.0,2
2900000,651.5,2
3000000,650.2,2
3100000,647.7,2
3200000,650.6,2
3300000,655.4,2
3400000,627.5,2
3500000,659.6,2
3600000,662.5,2
3700000,656.2,2
3800000,655.5,2
3900000,658.6,2
4000000,664.0,2
0,0.1,3
100000,506.7,3
200000,569.5,3
300000,591.1,3
400000,602.0,3
500000,598.9,3
600000,607.8,3
700000,617.6,3
800000,617.3,3
900000,627.7,3
1000000,614.8,3
1100000,624.1,3
1200000,618.3,3
1300000,628.2,3
1400000,620.5,3
1500000,627.1,3
1600000,630.7,3
1700000,624.6,3
1800000,636.0,3
1900000,631.7,3
2000000,634.9,3
2100000,634.8,3
2200000,642.2,3
2300000,639.5,3
2400000,640.7,3
2500000,636.9,3
2600000,644.2,3
2700000,647.2,3
2800000,625.7,3
2900000,647.5,3
3000000,295.5,3
3100000,644.4,3
3200000,639.5,3
3300000,645.7,3
3400000,648.5,3
3500000,644.9,3
3600000,654.2,3
3700000,653.7,3
3800000,649.4,3
3900000,650.7,3
4000000,648.0,3
0,0.1,1
100000,537.0,1
200000,567.2,1
300000,563.9,1
400000,569.9,1
500000,583.8,1
600000,584.7,1
700000,564.2,1
800000,594.4,1
900000,598.8,1
1000000,595.3,1
1100000,596.8,1
1200000,607.9,1
1300000,602.5,1
1400000,611.7,1
1500000,604.5,1
1600000,607.0,1
1700000,612.9,1
1800000,607.0,1
1900000,619.3,1
2000000,615.7,1
2100000,617.6,1
2200000,614.6,1
2300000,629.7,1
2400000,618.5,1
2500000,634.2,1
2600000,627.2,1
2700000,626.0,1
2800000,634.7,1
2900000,630.8,1
3000000,625.3,1
3100000,639.0,1
3200000,646.0,1
3300000,629.8,1
3400000,641.2,1
3500000,632.2,1
3600000,624.6,1
3700000,644.1,1
3800000,637.2,1
3900000,635.7,1
4000000,637.1,1
