step,reward,seed
0,6.5,3
100000,87.6,3
200000,190.0,3
300000,382.7,3
400000,428.1,3
500000,455.9,3
600000,423.8,3
700000,456.7,3
800000,469.7,3
900000,467.2,3
1000000,468.6,3
1100000,462.8,3
1200000,471.9,3
1300000,479.9,3
1400000,484.5,3
1500000,492.5,3
1600000,488.2,3
1700000,499.2,3
1800000,479.7,3
1900000,497.2,3
2000000,490.6,3
2100000,506.9,3
2200000,508.2,3
2300000,525.1,3
2400000,389.9,3
2500000,537.0,3
2600000,539.7,3
2700000,537.9,3
2800000,560.8,3
2900000,573.5,3
3000000,563.2,3
3100000,579.4,3
3200000,587.8,3
3300000,552.7,3
3400000,558.9,3
3500000,554.6,3
3600000,588.8,3
3700000,570.9,3
3800000,598.3,3
3900000,604.6,3
4000000,579.7,3
0,6.4,1
100000,54.6,1
200000,163.6,1
300000,57.2,1
400000,450.0,1
500000,475.0,1
600000,484.4,1
700000,495.5,1
800000,508.1,1
900000,497.6,1
1000000,510.7,1
1100000,486.7,1
1200000,514.4,1
1300000,519.9,1
1400000,507.7,1
1500000,537.4,1
1600000,507.1,1
1700000,548.4,1
1800000,538.0,1
1900000,556.8,1
2000000,566.8,1
2100000,548.0,1
2200000,578.8,1
2300000,581.1,1
2400000,579.4,1
2500000,575.8,1
2600000,587.9,1
2700000,591.9,1
2800000,571.7,1
2900000,593.0,1
3000000,548.2,1
3100000,571.5,1
3200000,609.4,1
3300000,524.0,1
3400000,608.0,1
3500000,534.1,1
3600000,597.1,1
3700000,603.6,1
3800000,590.4,1
3900000,555.9,1
4000000,588.7,1
0,6.4,2
100000,153.2,2
200000,255.7,2
300000,347.7,2
400000,427.2,2
500000,411.8,2
600000,496.9,2
700000,507.0,2
800000,519.4,2
900000,522.6,2
1000000,520.5,2
1100000,516.6,2
1200000,523.0,2
1300000,527.3,2
1400000,531.5,2
1500000,531.8,2
1600000,545.5,2
1700000,540.5,2
1800000,548.4,2
1900000,521.5,2
2000000,534.5,2
2100000,534.6,2
2200000,534.5,2
2300000,546.2,2
2400000,543.4,2
2500000,549.0,2
2600000,516.4,2
2700000,553.0,2
2800000,548.8,2
2900000,519.1,2
3000000,537.6,2
3100000,549.8,2
3200000,554.3,2
3300000,440.3,2
3400000,558.1,2
3500000,556.9,2
3600000,554.8,2
3700000,559.8,2
3800000,499.0,2
3900000,560.0,2
4000000,560.8,2
