step,reward,seed
0,0.1,1
100000,362.4,1
200000,573.9,1
300000,644.9,1
400000,697.0,1
500000,716.1,1
600000,700.4,1
700000,723.2,1
800000,592.7,1
900000,734.0,1
1000000,733.7,1
1100000,758.8,1
1200000,753.7,1
1300000,708.9,1
1400000,757.6,1
1500000,754.6,1
1600000,714.5,1
1700000,759.5,1
1800000,747.1,1
1900000,758.1,1
2000000,763.1,1
2100000,756.8,1
2200000,765.6,1
2300000,748.7,1
2400000,759.6,1
2500000,760.8,1
2600000,764.1,1
2700000,717.9,1
2800000,764.8,1
2900000,751.7,1
3000000,757.3,1
3100000,755.4,1
3200000,770.2,1
3300000,760.5,1
3400000,753.1,1
3500000,770.1,1
3600000,774.0,1
3700000,747.9,1
3800000,750.8,1
3900000,725.9,1
4000000,749.3,1
0,0.1,3
100000,331.1,3
200000,573.6,3
300000,562.9,3
400000,617.5,3
500000,396.5,3
600000,31.9,3
700000,679.1,3
800000,687.3,3
900000,6.4,3
1000000,729.1,3
1100000,728.4,3
1200000,736.2,3
1300000,748.3,3
1400000,739.5,3
1500000,745.7,3
1600000,747.8,3
1700000,761.1,3
1800000,770.8,3
1900000,731.1,3
2000000,770.9,3
2100000,781.2,3
2200000,778.6,3
2300000,768.7,3
2400000,776.2,3
2500000,772.1,3
2600000,762.1,3
2700000,754.7,3
2800000,767.0,3
2900000,692.6,3
3000000,797.1,3
3100000,803.1,3
3200000,785.0,3
3300000,783.7,3
3400000,779.7,3
3500000,765.7,3
3600000,780.8,3
3700000,782.9,3
3800000,779.0,3
3900000,788.8,3
4000000,784.2,3
0,0.1,2
100000,236.9,2
200000,573.5,2
300000,635.6,2
400000,641.9,2
500000,671.0,2
600000,603.6,2
700000,663.3,2
800000,685.3,2
900000,731.6,2
1000000,727.5,2
1100000,734.1,2
1200000,700.2,2
1300000,717.0,2
1400000,727.4,2
1500000,753.0,2
1600000,762.1,2
1700000,762.7,2
1800000,714.3,2
1900000,727.7,2
2000000,759.3,2
2100000,749.1,2
2200000,761.5,2
2300000,776.3,2
2400000,758.4,2
2500000,759.0,2
2600000,744.6,2
2700000,758.8,2
2800000,701.9,2
2900000,751.4,2
3000000,759.4,2
3100000,793.6,2
3200000,755.8,2
3300000,754.1,2
3400000,763.3,2
3500000,746.7,2
3600000,779.5,2
3700000,748.5,2
3800000,752.9,2
3900000,760.9,2
4000000,779.5,2
