step,reward,seed
0,99.3,3
100000,970.1,3
200000,970.0,3
300000,976.5,3
400000,972.7,3
500000,977.2,3
600000,970.6,3
700000,980.7,3
800000,971.4,3
900000,974.6,3
1000000,973.3,3
1100000,982.2,3
1200000,981.9,3
1300000,974.8,3
1400000,982.1,3
1500000,976.7,3
1600000,980.5,3
1700000,982.0,3
1800000,984.3,3
1900000,982.1,3
2000000,985.2,3
2100000,979.5,3
2200000,981.0,3
2300000,978.4,3
2400000,984.1,3
2500000,980.6,3
2600000,974.9,3
2700000,984.4,3
2800000,976.1,3
2900000,980.0,3
3000000,988.5,3
3100000,976.0,3
3200000,984.2,3
3300000,986.0,3
3400000,984.1,3
3500000,984.3,3
3600000,982.6,3
3700000,987.7,3
3800000,977.6,3
3900000,989.7,3
4000000,983.5,3
0,0.0,1
100000,949.2,1
200000,971.8,1
300000,961.9,1
400000,980.3,1
500000,977.8,1
600000,972.6,1
700000,978.5,1
800000,976.7,1
900000,978.4,1
1000000,984.5,1
1100000,976.3,1
1200000,981.2,1
1300000,979.0,1
1400000,982.0,1
1500000,976.3,1
1600000,975.1,1
1700000,980.5,1
1800000,980.5,1
1900000,974.3,1
2000000,978.3,1
2100000,977.8,1
2200000,974.4,1
2300000,981.3,1
2400000,977.3,1
2500000,971.5,1
2600000,973.5,1
2700000,972.1,1
2800000,977.9,1
2900000,982.2,1
3000000,973.1,1
3100000,977.9,1
3200000,975.6,1
3300000,981.9,1
3400000,975.4,1
3500000,986.3,1
3600000,976.4,1
3700000,982.2,1
3800000,983.1,1
3900000,976.9,1
4000000,974.1,1
0,0.0,2
100000,955.0,2
200000,962.5,2
300000,969.4,2
400000,965.7,2
500000,978.1,2
600000,975.3,2
700000,966.1,2
800000,978.9,2
900000,978.8,2
1000000,977.5,2
1100000,972.2,2
1200000,974.1,2
1300000,974.4,2
1400000,973.7,2
1500000,979.6,2
1600000,988.3,2
1700000,979.8,2
1800000,979.7,2
1900000,983.0,2
2000000,979.7,2
2100000,988.0,2
2200000,973.6,2
2300000,980.5,2
2400000,978.6,2
2500000,984.5,2
2600000,973.2,2
2700000,977.2,2
2800000,983.4,2
2900000,973.2,2
3000000,987.6,2
3100000,977.4,2
3200000,974.2,2
3300000,977.8,2
3400000,976.7,2
3500000,976.7,2
3600000,980.6,2
3700000,977.7,2
3800000,986.0,2
3900000,978.3,2
4000000,978.2,2
