step,reward,seed
0,0.4,3
100000,820.2,3
200000,818.9,3
300000,818.9,3
400000,820.0,3
500000,821.5,3
600000,817.6,3
700000,821.8,3
800000,821.2,3
900000,823.6,3
1000000,822.4,3
1100000,820.9,3
1200000,821.7,3
1300000,820.3,3
1400000,822.0,3
1500000,821.5,3
1600000,822.9,3
1700000,822.9,3
1800000,822.0,3
1900000,821.8,3
2000000,822.1,3
2100000,822.0,3
2200000,824.2,3
2300000,822.6,3
2400000,823.1,3
2500000,823.3,3
2600000,824.2,3
2700000,820.4,3
2800000,821.4,3
2900000,822.5,3
3000000,820.5,3
3100000,822.7,3
3200000,822.0,3
3300000,823.7,3
3400000,821.4,3
3500000,822.6,3
3600000,823.1,3
3700000,821.0,3
3800000,823.5,3
3900000,822.1,3
0,26.1,1
100000,814.4,1
200000,813.8,1
300000,816.9,1
400000,817.4,1
500000,816.7,1
600000,817.9,1
700000,821.7,1
800000,821.0,1
900000,818.7,1
1000000,818.3,1
1100000,822.0,1
1200000,819.1,1
1300000,822.2,1
1400000,819.2,1
1500000,820.4,1
1600000,821.1,1
1700000,822.4,1
1800000,820.2,1
1900000,821.7,1
2000000,822.4,1
2100000,823.4,1
2200000,821.2,1
2300000,821.7,1
2400000,822.9,1
2500000,820.8,1
2600000,824.2,1
2700000,822.6,1
2800000,823.6,1
2900000,824.0,1
3000000,822.0,1
3100000,821.3,1
3200000,823.4,1
3300000,823.3,1
3400000,819.6,1
3500000,822.9,1
3600000,821.4,1
3700000,823.8,1
3800000,823.8,1
3900000,823.4,1
4000000,820.6,1
0,0.0,2
100000,520.0,2
200000,527.6,2
300000,528.8,2
400000,529.1,2
500000,529.7,2
600000,530.4,2
700000,532.9,2
800000,535.0,2
900000,534.9,2
1000000,534.5,2
1100000,534.0,2
1200000,534.4,2
1300000,534.2,2
1400000,533.9,2
1500000,534.0,2
1600000,534.5,2
1700000,533.8,2
1800000,535.4,2
1900000,535.2,2
2000000,535.5,2
2100000,534.2,2
2200000,536.6,2
2300000,535.2,2
2400000,534.7,2
2500000,533.8,2
2600000,535.0,2
2700000,535.6,2
2800000,535.6,2
2900000,534.8,2
3000000,535.1,2
3100000,534.2,2
3200000,535.7,2
3300000,534.9,2
3400000,535.3,2
3500000,534.1,2
3600000,536.2,2
3700000,535.5,2
3800000,534.9,2
3900000,535.5,2
4000000,535.8,2
