step,reward,seed
0,5.1,2
100000,7.9,2
200000,7.9,2
300000,10.1,2
400000,10.5,2
500000,11.6,2
600000,14.1,2
700000,13.3,2
800000,14.2,2
900000,16.0,2
1000000,16.7,2
1100000,19.8,2
1200000,21.7,2
1300000,25.2,2
1400000,28.1,2
1500000,35.8,2
1600000,9.1,2
1700000,6.9,2
1800000,6.3,2
1900000,8.5,2
2000000,4.5,2
2100000,5.2,2
2200000,6.3,2
2300000,3.3,2
2400000,6.0,2
2500000,5.9,2
2600000,4.4,2
2700000,6.1,2
2800000,4.7,2
2900000,9.2,2
3000000,5.2,2
3100000,5.7,2
3200000,20.8,2
3300000,17.2,2
3400000,11.0,2
3500000,19.7,2
3600000,8.4,2
3700000,16.2,2
3800000,14.9,2
3900000,16.5,2
4000000,17.1,2
4100000,14.4,2
4200000,15.3,2
4300000,14.1,2
4400000,14.9,2
4500000,15.8,2
4600000,18.6,2
4700000,19.9,2
4800000,15.2,2
4900000,14.6,2
5000000,17.0,2
5100000,17.6,2
5200000,4.3,2
5300000,13.5,2
5400000,17.2,2
5500000,7.8,2
5600000,6.4,2
5700000,11.8,2
5800000,8.2,2
5900000,16.4,2
6000000,11.5,2
6100000,15.3,2
6200000,15.2,2
6300000,17.1,2
6400000,12.1,2
6500000,9.8,2
6600000,13.1,2
6700000,10.4,2
6800000,12.3,2
6900000,7.9,2
7000000,12.7,2
7100000,16.8,2
7200000,10.5,2
7300000,15.1,2
7400000,12.3,2
7500000,11.0,2
7600000,9.3,2
7700000,8.8,2
7800000,12.4,2
7900000,6.3,2
8000000,6.7,2
8100000,10.0,2
8200000,17.4,2
8300000,9.9,2
8400000,8.9,2
8500000,11.0,2
8600000,10.7,2
8700000,11.4,2
8800000,5.8,2
8900000,14.0,2
9000000,4.8,2
9100000,15.5,2
9200000,16.0,2
9300000,9.5,2
9400000,12.9,2
9500000,9.5,2
9600000,12.7,2
9700000,9.4,2
9800000,6.4,2
9900000,12.3,2
10000000,12.9,2
10100000,7.4,2
10200000,8.9,2
10300000,6.2,2
10400000,10.2,2
10500000,8.5,2
10600000,11.0,2
10700000,5.7,2
10800000,7.3,2
10900000,8.8,2
11000000,8.7,2
11100000,12.5,2
11200000,9.8,2
11300000,9.5,2
11400000,7.8,2
11500000,10.2,2
11600000,12.3,2
11700000,14.5,2
11800000,12.4,2
11900000,7.2,2
12000000,9.4,2
12100000,13.7,2
12200000,6.8,2
12300000,5.5,2
12400000,8.2,2
12500000,13.9,2
12600000,10.2,2
12700000,9.3,2
