step,reward,seed
0,30.9,3
100000,39.9,3
200000,44.0,3
300000,54.3,3
400000,60.6,3
500000,75.1,3
600000,72.5,3
700000,103.8,3
800000,98.3,3
900000,96.0,3
1000000,110.4,3
1100000,138.6,3
1200000,119.1,3
1300000,93.1,3
1400000,94.0,3
1500000,93.5,3
1600000,115.9,3
1700000,121.6,3
1800000,150.7,3
1900000,146.6,3
2000000,101.0,3
2100000,67.2,3
2200000,79.3,3
2300000,42.2,3
2400000,59.3,3
2500000,53.3,3
2600000,53.2,3
2700000,75.1,3
2800000,76.3,3
2900000,46.8,3
3000000,54.5,3
3100000,53.2,3
3200000,54.9,3
3300000,55.2,3
3400000,45.8,3
3500000,39.8,3
3600000,45.6,3
3700000,55.8,3
3800000,58.6,3
3900000,47.9,3
4000000,41.5,3
4100000,58.7,3
4200000,42.3,3
4300000,58.1,3
4400000,40.0,3
4500000,55.5,3
4600000,43.8,3
4700000,39.2,3
4800000,54.1,3
4900000,52.1,3
5000000,39.8,3
5100000,27.5,3
5200000,33.1,3
5300000,32.6,3
5400000,49.8,3
5500000,45.9,3
5600000,49.5,3
5700000,50.6,3
5800000,33.4,3
5900000,54.6,3
6000000,23.5,3
6100000,27.1,3
6200000,49.7,3
6300000,30.3,3
6400000,38.2,3
6500000,42.0,3
6600000,26.3,3
6700000,55.4,3
6800000,37.6,3
6900000,51.3,3
7000000,40.5,3
7100000,35.9,3
7200000,32.9,3
7300000,36.9,3
7400000,41.9,3
7500000,41.7,3
7600000,28.3,3
7700000,39.1,3
7800000,47.4,3
7900000,19.8,3
8000000,32.3,3
8100000,43.6,3
8200000,36.6,3
8300000,50.2,3
8400000,34.9,3
8500000,31.5,3
8600000,64.8,3
8700000,25.4,3
8800000,20.6,3
8900000,43.2,3
9000000,25.2,3
9100000,39.6,3
9200000,24.1,3
9300000,39.3,3
9400000,28.3,3
9500000,47.3,3
9600000,27.4,3
9700000,22.2,3
9800000,42.3,3
9900000,40.3,3
10000000,45.4,3
10100000,35.5,3
10200000,63.4,3
10300000,21.1,3
10400000,29.7,3
10500000,44.8,3
10600000,36.8,3
10700000,43.9,3
10800000,34.7,3
10900000,24.5,3
11000000,40.3,3
11100000,36.0,3
11200000,58.6,3
11300000,31.8,3
11400000,36.6,3
11500000,35.6,3
11600000,36.9,3
11700000,50.9,3
11800000,31.9,3
11900000,35.0,3
12000000,24.3,3
12100000,23.2,3
12200000,41.1,3
12300000,38.9,3
12400000,30.2,3
12500000,39.3,3
12600000,27.1,3
12700000,57.3,3
12800000,42.1,3
12900000,28.1,3
13000000,40.6,3
13100000,40.0,3
13200000,28.4,3
13300000,32.3,3
13400000,38.7,3
13500000,48.8,3
13600000,43.3,3
13700000,30.3,3
13800000,32.3,3
13900000,33.2,3
14000000,21.3,3
0,20.7,2
100000,35.5,2
200000,31.8,2
300000,43.9,2
400000,64.6,2
500000,120.2,2
600000,133.4,2
700000,139.0,2
800000,174.2,2
900000,184.6,2
1000000,198.8,2
1100000,194.2,2
1200000,212.2,2
1300000,230.7,2
1400000,240.4,2
1500000,253.8,2
1600000,263.5,2
1700000,236.4,2
1800000,282.7,2
1900000,270.0,2
2000000,255.1,2
2100000,278.0,2
2200000,278.0,2
2300000,300.2,2
2400000,294.6,2
2500000,278.7,2
0,21.6,1
100000,22.5,1
200000,17.4,1
300000,16.3,1
400000,20.1,1
500000,19.9,1
600000,17.4,1
700000,14.8,1
800000,24.7,1
900000,23.9,1
1000000,30.0,1
1100000,27.8,1
1200000,30.4,1
1300000,30.5,1
1400000,42.9,1
1500000,31.8,1
1600000,25.7,1
1700000,34.9,1
1800000,53.2,1
1900000,40.3,1
2000000,67.4,1
2100000,73.2,1
2200000,90.6,1
2300000,60.3,1
2400000,148.5,1
2500000,188.7,1
2600000,260.9,1
2700000,261.2,1
2800000,66.7,1
2900000,116.1,1
3000000,112.7,1
3100000,76.2,1
3200000,62.4,1
3300000,74.2,1
3400000,81.3,1
3500000,62.5,1
3600000,53.2,1
3700000,101.0,1
3800000,83.4,1
3900000,110.7,1
4000000,73.4,1
4100000,63.9,1
4200000,43.0,1
4300000,81.5,1
4400000,69.8,1
4500000,44.0,1
4600000,73.7,1
4700000,86.5,1
4800000,17.3,1
4900000,37.2,1
5000000,110.6,1
5100000,96.0,1
5200000,55.7,1
5300000,77.4,1
5400000,88.7,1
