step,reward,seed
0,7.9,3
100000,6.8,3
200000,12.5,3
300000,6.8,3
400000,9.7,3
500000,6.5,3
600000,6.4,3
700000,8.8,3
800000,5.7,3
900000,7.2,3
1000000,11.0,3
1100000,10.1,3
1200000,9.8,3
1300000,6.5,3
1400000,6.0,3
1500000,7.6,3
1600000,6.7,3
1700000,7.0,3
1800000,6.0,3
1900000,9.1,3
2000000,8.0,3
2100000,7.8,3
2200000,5.5,3
2300000,6.9,3
2400000,6.1,3
2500000,8.3,3
2600000,9.0,3
2700000,6.1,3
2800000,7.6,3
2900000,10.7,3
3000000,7.8,3
3100000,8.2,3
3200000,13.2,3
3300000,10.2,3
3400000,7.9,3
3500000,9.3,3
3600000,9.5,3
3700000,7.0,3
3800000,7.6,3
3900000,9.3,3
4000000,11.6,3
4100000,12.2,3
4200000,10.3,3
4300000,7.6,3
4400000,5.8,3
4500000,6.8,3
4600000,4.1,3
4700000,10.2,3
4800000,8.2,3
4900000,9.9,3
5000000,7.0,3
5100000,10.7,3
5200000,9.0,3
5300000,7.7,3
5400000,9.3,3
5500000,10.4,3
5600000,10.6,3
5700000,10.4,3
5800000,8.7,3
5900000,10.8,3
6000000,9.8,3
6100000,9.9,3
6200000,9.3,3
6300000,8.8,3
6400000,10.4,3
6500000,9.0,3
6600000,5.5,3
6700000,7.4,3
6800000,8.2,3
6900000,8.3,3
7000000,10.3,3
7100000,16.2,3
7200000,12.1,3
7300000,12.1,3
7400000,9.3,3
7500000,12.6,3
7600000,9.7,3
7700000,9.3,3
7800000,12.3,3
7900000,9.5,3
8000000,11.7,3
8100000,10.0,3
8200000,11.5,3
8300000,11.2,3
8400000,9.4,3
8500000,7.1,3
8600000,10.1,3
8700000,8.8,3
8800000,8.4,3
8900000,10.0,3
9000000,11.4,3
9100000,8.7,3
9200000,12.0,3
9300000,8.6,3
9400000,9.4,3
9500000,8.7,3
9600000,9.9,3
9700000,5.1,3
9800000,8.4,3
9900000,6.4,3
10000000,13.7,3
10100000,12.1,3
10200000,6.9,3
10300000,10.9,3
10400000,11.4,3
10500000,10.8,3
10600000,6.9,3
10700000,5.3,3
10800000,6.6,3
10900000,5.5,3
11000000,7.7,3
11100000,9.1,3
11200000,9.8,3
11300000,8.0,3
11400000,10.8,3
11500000,10.8,3
11600000,13.5,3
11700000,14.8,3
11800000,12.7,3
11900000,7.5,3
12000000,7.7,3
12100000,8.9,3
12200000,8.9,3
12300000,9.0,3
12400000,8.6,3
12500000,8.0,3
12600000,10.9,3
12700000,12.3,3
12800000,7.3,3
12900000,9.6,3
13000000,9.5,3
13100000,8.7,3
13200000,6.6,3
13300000,10.0,3
13400000,6.5,3
13500000,8.9,3
13600000,5.5,3
13700000,6.9,3
13800000,10.7,3
13900000,11.4,3
14000000,9.6,3
0,6.4,2
100000,8.6,2
200000,8.3,2
300000,8.1,2
400000,7.8,2
500000,8.0,2
600000,9.0,2
700000,9.2,2
800000,8.5,2
900000,8.4,2
1000000,7.8,2
1100000,6.9,2
1200000,9.6,2
1300000,9.2,2
1400000,7.0,2
1500000,3.7,2
1600000,8.4,2
1700000,9.7,2
1800000,9.1,2
1900000,7.4,2
2000000,7.3,2
2100000,11.2,2
2200000,22.7,2
2300000,12.8,2
2400000,14.5,2
2500000,14.3,2
2600000,15.3,2
2700000,13.4,2
2800000,28.1,2
2900000,32.3,2
3000000,25.3,2
3100000,18.1,2
3200000,55.1,2
3300000,72.2,2
3400000,41.7,2
3500000,65.4,2
3600000,70.1,2
3700000,60.9,2
3800000,34.3,2
3900000,66.1,2
4000000,86.1,2
4100000,62.1,2
4200000,7.4,2
4300000,7.7,2
4400000,65.6,2
4500000,62.2,2
4600000,77.7,2
4700000,121.7,2
4800000,97.7,2
4900000,135.4,2
5000000,136.0,2
5100000,107.2,2
5200000,118.6,2
5300000,129.7,2
5400000,154.2,2
5500000,145.3,2
5600000,129.1,2
5700000,132.6,2
5800000,173.4,2
5900000,184.2,2
6000000,199.0,2
6100000,99.0,2
6200000,166.1,2
6300000,201.2,2
6400000,127.1,2
6500000,175.4,2
6600000,230.4,2
6700000,202.6,2
6800000,254.8,2
6900000,220.0,2
7000000,290.9,2
7100000,309.3,2
7200000,346.2,2
7300000,360.4,2
7400000,254.1,2
7500000,321.5,2
7600000,293.6,2
7700000,348.0,2
7800000,7.8,2
7900000,12.2,2
8000000,20.3,2
8100000,14.1,2
8200000,18.3,2
8300000,14.1,2
8400000,12.3,2
8500000,11.6,2
8600000,13.2,2
8700000,10.8,2
8800000,10.3,2
8900000,10.4,2
9000000,15.0,2
9100000,8.3,2
9200000,8.6,2
9300000,12.6,2
9400000,15.1,2
9500000,13.1,2
9600000,11.7,2
9700000,11.2,2
9800000,9.8,2
9900000,12.2,2
10000000,9.6,2
10100000,8.5,2
10200000,9.2,2
10300000,8.9,2
10400000,11.1,2
10500000,12.1,2
10600000,7.4,2
10700000,10.2,2
10800000,8.5,2
10900000,11.4,2
11000000,8.4,2
11100000,8.6,2
11200000,10.7,2
11300000,9.3,2
11400000,10.7,2
11500000,6.3,2
11600000,12.1,2
11700000,25.0,2
11800000,9.9,2
11900000,6.6,2
12000000,7.1,2
12100000,14.5,2
12200000,8.9,2
12300000,7.4,2
12400000,10.5,2
12500000,10.9,2
12600000,8.7,2
12700000,6.4,2
12800000,9.0,2
12900000,5.6,2
13000000,8.8,2
13100000,7.8,2
13200000,9.9,2
13300000,6.5,2
13400000,8.4,2
13500000,5.9,2
13600000,7.8,2
13700000,4.9,2
13800000,10.9,2
13900000,9.1,2
14000000,4.5,2
0,6.5,1
100000,10.4,1
200000,8.8,1
300000,7.3,1
400000,9.6,1
500000,9.4,1
600000,9.0,1
700000,13.9,1
800000,16.6,1
900000,14.5,1
1000000,14.4,1
1100000,16.5,1
1200000,17.1,1
1300000,16.4,1
1400000,14.1,1
1500000,14.0,1
1600000,19.1,1
1700000,19.5,1
1800000,24.8,1
1900000,28.1,1
2000000,32.7,1
2100000,36.3,1
2200000,41.1,1
2300000,45.0,1
2400000,35.4,1
2500000,42.8,1
2600000,36.3,1
2700000,36.8,1
2800000,55.9,1
2900000,52.2,1
3000000,58.8,1
3100000,48.6,1
3200000,56.0,1
3300000,72.9,1
3400000,47.4,1
3500000,80.7,1
3600000,74.1,1
3700000,67.1,1
3800000,50.1,1
3900000,57.6,1
4000000,103.5,1
4100000,122.3,1
4200000,100.6,1
4300000,119.6,1
4400000,99.1,1
4500000,83.2,1
4600000,102.4,1
4700000,108.9,1
4800000,100.2,1
4900000,112.1,1
5000000,69.3,1
5100000,113.7,1
5200000,98.8,1
5300000,85.5,1
5400000,82.0,1
5500000,118.8,1
5600000,124.8,1
5700000,124.0,1
5800000,92.9,1
5900000,136.2,1
6000000,84.5,1
6100000,102.2,1
6200000,74.0,1
6300000,25.4,1
6400000,109.6,1
6500000,80.2,1
6600000,106.2,1
6700000,78.1,1
6800000,102.7,1
6900000,45.6,1
7000000,76.3,1
7100000,88.1,1
7200000,9.8,1
7300000,45.8,1
7400000,122.1,1
7500000,32.0,1
7600000,73.9,1
7700000,73.4,1
7800000,34.2,1
7900000,41.0,1
8000000,86.3,1
