step,reward,seed
0,7.3,2
100000,14.5,2
200000,14.3,2
300000,13.8,2
400000,13.1,2
500000,11.8,2
600000,11.3,2
700000,12.0,2
800000,20.1,2
900000,17.9,2
1000000,15.1,2
1100000,19.6,2
1200000,21.5,2
1300000,28.9,2
1400000,20.0,2
1500000,21.0,2
1600000,21.7,2
1700000,26.8,2
1800000,26.7,2
1900000,26.2,2
2000000,18.0,2
2100000,11.9,2
2200000,18.9,2
2300000,9.4,2
2400000,9.5,2
2500000,9.6,2
2600000,15.6,2
2700000,16.8,2
2800000,22.5,2
2900000,17.1,2
3000000,10.1,2
3100000,6.0,2
3200000,12.3,2
3300000,24.8,2
3400000,20.0,2
3500000,23.6,2
3600000,32.3,2
3700000,12.7,2
3800000,15.2,2
3900000,23.3,2
4000000,15.0,2
4100000,11.0,2
4200000,10.2,2
4300000,8.7,2
4400000,10.2,2
4500000,12.1,2
4600000,10.7,2
4700000,14.6,2
4800000,12.6,2
4900000,10.6,2
5000000,10.7,2
5100000,14.0,2
5200000,12.2,2
5300000,9.8,2
5400000,19.6,2
5500000,16.8,2
5600000,12.0,2
5700000,16.3,2
5800000,14.7,2
5900000,10.6,2
6000000,13.2,2
6100000,7.2,2
6200000,16.8,2
6300000,19.2,2
6400000,14.9,2
6500000,14.2,2
6600000,12.3,2
6700000,15.0,2
6800000,14.7,2
6900000,14.1,2
7000000,17.4,2
7100000,11.1,2
7200000,7.5,2
7300000,16.7,2
7400000,17.7,2
7500000,16.7,2
7600000,8.6,2
7700000,12.0,2
7800000,12.1,2
7900000,13.9,2
8000000,11.2,2
8100000,13.9,2
8200000,14.3,2
8300000,12.4,2
8400000,10.6,2
8500000,11.1,2
8600000,12.8,2
8700000,13.9,2
8800000,14.5,2
8900000,12.4,2
9000000,12.9,2
9100000,10.3,2
9200000,12.4,2
9300000,11.6,2
9400000,12.8,2
9500000,14.1,2
9600000,8.1,2
9700000,10.0,2
9800000,9.9,2
9900000,9.5,2
10000000,7.9,2
10100000,11.9,2
10200000,12.5,2
10300000,12.1,2
10400000,17.5,2
10500000,9.1,2
10600000,11.6,2
10700000,20.1,2
10800000,14.3,2
10900000,13.6,2
11000000,12.7,2
11100000,13.4,2
11200000,11.4,2
11300000,13.8,2
11400000,15.1,2
11500000,8.0,2
11600000,7.8,2
11700000,9.2,2
11800000,14.0,2
11900000,13.6,2
12000000,13.9,2
12100000,9.3,2
12200000,11.9,2
12300000,11.4,2
12400000,15.1,2
12500000,16.4,2
12600000,10.8,2
12700000,10.8,2
12800000,9.9,2
12900000,11.4,2
13000000,17.3,2
13100000,11.4,2
13200000,17.4,2
13300000,11.7,2
13400000,11.8,2
13500000,5.5,2
13600000,8.1,2
13700000,10.7,2
13800000,9.6,2
13900000,15.6,2
14000000,11.9,2
0,6.7,1
100000,8.8,1
200000,10.2,1
300000,10.7,1
400000,9.0,1
500000,9.7,1
600000,11.2,1
700000,8.2,1
800000,11.3,1
900000,11.0,1
1000000,12.2,1
1100000,10.5,1
1200000,9.5,1
1300000,7.9,1
1400000,10.9,1
1500000,10.6,1
1600000,9.7,1
1700000,11.7,1
1800000,10.6,1
1900000,9.4,1
2000000,13.0,1
2100000,16.1,1
2200000,7.2,1
2300000,27.5,1
2400000,23.3,1
2500000,60.9,1
2600000,14.0,1
2700000,9.2,1
2800000,14.0,1
2900000,5.9,1
3000000,6.3,1
3100000,6.6,1
3200000,5.6,1
3300000,9.6,1
3400000,14.7,1
3500000,9.8,1
3600000,8.7,1
3700000,5.8,1
3800000,9.5,1
3900000,7.3,1
4000000,8.3,1
4100000,8.2,1
4200000,6.1,1
4300000,5.5,1
4400000,10.3,1
4500000,7.2,1
4600000,7.9,1
4700000,9.1,1
4800000,6.8,1
4900000,6.3,1
5000000,6.2,1
5100000,6.8,1
5200000,8.1,1
5300000,8.7,1
5400000,7.5,1
5500000,10.5,1
5600000,9.0,1
5700000,10.7,1
5800000,6.4,1
5900000,7.9,1
6000000,8.8,1
6100000,8.9,1
6200000,8.2,1
6300000,7.8,1
6400000,8.6,1
6500000,11.8,1
6600000,10.9,1
6700000,8.7,1
6800000,13.0,1
6900000,12.0,1
7000000,7.3,1
7100000,8.2,1
7200000,8.4,1
7300000,12.0,1
7400000,9.4,1
7500000,8.7,1
7600000,7.4,1
7700000,5.7,1
7800000,8.3,1
7900000,6.2,1
8000000,8.5,1
8100000,6.9,1
8200000,6.5,1
8300000,9.5,1
8400000,6.6,1
8500000,7.1,1
8600000,5.3,1
8700000,10.3,1
8800000,9.2,1
8900000,5.0,1
9000000,8.0,1
9100000,6.0,1
9200000,8.8,1
9300000,10.4,1
9400000,9.3,1
9500000,8.3,1
9600000,10.9,1
9700000,8.1,1
9800000,7.5,1
9900000,11.4,1
10000000,10.4,1
10100000,10.0,1
10200000,8.2,1
10300000,9.6,1
10400000,7.7,1
10500000,7.1,1
10600000,10.3,1
10700000,6.6,1
10800000,7.0,1
10900000,8.0,1
11000000,10.9,1
11100000,6.0,1
11200000,8.6,1
11300000,7.1,1
11400000,10.3,1
11500000,7.9,1
11600000,7.3,1
11700000,9.8,1
11800000,8.8,1
11900000,9.0,1
12000000,7.6,1
12100000,12.9,1
12200000,10.2,1
12300000,8.6,1
12400000,7.5,1
12500000,6.9,1
12600000,7.0,1
12700000,9.2,1
12800000,9.6,1
12900000,7.5,1
13000000,6.2,1
13100000,6.3,1
13200000,7.2,1
13300000,6.9,1
13400000,9.2,1
13500000,7.2,1
13600000,8.9,1
13700000,6.9,1
13800000,9.3,1
13900000,7.5,1
14000000,8.2,1
0,10.1,3
100000,14.5,3
200000,8.7,3
300000,14.1,3
400000,15.9,3
500000,17.6,3
600000,11.6,3
700000,18.0,3
800000,16.4,3
900000,13.7,3
1000000,18.6,3
1100000,15.9,3
1200000,17.1,3
1300000,17.9,3
1400000,15.0,3
1500000,17.0,3
1600000,16.7,3
1700000,17.8,3
1800000,12.6,3
1900000,12.7,3
2000000,20.3,3
2100000,19.4,3
2200000,18.6,3
2300000,16.8,3
2400000,15.7,3
2500000,21.8,3
2600000,11.4,3
2700000,15.8,3
2800000,17.6,3
2900000,15.3,3
3000000,15.3,3
3100000,16.2,3
3200000,17.1,3
3300000,18.8,3
3400000,17.0,3
3500000,27.8,3
3600000,33.2,3
3700000,43.6,3
3800000,34.7,3
3900000,22.0,3
4000000,34.5,3
4100000,37.0,3
4200000,39.2,3
4300000,30.1,3
4400000,55.0,3
4500000,42.2,3
4600000,71.4,3
4700000,84.0,3
4800000,81.0,3
4900000,107.6,3
5000000,105.6,3
5100000,154.9,3
5200000,132.0,3
5300000,139.5,3
5400000,112.1,3
5500000,112.8,3
5600000,112.7,3
5700000,157.8,3
5800000,126.8,3
5900000,153.3,3
6000000,206.6,3
6100000,110.2,3
6200000,88.0,3
6300000,144.7,3
6400000,48.1,3
6500000,20.2,3
6600000,12.1,3
6700000,10.8,3
6800000,9.2,3
6900000,9.5,3
7000000,6.5,3
7100000,26.9,3
7200000,26.9,3
7300000,14.6,3
7400000,15.3,3
7500000,13.6,3
7600000,6.6,3
7700000,13.6,3
7800000,10.0,3
7900000,14.6,3
8000000,15.8,3
8100000,16.9,3
8200000,13.6,3
8300000,13.3,3
8400000,15.7,3
8500000,6.5,3
8600000,9.7,3
8700000,14.9,3
8800000,16.1,3
8900000,13.2,3
9000000,10.2,3
9100000,8.4,3
9200000,17.1,3
9300000,21.1,3
9400000,10.3,3
9500000,17.1,3
9600000,12.3,3
9700000,11.7,3
9800000,11.5,3
9900000,9.6,3
