step,reward,seed
0,0.0,3
100000,743.5,3
200000,779.2,3
300000,809.7,3
400000,835.0,3
500000,831.7,3
600000,843.5,3
700000,856.7,3
800000,862.8,3
900000,854.6,3
1000000,856.2,3
1100000,896.7,3
1200000,894.4,3
1300000,973.9,3
1400000,880.2,3
1500000,912.9,3
1600000,980.5,3
1700000,982.3,3
1800000,980.1,3
1900000,979.5,3
2000000,979.8,3
2100000,983.5,3
2200000,977.7,3
2300000,979.6,3
2400000,980.8,3
2500000,975.8,3
2600000,979.9,3
2700000,982.6,3
2800000,979.5,3
2900000,980.8,3
3000000,982.6,3
3100000,983.6,3
3200000,981.7,3
3300000,978.3,3
3400000,980.9,3
3500000,978.1,3
3600000,981.9,3
3700000,980.2,3
3800000,973.1,3
3900000,982.4,3
4000000,983.4,3
0,0.0,2
100000,774.1,2
200000,831.3,2
300000,883.8,2
400000,946.9,2
500000,960.5,2
600000,873.7,2
700000,967.0,2
800000,949.9,2
900000,972.1,2
1000000,952.5,2
1100000,971.4,2
1200000,974.8,2
1300000,974.0,2
1400000,973.7,2
1500000,974.9,2
1600000,976.6,2
1700000,973.3,2
1800000,973.8,2
1900000,975.7,2
2000000,975.3,2
2100000,971.7,2
2200000,971.8,2
2300000,976.3,2
2400000,970.4,2
2500000,975.3,2
2600000,970.4,2
2700000,975.0,2
2800000,972.9,2
2900000,976.3,2
3000000,977.7,2
3100000,977.1,2
3200000,974.0,2
3300000,974.5,2
3400000,975.9,2
3500000,978.7,2
3600000,977.6,2
3700000,974.4,2
3800000,980.1,2
3900000,978.2,2
4000000,976.7,2
0,0.0,1
100000,769.6,1
200000,811.0,1
300000,837.8,1
400000,802.6,1
500000,826.3,1
600000,839.6,1
700000,832.8,1
800000,830.4,1
900000,836.1,1
1000000,825.5,1
1100000,852.8,1
1200000,850.1,1
1300000,852.7,1
1400000,852.1,1
1500000,851.6,1
1600000,850.2,1
1700000,851.8,1
1800000,845.4,1
1900000,854.5,1
2000000,851.8,1
2100000,838.2,1
2200000,851.4,1
2300000,853.6,1
2400000,849.7,1
2500000,854.9,1
2600000,857.1,1
2700000,853.4,1
2800000,856.3,1
2900000,853.3,1
3000000,855.5,1
3100000,851.6,1
3200000,844.7,1
3300000,854.3,1
3400000,848.5,1
3500000,854.4,1
3600000,848.1,1
3700000,891.3,1
3800000,882.1,1
3900000,933.6,1
4000000,981.3,1
