step,reward,seed
0,222.9,2
100000,505.4,2
200000,100.0,2
300000,205.3,2
400000,100.0,2
500000,285.6,2
600000,399.7,2
700000,349.7,2
800000,473.3,2
900000,820.5,2
1000000,845.1,2
1100000,662.5,2
1200000,760.3,2
1300000,860.1,2
1400000,936.2,2
1500000,958.3,2
1600000,967.3,2
1700000,976.4,2
1800000,974.8,2
1900000,976.8,2
2000000,972.7,2
2100000,967.5,2
2200000,962.9,2
2300000,970.2,2
2400000,965.8,2
2500000,950.7,2
2600000,971.6,2
2700000,974.6,2
2800000,972.5,2
2900000,971.9,2
3000000,954.8,2
3100000,960.7,2
3200000,965.1,2
3300000,956.5,2
3400000,984.0,2
3500000,978.1,2
3600000,979.3,2
3700000,968.0,2
3800000,972.1,2
3900000,976.2,2
4000000,963.8,2
0,100.0,3
100000,472.1,3
200000,201.6,3
300000,383.8,3
400000,448.8,3
500000,288.2,3
600000,860.0,3
700000,671.2,3
800000,657.4,3
900000,875.0,3
1000000,838.5,3
1100000,848.9,3
1200000,950.2,3
1300000,969.7,3
1400000,959.4,3
1500000,981.9,3
1600000,964.9,3
1700000,950.4,3
1800000,986.5,3
1900000,971.6,3
2000000,962.4,3
2100000,979.6,3
2200000,967.4,3
2300000,967.0,3
2400000,878.9,3
2500000,981.2,3
2600000,966.9,3
2700000,984.9,3
2800000,885.4,3
2900000,976.8,3
3000000,973.8,3
3100000,982.0,3
3200000,882.8,3
3300000,970.3,3
3400000,984.7,3
3500000,983.7,3
3600000,974.1,3
3700000,974.3,3
3800000,978.2,3
3900000,970.9,3
4000000,968.0,3
0,100.0,1
100000,181.7,1
200000,0.0,1
300000,382.7,1
400000,473.9,1
500000,363.4,1
600000,394.3,1
700000,738.5,1
800000,831.6,1
900000,793.1,1
1000000,983.3,1
1100000,751.1,1
1200000,953.9,1
1300000,951.5,1
1400000,969.1,1
1500000,869.7,1
1600000,966.4,1
1700000,965.5,1
1800000,969.3,1
1900000,883.5,1
2000000,975.2,1
2100000,877.3,1
2200000,968.5,1
2300000,974.2,1
2400000,972.2,1
2500000,963.4,1
2600000,975.4,1
2700000,973.2,1
2800000,971.3,1
2900000,976.6,1
3000000,976.2,1
3100000,876.9,1
3200000,978.8,1
3300000,968.9,1
3400000,968.9,1
3500000,963.4,1
3600000,966.4,1
3700000,982.2,1
3800000,869.4,1
3900000,987.2,1
4000000,981.8,1
