step,reward,seed
0,0.0,3
100000,98.1,3
200000,1.3,3
300000,136.6,3
400000,141.2,3
500000,186.0,3
600000,605.4,3
700000,559.6,3
800000,538.1,3
900000,668.6,3
1000000,837.3,3
1100000,848.3,3
1200000,838.9,3
1300000,677.0,3
1400000,861.8,3
1500000,861.5,3
1600000,915.8,3
1700000,950.9,3
1800000,967.8,3
1900000,763.3,3
2000000,956.4,3
2100000,962.7,3
2200000,757.7,3
2300000,957.5,3
2400000,970.0,3
2500000,972.1,3
2600000,861.9,3
2700000,977.1,3
2800000,930.5,3
2900000,965.2,3
3000000,962.3,3
3100000,879.7,3
3200000,970.2,3
3300000,964.5,3
3400000,979.9,3
3500000,966.2,3
3600000,969.3,3
3700000,970.1,3
3800000,968.7,3
3900000,968.1,3
4000000,960.7,3
0,20.3,2
100000,10.5,2
200000,16.4,2
300000,283.6,2
400000,424.9,2
500000,452.3,2
600000,435.2,2
700000,567.7,2
800000,657.4,2
900000,746.0,2
1000000,765.8,2
1100000,649.9,2
1200000,934.4,2
1300000,835.3,2
1400000,953.6,2
1500000,820.6,2
1600000,779.6,2
1700000,872.2,2
1800000,965.7,2
1900000,957.8,2
2000000,973.8,2
2100000,975.6,2
2200000,960.7,2
2300000,971.1,2
2400000,970.4,2
2500000,964.6,2
2600000,968.0,2
2700000,976.9,2
2800000,969.5,2
2900000,962.1,2
3000000,942.1,2
3100000,970.0,2
3200000,960.0,2
3300000,873.0,2
3400000,975.4,2
3500000,972.2,2
3600000,971.5,2
3700000,975.7,2
3800000,956.4,2
3900000,864.0,2
4000000,943.7,2
0,100.0,1
100000,76.5,1
200000,355.3,1
300000,391.2,1
400000,203.9,1
500000,191.0,1
600000,393.4,1
700000,354.7,1
800000,676.0,1
900000,846.2,1
1000000,693.5,1
1100000,893.6,1
1200000,865.8,1
1300000,956.0,1
1400000,768.2,1
1500000,849.6,1
1600000,963.5,1
1700000,961.5,1
1800000,965.3,1
1900000,961.9,1
2000000,967.9,1
2100000,973.8,1
2200000,960.5,1
2300000,969.0,1
2400000,969.7,1
2500000,966.6,1
2600000,972.0,1
2700000,962.7,1
2800000,962.5,1
2900000,870.4,1
3000000,969.9,1
3100000,955.2,1
3200000,976.1,1
3300000,964.1,1
3400000,954.3,1
3500000,967.0,1
3600000,956.5,1
3700000,970.8,1
3800000,953.4,1
3900000,980.2,1
4000000,972.3,1
