step,reward,seed
0,60.4,3
100000,72.1,3
200000,81.9,3
300000,69.9,3
400000,37.6,3
500000,76.8,3
600000,75.2,3
700000,86.6,3
800000,63.3,3
900000,79.9,3
1000000,74.5,3
1100000,66.5,3
1200000,67.0,3
1300000,70.1,3
1400000,137.8,3
1500000,152.2,3
1600000,74.8,3
1700000,109.1,3
1800000,75.0,3
1900000,64.4,3
2000000,75.4,3
2100000,114.0,3
2200000,46.9,3
2300000,101.7,3
2400000,57.7,3
2500000,177.8,3
2600000,66.5,3
2700000,60.9,3
2800000,135.2,3
2900000,160.1,3
3000000,72.9,3
3100000,131.4,3
3200000,59.9,3
3300000,77.6,3
3400000,63.2,3
3500000,97.6,3
3600000,46.5,3
3700000,70.4,3
3800000,47.4,3
3900000,207.1,3
4000000,198.2,3
0,57.0,2
100000,72.6,2
200000,46.6,2
300000,77.5,2
400000,68.4,2
500000,63.3,2
600000,59.1,2
700000,72.5,2
800000,75.8,2
900000,65.9,2
1000000,108.4,2
1100000,76.8,2
1200000,56.4,2
1300000,67.3,2
1400000,62.0,2
1500000,82.0,2
1600000,61.1,2
1700000,106.3,2
1800000,70.1,2
1900000,67.7,2
2000000,94.4,2
2100000,53.6,2
2200000,80.7,2
2300000,59.6,2
2400000,76.3,2
2500000,70.7,2
2600000,52.8,2
2700000,63.2,2
2800000,61.5,2
2900000,124.9,2
3000000,72.5,2
3100000,81.5,2
3200000,94.0,2
3300000,60.3,2
3400000,69.9,2
3500000,98.6,2
3600000,89.5,2
3700000,53.5,2
3800000,63.5,2
3900000,62.8,2
4000000,58.4,2
0,69.9,1
100000,145.3,1
200000,44.5,1
300000,42.9,1
400000,67.4,1
500000,55.0,1
600000,51.0,1
700000,71.1,1
800000,60.7,1
900000,51.7,1
1000000,59.6,1
1100000,105.4,1
1200000,98.6,1
1300000,51.6,1
1400000,85.4,1
1500000,53.7,1
1600000,89.9,1
1700000,81.2,1
1800000,46.2,1
1900000,50.0,1
2000000,69.9,1
2100000,60.7,1
2200000,131.9,1
2300000,42.7,1
2400000,82.8,1
2500000,41.1,1
2600000,77.6,1
2700000,50.7,1
2800000,43.2,1
2900000,57.9,1
3000000,152.7,1
3100000,106.7,1
3200000,50.6,1
3300000,96.3,1
3400000,70.4,1
3500000,58.4,1
3600000,112.5,1
3700000,144.4,1
3800000,64.5,1
3900000,120.4,1
4000000,67.9,1
