step,reward,seed
0,0.0,3
100000,0.0,3
200000,0.0,3
300000,0.0,3
400000,0.0,3
500000,0.0,3
600000,0.1,3
700000,0.0,3
800000,0.0,3
900000,0.0,3
1000000,0.0,3
1100000,11.0,3
1200000,12.6,3
1300000,11.3,3
1400000,13.6,3
1500000,19.1,3
1600000,11.3,3
1700000,15.0,3
1800000,21.2,3
1900000,16.7,3
2000000,24.4,3
2100000,22.2,3
2200000,17.1,3
2300000,30.5,3
2400000,45.5,3
2500000,152.1,3
2600000,251.2,3
2700000,255.5,3
2800000,259.8,3
2900000,268.3,3
3000000,13.0,3
3100000,172.5,3
3200000,173.8,3
3300000,9.1,3
3400000,16.0,3
3500000,154.7,3
3600000,27.1,3
3700000,53.4,3
3800000,245.5,3
3900000,258.8,3
4000000,254.8,3
0,0.2,2
100000,0.0,2
200000,0.0,2
300000,0.0,2
400000,0.0,2
500000,0.9,2
600000,0.0,2
700000,302.0,2
800000,368.8,2
900000,402.8,2
1000000,409.3,2
1100000,423.6,2
1200000,430.8,2
1300000,436.3,2
1400000,438.1,2
1500000,450.2,2
1600000,455.8,2
1700000,452.5,2
1800000,453.3,2
1900000,459.1,2
2000000,457.3,2
2100000,463.1,2
2200000,459.1,2
2300000,415.5,2
2400000,470.5,2
2500000,471.9,2
2600000,467.8,2
2700000,464.6,2
2800000,465.9,2
2900000,470.8,2
3000000,472.5,2
3100000,466.8,2
3200000,471.1,2
3300000,472.8,2
3400000,471.7,2
3500000,468.8,2
3600000,470.2,2
3700000,472.7,2
3800000,474.8,2
3900000,475.0,2
4000000,429.5,2
0,0.0,1
100000,0.0,1
200000,0.0,1
300000,0.0,1
400000,0.3,1
500000,0.0,1
600000,0.0,1
700000,0.0,1
800000,0.0,1
900000,0.0,1
1000000,0.0,1
1100000,0.0,1
1200000,0.0,1
1300000,0.0,1
1400000,0.0,1
1500000,0.0,1
1600000,0.0,1
1700000,0.0,1
1800000,0.0,1
1900000,0.1,1
2000000,0.0,1
2100000,0.1,1
2200000,0.0,1
2300000,0.0,1
2400000,0.0,1
2500000,0.0,1
2600000,0.0,1
2700000,0.0,1
2800000,0.0,1
2900000,0.0,1
3000000,0.0,1
3100000,0.0,1
3200000,0.0,1
3300000,0.0,1
3400000,0.0,1
3500000,0.0,1
3600000,0.0,1
3700000,0.0,1
3800000,0.0,1
3900000,0.0,1
4000000,0.0,1
