step,reward,seed
0,0.0,3
100000,0.0,3
200000,0.0,3
300000,0.0,3
400000,0.0,3
500000,0.4,3
600000,0.0,3
700000,0.0,3
800000,0.0,3
900000,0.0,3
1000000,0.0,3
1100000,0.0,3
1200000,26.1,3
1300000,21.1,3
1400000,55.6,3
1500000,75.5,3
1600000,37.9,3
1700000,40.3,3
1800000,62.4,3
1900000,56.3,3
2000000,78.3,3
2100000,82.9,3
2200000,41.6,3
2300000,87.2,3
2400000,90.2,3
2500000,86.6,3
2600000,93.3,3
2700000,124.3,3
2800000,96.2,3
2900000,80.1,3
3000000,106.4,3
3100000,93.2,3
3200000,53.2,3
3300000,49.5,3
3400000,85.8,3
3500000,83.1,3
3600000,66.1,3
3700000,85.0,3
3800000,87.1,3
3900000,52.2,3
4000000,105.4,3
0,0.0,2
100000,0.0,2
200000,0.0,2
300000,0.6,2
400000,2.0,2
500000,65.6,2
600000,117.2,2
700000,175.6,2
800000,189.5,2
900000,188.0,2
1000000,211.5,2
1100000,216.7,2
1200000,223.3,2
1300000,229.7,2
1400000,230.1,2
1500000,206.8,2
1600000,229.9,2
1700000,236.8,2
1800000,238.2,2
1900000,236.3,2
2000000,242.9,2
2100000,241.3,2
2200000,237.5,2
2300000,211.6,2
2400000,240.9,2
2500000,236.9,2
2600000,242.8,2
2700000,241.6,2
2800000,244.6,2
2900000,247.1,2
3000000,247.0,2
3100000,246.8,2
3200000,247.6,2
3300000,250.5,2
3400000,247.0,2
3500000,251.9,2
3600000,249.6,2
3700000,255.0,2
3800000,248.8,2
3900000,248.0,2
4000000,246.5,2
0,0.1,1
100000,0.0,1
200000,0.0,1
300000,26.2,1
400000,44.8,1
500000,46.5,1
600000,0.0,1
700000,0.0,1
800000,0.0,1
900000,0.0,1
1000000,0.0,1
1100000,0.0,1
1200000,0.0,1
1300000,0.0,1
1400000,0.0,1
1500000,0.0,1
1600000,0.0,1
1700000,0.0,1
1800000,0.0,1
1900000,0.0,1
2000000,0.0,1
2100000,0.0,1
2200000,0.0,1
2300000,0.0,1
2400000,0.2,1
2500000,0.0,1
2600000,0.0,1
2700000,0.0,1
2800000,0.2,1
2900000,0.1,1
3000000,0.0,1
3100000,0.0,1
3200000,0.0,1
3300000,0.0,1
3400000,0.0,1
3500000,0.0,1
3600000,0.0,1
3700000,0.0,1
3800000,0.0,1
3900000,0.0,1
4000000,0.0,1
