step,reward,seed
0,1.4,3
100000,3.2,3
200000,1.4,3
300000,2.9,3
400000,1.4,3
500000,1.2,3
600000,0.9,3
700000,1.3,3
800000,0.0,3
900000,0.4,3
1000000,1.4,3
1100000,0.0,3
1200000,0.9,3
1300000,1.9,3
1400000,2.0,3
1500000,470.6,3
1600000,705.7,3
1700000,827.9,3
1800000,860.6,3
1900000,851.1,3
2000000,866.7,3
2100000,868.4,3
2200000,838.6,3
2300000,877.8,3
2400000,891.8,3
2500000,886.4,3
2600000,893.2,3
2700000,813.9,3
2800000,796.3,3
2900000,889.6,3
3000000,904.5,3
3100000,905.2,3
3200000,888.8,3
3300000,896.0,3
3400000,807.8,3
3500000,909.1,3
3600000,911.6,3
3700000,907.6,3
3800000,878.2,3
3900000,875.1,3
4000000,879.1,3
0,2.8,2
100000,0.7,2
200000,0.4,2
300000,5.4,2
400000,0.8,2
500000,1.3,2
600000,48.1,2
700000,870.4,2
800000,897.1,2
900000,909.9,2
1000000,902.1,2
1100000,891.6,2
1200000,897.5,2
1300000,878.6,2
1400000,933.7,2
1500000,804.9,2
1600000,906.2,2
1700000,887.6,2
1800000,933.0,2
1900000,933.4,2
2000000,924.6,2
2100000,833.8,2
2200000,924.0,2
2300000,805.3,2
2400000,929.0,2
2500000,847.0,2
2600000,924.2,2
2700000,841.2,2
2800000,937.9,2
2900000,924.5,2
3000000,919.0,2
3100000,919.1,2
3200000,825.6,2
3300000,933.4,2
3400000,934.0,2
3500000,935.8,2
3600000,923.6,2
3700000,923.8,2
3800000,934.4,2
3900000,911.0,2
4000000,923.6,2
0,1.4,1
100000,1.9,1
200000,136.5,1
300000,0.0,1
400000,0.5,1
500000,0.0,1
600000,1.6,1
700000,2.4,1
800000,0.3,1
900000,1.0,1
1000000,2.0,1
1100000,0.3,1
1200000,0.0,1
1300000,0.9,1
1400000,1.1,1
1500000,0.0,1
1600000,0.6,1
1700000,0.4,1
1800000,0.0,1
1900000,4.8,1
2000000,0.0,1
2100000,1.8,1
2200000,1.7,1
2300000,0.5,1
2400000,0.3,1
2500000,0.6,1
2600000,0.0,1
2700000,0.0,1
2800000,2.2,1
2900000,1.2,1
3000000,1.8,1
3100000,1.1,1
3200000,0.9,1
3300000,0.7,1
3400000,3.5,1
3500000,0.5,1
3600000,1.1,1
3700000,1.3,1
3800000,1.7,1
3900000,0.7,1
4000000,0.0,1
