step,reward,seed
0,0.7,2
100000,1.1,2
200000,0.8,2
300000,1.1,2
400000,0.9,2
500000,1.0,2
600000,1.1,2
700000,1.3,2
800000,1.2,2
900000,1.4,2
1000000,1.4,2
1100000,1.4,2
1200000,1.5,2
1300000,1.2,2
1400000,1.3,2
1500000,1.4,2
1600000,1.4,2
1700000,1.2,2
1800000,1.2,2
1900000,1.5,2
2000000,1.0,2
2100000,1.8,2
2200000,1.5,2
2300000,1.5,2
2400000,1.7,2
2500000,1.2,2
2600000,1.7,2
2700000,1.7,2
2800000,1.7,2
2900000,1.7,2
3000000,1.7,2
3100000,1.9,2
3200000,1.4,2
3300000,1.5,2
3400000,1.4,2
3500000,1.6,2
3600000,1.6,2
3700000,1.6,2
3800000,1.5,2
3900000,1.4,2
4000000,1.2,2
4100000,1.8,2
4200000,1.1,2
4300000,1.7,2
4400000,1.6,2
4500000,1.6,2
4600000,2.0,2
4700000,1.2,2
4800000,1.7,2
4900000,1.5,2
5000000,1.4,2
5100000,1.8,2
5200000,1.4,2
5300000,1.7,2
5400000,2.5,2
5500000,1.3,2
5600000,1.7,2
5700000,1.4,2
5800000,1.7,2
5900000,1.5,2
6000000,1.4,2
6100000,1.3,2
6200000,1.5,2
6300000,1.6,2
6400000,1.4,2
6500000,2.1,2
6600000,1.2,2
6700000,1.7,2
6800000,1.3,2
6900000,1.7,2
7000000,1.8,2
7100000,1.5,2
7200000,1.4,2
7300000,2.0,2
7400000,1.4,2
7500000,1.3,2
7600000,1.7,2
7700000,1.9,2
7800000,1.5,2
7900000,1.6,2
8000000,1.4,2
8100000,1.2,2
8200000,1.2,2
8300000,1.5,2
8400000,2.1,2
8500000,1.5,2
8600000,1.5,2
8700000,1.6,2
8800000,1.5,2
8900000,1.5,2
9000000,1.6,2
9100000,1.8,2
9200000,2.0,2
9300000,1.7,2
9400000,1.4,2
9500000,1.3,2
9600000,1.4,2
9700000,1.2,2
9800000,1.8,2
9900000,1.7,2
10000000,1.5,2
10100000,1.3,2
10200000,1.4,2
10300000,1.5,2
10400000,1.5,2
10500000,1.5,2
10600000,1.8,2
10700000,1.8,2
10800000,1.2,2
10900000,1.3,2
11000000,1.9,2
11100000,1.6,2
11200000,2.0,2
11300000,1.7,2
11400000,1.6,2
11500000,1.6,2
11600000,2.0,2
11700000,2.0,2
11800000,1.7,2
11900000,1.8,2
12000000,1.4,2
12100000,2.0,2
12200000,1.6,2
12300000,1.8,2
12400000,1.5,2
12500000,1.9,2
12600000,2.0,2
12700000,1.8,2
12800000,1.4,2
12900000,1.4,2
13000000,1.7,2
13100000,1.8,2
13200000,1.0,2
13300000,1.5,2
13400000,1.8,2
13500000,1.5,2
13600000,2.4,2
13700000,2.0,2
13800000,1.5,2
13900000,2.1,2
14000000,1.5,2
0,0.8,1
100000,0.7,1
200000,0.8,1
300000,0.8,1
400000,1.1,1
500000,0.8,1
600000,0.9,1
700000,1.1,1
800000,0.9,1
900000,0.9,1
1000000,1.2,1
1100000,1.0,1
1200000,1.3,1
1300000,1.1,1
1400000,1.1,1
1500000,1.4,1
1600000,1.3,1
1700000,1.5,1
1800000,1.4,1
1900000,1.6,1
2000000,1.3,1
2100000,1.3,1
2200000,1.3,1
2300000,1.4,1
2400000,1.2,1
2500000,1.3,1
2600000,1.6,1
2700000,1.4,1
2800000,1.6,1
2900000,1.5,1
3000000,1.3,1
3100000,1.5,1
3200000,1.7,1
3300000,1.6,1
3400000,1.0,1
3500000,1.4,1
3600000,1.8,1
3700000,1.3,1
3800000,1.6,1
3900000,1.4,1
4000000,1.4,1
4100000,1.7,1
4200000,1.7,1
4300000,1.3,1
4400000,1.4,1
4500000,1.4,1
4600000,1.3,1
4700000,1.3,1
4800000,1.8,1
4900000,1.4,1
5000000,1.4,1
5100000,1.5,1
5200000,1.6,1
5300000,1.4,1
5400000,1.7,1
5500000,1.3,1
5600000,1.1,1
5700000,1.4,1
5800000,1.3,1
5900000,2.0,1
6000000,1.7,1
6100000,1.5,1
6200000,1.8,1
6300000,1.8,1
6400000,1.7,1
6500000,1.4,1
6600000,1.5,1
6700000,2.0,1
6800000,1.7,1
6900000,1.4,1
7000000,1.7,1
7100000,2.2,1
7200000,1.4,1
7300000,1.4,1
7400000,1.5,1
7500000,1.8,1
7600000,1.6,1
7700000,1.5,1
7800000,1.9,1
7900000,1.3,1
8000000,1.8,1
8100000,1.4,1
8200000,1.6,1
8300000,1.5,1
8400000,1.7,1
8500000,1.8,1
8600000,1.4,1
8700000,1.8,1
8800000,1.6,1
8900000,1.5,1
9000000,1.8,1
9100000,1.5,1
9200000,2.1,1
9300000,1.6,1
9400000,1.8,1
9500000,1.8,1
9600000,1.8,1
9700000,1.4,1
9800000,2.0,1
9900000,1.3,1
10000000,1.3,1
10100000,1.4,1
10200000,1.5,1
10300000,1.3,1
10400000,1.7,1
10500000,1.4,1
10600000,1.9,1
10700000,1.5,1
10800000,1.3,1
10900000,1.5,1
11000000,1.7,1
11100000,1.9,1
11200000,1.5,1
11300000,1.4,1
11400000,1.7,1
11500000,1.5,1
11600000,1.4,1
11700000,2.4,1
11800000,2.0,1
11900000,1.7,1
12000000,1.6,1
12100000,1.4,1
12200000,1.6,1
12300000,1.5,1
12400000,2.1,1
12500000,1.6,1
12600000,1.4,1
12700000,1.2,1
12800000,1.7,1
12900000,1.2,1
13000000,1.4,1
13100000,1.7,1
13200000,1.5,1
13300000,1.6,1
13400000,1.4,1
13500000,1.5,1
13600000,1.9,1
13700000,1.9,1
13800000,2.2,1
13900000,1.9,1
14000000,1.7,1
0,0.7,3
100000,0.7,3
200000,0.5,3
300000,0.6,3
400000,0.9,3
500000,0.9,3
600000,1.2,3
700000,1.5,3
800000,1.3,3
900000,1.1,3
1000000,1.1,3
1100000,1.7,3
1200000,1.2,3
1300000,1.5,3
1400000,1.4,3
1500000,1.0,3
1600000,1.2,3
1700000,1.4,3
1800000,1.1,3
1900000,1.3,3
2000000,1.3,3
2100000,1.5,3
2200000,1.5,3
2300000,1.5,3
2400000,1.6,3
2500000,1.0,3
2600000,1.3,3
2700000,1.7,3
2800000,1.2,3
2900000,1.7,3
3000000,1.6,3
3100000,1.5,3
3200000,1.4,3
3300000,1.6,3
3400000,1.3,3
3500000,1.5,3
3600000,1.5,3
3700000,1.7,3
3800000,1.3,3
3900000,1.8,3
4000000,1.3,3
4100000,1.1,3
4200000,1.7,3
4300000,1.9,3
4400000,1.3,3
4500000,1.5,3
4600000,1.8,3
4700000,1.4,3
4800000,1.9,3
4900000,1.3,3
5000000,1.2,3
5100000,1.1,3
5200000,1.5,3
5300000,2.0,3
5400000,1.7,3
5500000,1.3,3
5600000,1.5,3
5700000,2.0,3
5800000,1.5,3
5900000,1.5,3
6000000,2.2,3
6100000,1.4,3
6200000,1.6,3
6300000,2.0,3
6400000,1.6,3
6500000,1.7,3
6600000,1.7,3
6700000,1.3,3
6800000,1.6,3
6900000,1.6,3
7000000,1.5,3
7100000,2.6,3
7200000,1.7,3
7300000,1.5,3
7400000,1.9,3
7500000,1.6,3
7600000,1.5,3
7700000,1.5,3
7800000,2.0,3
7900000,1.5,3
8000000,1.3,3
8100000,2.0,3
8200000,1.4,3
8300000,1.7,3
8400000,2.2,3
8500000,1.6,3
8600000,1.6,3
8700000,2.0,3
8800000,1.8,3
8900000,1.9,3
9000000,1.5,3
9100000,1.7,3
9200000,2.2,3
9300000,1.9,3
9400000,1.6,3
9500000,1.6,3
9600000,2.1,3
9700000,1.7,3
9800000,1.6,3
9900000,2.2,3
10000000,1.6,3
10100000,2.5,3
10200000,1.0,3
10300000,1.3,3
10400000,2.0,3
10500000,1.9,3
10600000,2.5,3
10700000,1.3,3
10800000,1.7,3
10900000,1.8,3
11000000,1.4,3
11100000,1.3,3
11200000,1.8,3
11300000,1.9,3
11400000,2.1,3
11500000,1.8,3
11600000,1.9,3
11700000,1.9,3
11800000,1.3,3
11900000,2.3,3
12000000,2.0,3
12100000,1.8,3
12200000,1.8,3
12300000,1.6,3
12400000,2.0,3
12500000,1.5,3
12600000,2.4,3
12700000,1.7,3
12800000,0.9,3
12900000,1.6,3
13000000,1.8,3
13100000,1.4,3
13200000,2.1,3
13300000,1.4,3
13400000,1.6,3
13500000,1.8,3
13600000,1.6,3
13700000,2.5,3
13800000,1.7,3
13900000,1.8,3
14000000,1.5,3
