step,reward,seed
0,4.2,3
100000,3.6,3
200000,3.3,3
300000,3.0,3
400000,4.3,3
500000,5.0,3
600000,6.7,3
700000,7.1,3
800000,7.1,3
900000,6.4,3
1000000,6.4,3
1100000,8.7,3
1200000,7.4,3
1300000,7.3,3
1400000,7.4,3
1500000,6.4,3
1600000,7.6,3
1700000,7.1,3
1800000,5.9,3
1900000,8.3,3
2000000,8.3,3
2100000,8.5,3
2200000,9.0,3
2300000,9.1,3
2400000,6.9,3
2500000,7.4,3
2600000,9.4,3
2700000,9.4,3
2800000,7.3,3
2900000,9.1,3
3000000,9.4,3
3100000,9.2,3
3200000,7.5,3
3300000,8.1,3
3400000,7.8,3
3500000,9.2,3
3600000,8.5,3
3700000,9.5,3
3800000,7.5,3
3900000,8.9,3
4000000,7.5,3
4100000,6.5,3
4200000,8.7,3
4300000,9.4,3
4400000,7.7,3
4500000,9.1,3
4600000,9.5,3
4700000,6.7,3
4800000,9.8,3
4900000,7.6,3
5000000,7.8,3
5100000,5.7,3
5200000,6.7,3
5300000,9.1,3
5400000,7.8,3
5500000,6.4,3
5600000,7.8,3
5700000,9.4,3
5800000,8.6,3
5900000,7.6,3
6000000,9.3,3
6100000,7.1,3
6200000,8.0,3
6300000,8.2,3
6400000,8.0,3
6500000,9.6,3
6600000,9.3,3
6700000,7.3,3
6800000,8.3,3
6900000,7.8,3
7000000,8.3,3
7100000,8.8,3
7200000,8.7,3
7300000,9.0,3
7400000,12.0,3
7500000,7.4,3
7600000,8.1,3
7700000,6.3,3
7800000,10.4,3
7900000,9.2,3
8000000,8.2,3
8100000,9.4,3
8200000,10.0,3
8300000,8.9,3
8400000,8.7,3
8500000,7.5,3
8600000,9.2,3
8700000,9.9,3
8800000,9.6,3
8900000,9.8,3
9000000,9.5,3
9100000,7.6,3
9200000,10.3,3
9300000,12.4,3
9400000,8.9,3
9500000,9.0,3
9600000,10.1,3
9700000,11.0,3
9800000,10.0,3
9900000,9.6,3
10000000,8.7,3
10100000,11.8,3
10200000,8.0,3
10300000,7.4,3
10400000,8.5,3
10500000,8.2,3
10600000,8.9,3
10700000,8.1,3
10800000,7.8,3
10900000,9.8,3
11000000,9.1,3
11100000,7.4,3
11200000,9.6,3
11300000,10.7,3
11400000,10.2,3
11500000,9.5,3
11600000,9.3,3
11700000,9.2,3
11800000,8.0,3
11900000,10.9,3
12000000,9.9,3
12100000,9.8,3
12200000,10.1,3
12300000,8.7,3
12400000,10.2,3
12500000,8.4,3
12600000,9.1,3
12700000,7.7,3
12800000,6.9,3
12900000,8.8,3
13000000,9.2,3
13100000,8.7,3
13200000,11.1,3
13300000,7.5,3
13400000,8.9,3
13500000,9.7,3
13600000,9.9,3
13700000,10.6,3
13800000,11.6,3
13900000,11.9,3
14000000,10.9,3
0,4.2,2
100000,6.3,2
200000,4.8,2
300000,6.1,2
400000,4.4,2
500000,6.0,2
600000,5.5,2
700000,6.2,2
800000,5.5,2
900000,7.0,2
1000000,6.5,2
1100000,7.1,2
1200000,6.3,2
1300000,6.4,2
1400000,6.8,2
1500000,8.1,2
1600000,6.3,2
1700000,6.8,2
1800000,6.0,2
1900000,8.5,2
2000000,6.1,2
2100000,8.3,2
