step,reward,seed
0,0.9,1
100000,0.9,1
200000,1.1,1
300000,1.0,1
400000,1.6,1
500000,1.2,1
600000,1.3,1
700000,1.5,1
800000,1.4,1
900000,1.9,1
1000000,2.3,1
1100000,1.7,1
1200000,2.6,1
1300000,2.2,1
1400000,1.6,1
1500000,2.6,1
1600000,2.4,1
1700000,3.1,1
1800000,2.2,1
1900000,2.5,1
2000000,2.3,1
2100000,1.7,1
2200000,3.0,1
2300000,2.6,1
2400000,1.8,1
2500000,2.5,1
2600000,2.7,1
2700000,2.0,1
2800000,4.5,1
2900000,2.3,1
3000000,2.3,1
3100000,2.6,1
3200000,2.5,1
3300000,3.1,1
3400000,2.2,1
3500000,2.7,1
3600000,3.7,1
3700000,2.2,1
3800000,2.7,1
3900000,2.7,1
4000000,2.7,1
4100000,3.6,1
4200000,3.3,1
4300000,2.5,1
4400000,3.7,1
4500000,2.4,1
4600000,4.4,1
4700000,2.4,1
4800000,4.1,1
4900000,4.3,1
5000000,3.2,1
5100000,3.3,1
5200000,3.6,1
5300000,2.6,1
5400000,4.2,1
5500000,2.5,1
5600000,2.2,1
5700000,3.2,1
5800000,3.1,1
5900000,6.4,1
6000000,3.7,1
6100000,3.6,1
6200000,4.7,1
6300000,3.3,1
6400000,3.8,1
6500000,3.7,1
6600000,3.6,1
6700000,4.1,1
6800000,5.2,1
6900000,3.8,1
7000000,3.6,1
7100000,5.8,1
7200000,2.8,1
7300000,2.7,1
7400000,2.8,1
7500000,4.3,1
7600000,4.1,1
7700000,3.8,1
7800000,4.8,1
7900000,3.4,1
8000000,3.7,1
8100000,3.4,1
8200000,3.3,1
8300000,2.6,1
8400000,3.7,1
8500000,3.9,1
8600000,5.7,1
8700000,4.2,1
8800000,3.8,1
8900000,3.9,1
9000000,4.2,1
9100000,3.3,1
9200000,4.9,1
9300000,3.9,1
9400000,6.4,1
9500000,3.3,1
9600000,5.5,1
9700000,3.8,1
9800000,4.1,1
9900000,3.5,1
10000000,6.2,1
10100000,3.5,1
10200000,4.1,1
10300000,2.5,1
10400000,4.5,1
10500000,4.0,1
10600000,8.3,1
10700000,3.3,1
10800000,4.3,1
10900000,3.2,1
11000000,4.3,1
11100000,6.5,1
11200000,3.6,1
11300000,5.8,1
11400000,3.1,1
11500000,3.2,1
11600000,2.9,1
11700000,6.1,1
11800000,4.7,1
11900000,4.6,1
12000000,2.6,1
12100000,3.5,1
12200000,3.6,1
12300000,3.1,1
12400000,5.3,1
12500000,4.7,1
12600000,2.8,1
12700000,2.5,1
12800000,5.8,1
12900000,3.5,1
13000000,5.6,1
13100000,3.7,1
13200000,8.0,1
13300000,3.7,1
13400000,4.2,1
13500000,2.8,1
13600000,6.3,1
13700000,3.9,1
13800000,5.4,1
13900000,4.4,1
14000000,6.4,1
0,0.8,2
100000,1.4,2
200000,1.3,2
300000,1.7,2
400000,1.3,2
500000,1.8,2
600000,1.9,2
700000,2.3,2
800000,2.2,2
900000,2.5,2
1000000,2.3,2
1100000,3.9,2
1200000,1.4,2
1300000,2.4,2
1400000,2.1,2
1500000,2.7,2
1600000,2.9,2
1700000,2.2,2
1800000,1.8,2
1900000,2.1,2
2000000,1.4,2
2100000,2.8,2
2200000,2.8,2
2300000,2.6,2
2400000,4.0,2
2500000,2.5,2
2600000,4.6,2
2700000,2.3,2
2800000,2.8,2
2900000,2.7,2
3000000,2.6,2
3100000,17.2,2
3200000,246.9,2
3300000,354.6,2
3400000,376.8,2
3500000,429.6,2
3600000,469.5,2
3700000,472.2,2
3800000,504.1,2
3900000,510.5,2
4000000,516.3,2
4100000,536.9,2
4200000,531.5,2
4300000,546.9,2
4400000,551.2,2
4500000,563.8,2
4600000,567.1,2
4700000,576.1,2
4800000,575.7,2
4900000,587.7,2
5000000,1.3,2
5100000,420.6,2
5200000,577.4,2
5300000,605.7,2
5400000,610.6,2
5500000,609.7,2
5600000,617.8,2
5700000,617.4,2
5800000,626.8,2
5900000,567.6,2
6000000,633.1,2
6100000,630.0,2
6200000,636.6,2
6300000,643.5,2
6400000,644.3,2
6500000,651.3,2
6600000,650.4,2
6700000,642.0,2
6800000,648.1,2
6900000,658.7,2
7000000,669.2,2
7100000,39.4,2
7200000,3.6,2
7300000,653.7,2
7400000,673.5,2
7500000,745.6,2
7600000,775.7,2
7700000,836.1,2
7800000,39.3,2
7900000,840.7,2
8000000,29.6,2
8100000,843.2,2
8200000,861.5,2
8300000,104.8,2
8400000,856.9,2
8500000,866.3,2
8600000,859.0,2
8700000,869.0,2
8800000,861.7,2
8900000,860.5,2
9000000,872.5,2
9100000,869.6,2
9200000,869.5,2
9300000,863.4,2
9400000,876.8,2
9500000,835.5,2
9600000,868.8,2
9700000,858.4,2
9800000,859.4,2
9900000,869.7,2
10000000,872.5,2
10100000,857.7,2
10200000,869.9,2
10300000,853.2,2
10400000,869.1,2
10500000,873.4,2
10600000,628.1,2
10700000,785.3,2
10800000,867.4,2
10900000,862.6,2
11000000,571.3,2
11100000,873.3,2
11200000,861.0,2
11300000,852.3,2
11400000,848.5,2
11500000,283.6,2
11600000,877.8,2
11700000,867.9,2
11800000,613.1,2
11900000,879.3,2
12000000,872.7,2
12100000,798.1,2
12200000,867.1,2
12300000,887.0,2
12400000,878.1,2
12500000,863.1,2
12600000,251.6,2
12700000,883.9,2
12800000,879.7,2
12900000,1.5,2
13000000,878.4,2
13100000,890.9,2
13200000,875.0,2
13300000,878.0,2
13400000,714.5,2
13500000,723.2,2
13600000,891.0,2
13700000,879.2,2
13800000,797.9,2
13900000,867.2,2
14000000,881.4,2
0,0.8,3
100000,1.0,3
200000,0.8,3
300000,0.8,3
400000,1.1,3
500000,1.2,3
600000,2.1,3
700000,2.1,3
800000,2.4,3
900000,1.7,3
1000000,1.4,3
1100000,2.2,3
1200000,1.6,3
1300000,2.3,3
1400000,2.0,3
1500000,1.9,3
1600000,1.8,3
1700000,2.9,3
1800000,1.3,3
1900000,1.3,3
2000000,1.7,3
2100000,1.2,3
2200000,2.8,3
2300000,2.1,3
2400000,4.5,3
2500000,1.8,3
2600000,2.1,3
2700000,3.4,3
2800000,2.1,3
2900000,2.6,3
3000000,2.2,3
3100000,3.7,3
3200000,2.1,3
3300000,2.1,3
3400000,2.6,3
3500000,3.0,3
3600000,2.6,3
3700000,2.2,3
3800000,2.6,3
3900000,3.0,3
4000000,2.3,3
4100000,1.8,3
4200000,3.3,3
4300000,3.2,3
4400000,2.0,3
4500000,2.8,3
4600000,2.7,3
4700000,2.2,3
4800000,3.2,3
4900000,2.0,3
5000000,2.2,3
5100000,2.1,3
5200000,2.6,3
5300000,4.0,3
5400000,3.8,3
5500000,2.2,3
5600000,2.7,3
5700000,5.6,3
5800000,2.5,3
5900000,2.8,3
6000000,3.5,3
6100000,1.8,3
6200000,2.8,3
6300000,3.4,3
6400000,2.8,3
6500000,3.9,3
6600000,4.9,3
6700000,2.5,3
6800000,2.9,3
6900000,5.4,3
7000000,3.1,3
7100000,3.4,3
7200000,2.9,3
7300000,5.3,3
7400000,5.9,3
7500000,3.6,3
7600000,4.1,3
7700000,15.0,3
7800000,10.4,3
7900000,8.8,3
8000000,74.4,3
8100000,183.7,3
8200000,236.1,3
8300000,266.3,3
8400000,292.9,3
8500000,278.8,3
8600000,11.5,3
8700000,311.9,3
8800000,323.9,3
8900000,337.3,3
9000000,345.6,3
9100000,364.4,3
9200000,378.8,3
9300000,367.8,3
9400000,397.8,3
9500000,408.0,3
9600000,411.3,3
9700000,427.8,3
9800000,431.8,3
9900000,439.1,3
10000000,446.7,3
10100000,447.1,3
10200000,448.2,3
10300000,472.9,3
10400000,477.1,3
10500000,476.4,3
10600000,3.0,3
10700000,478.5,3
10800000,495.0,3
10900000,507.6,3
11000000,508.7,3
11100000,517.7,3
11200000,503.7,3
11300000,512.9,3
11400000,529.3,3
11500000,533.0,3
11600000,538.8,3
11700000,536.8,3
11800000,537.5,3
11900000,549.8,3
12000000,563.0,3
12100000,551.6,3
12200000,555.3,3
12300000,561.5,3
12400000,563.5,3
12500000,573.0,3
12600000,570.6,3
12700000,1.7,3
12800000,582.9,3
12900000,597.1,3
13000000,607.5,3
13100000,620.5,3
13200000,623.7,3
13300000,607.2,3
13400000,630.0,3
13500000,667.3,3
13600000,1.8,3
13700000,539.4,3
13800000,680.8,3
13900000,696.8,3
14000000,49.1,3
