step,reward,seed
0,84.3,3
100000,503.9,3
200000,513.5,3
300000,502.2,3
400000,498.7,3
500000,505.3,3
600000,505.3,3
700000,513.2,3
800000,503.3,3
900000,504.8,3
1000000,506.5,3
1100000,511.1,3
1200000,513.0,3
1300000,508.5,3
1400000,503.1,3
1500000,511.1,3
1600000,511.4,3
1700000,500.0,3
1800000,510.4,3
1900000,504.2,3
2000000,503.9,3
2100000,501.2,3
2200000,501.5,3
2300000,513.1,3
2400000,508.6,3
2500000,512.4,3
2600000,506.8,3
2700000,507.8,3
2800000,518.0,3
2900000,515.7,3
3000000,511.3,3
3100000,509.1,3
3200000,510.3,3
3300000,508.3,3
3400000,507.7,3
3500000,508.9,3
3600000,506.6,3
3700000,516.5,3
3800000,508.9,3
3900000,511.6,3
4000000,497.3,3
0,137.5,2
100000,503.5,2
200000,501.9,2
300000,500.5,2
400000,513.5,2
500000,503.6,2
600000,512.4,2
700000,504.2,2
800000,501.7,2
900000,506.0,2
1000000,504.5,2
1100000,503.4,2
1200000,510.4,2
1300000,502.6,2
1400000,503.1,2
1500000,509.3,2
1600000,507.2,2
1700000,510.8,2
1800000,512.5,2
1900000,501.1,2
2000000,509.7,2
2100000,510.3,2
2200000,515.1,2
2300000,503.8,2
2400000,508.7,2
2500000,507.3,2
2600000,516.2,2
2700000,511.3,2
2800000,507.5,2
2900000,516.9,2
3000000,511.1,2
3100000,509.1,2
3200000,513.2,2
3300000,513.2,2
3400000,509.2,2
3500000,517.6,2
3600000,513.6,2
3700000,512.2,2
3800000,507.8,2
3900000,513.5,2
4000000,512.0,2
0,107.9,1
100000,484.2,1
200000,498.1,1
300000,495.9,1
400000,486.1,1
500000,499.5,1
600000,499.7,1
700000,510.6,1
800000,505.8,1
900000,511.1,1
1000000,500.5,1
1100000,499.0,1
1200000,496.5,1
1300000,501.8,1
1400000,499.3,1
1500000,506.0,1
1600000,507.2,1
1700000,514.2,1
1800000,507.2,1
1900000,510.4,1
2000000,506.8,1
2100000,510.5,1
2200000,506.6,1
2300000,496.3,1
2400000,501.8,1
2500000,505.2,1
2600000,510.5,1
2700000,510.3,1
2800000,512.4,1
2900000,503.4,1
3000000,510.0,1
3100000,509.7,1
3200000,504.8,1
3300000,500.9,1
3400000,512.0,1
3500000,516.5,1
3600000,501.8,1
3700000,513.8,1
3800000,511.5,1
3900000,512.3,1
4000000,508.3,1
