step,reward,seed
0,1.5,3
100000,188.1,3
200000,803.8,3
300000,820.8,3
400000,796.1,3
500000,834.5,3
600000,827.8,3
700000,890.1,3
800000,805.5,3
900000,811.0,3
1000000,860.8,3
1100000,835.6,3
1200000,879.0,3
1300000,844.5,3
1400000,807.4,3
1500000,848.8,3
1600000,841.4,3
1700000,782.7,3
1800000,836.8,3
1900000,816.6,3
2000000,818.8,3
2100000,799.6,3
2200000,771.7,3
2300000,848.1,3
2400000,815.1,3
2500000,857.6,3
2600000,825.0,3
2700000,840.6,3
2800000,876.4,3
2900000,884.5,3
3000000,868.4,3
3100000,816.6,3
3200000,821.4,3
3300000,813.5,3
3400000,824.5,3
3500000,831.9,3
3600000,811.5,3
3700000,864.2,3
3800000,849.0,3
3900000,866.0,3
4000000,765.7,3
0,0.0,2
100000,100.0,2
200000,0.0,2
300000,100.0,2
400000,99.4,2
500000,191.4,2
600000,294.6,2
700000,0.0,2
800000,0.0,2
900000,188.0,2
1000000,200.0,2
1100000,93.8,2
1200000,93.8,2
1300000,93.9,2
1400000,270.4,2
1500000,620.3,2
1600000,636.8,2
1700000,805.7,2
1800000,879.7,2
1900000,810.9,2
2000000,833.3,2
2100000,834.3,2
2200000,868.9,2
2300000,788.8,2
2400000,826.9,2
2500000,821.7,2
2600000,913.3,2
2700000,844.8,2
2800000,819.4,2
2900000,855.6,2
3000000,808.7,2
3100000,807.1,2
3200000,887.9,2
3300000,867.7,2
3400000,857.1,2
3500000,887.5,2
3600000,868.3,2
3700000,855.7,2
3800000,827.8,2
3900000,862.0,2
4000000,859.1,2
0,0.0,1
100000,0.0,1
200000,0.0,1
300000,100.0,1
400000,0.0,1
500000,199.3,1
600000,0.0,1
700000,0.0,1
800000,198.4,1
900000,98.0,1
1000000,0.0,1
1100000,0.0,1
1200000,0.0,1
1300000,0.0,1
1400000,0.0,1
1500000,0.0,1
1600000,98.4,1
1700000,30.1,1
1800000,99.5,1
1900000,98.4,1
2000000,100.0,1
2100000,0.0,1
2200000,0.0,1
2300000,0.0,1
2400000,100.0,1
2500000,0.0,1
2600000,100.0,1
2700000,0.0,1
2800000,0.0,1
2900000,100.0,1
3000000,0.0,1
3100000,0.0,1
3200000,0.0,1
3300000,0.0,1
3400000,97.6,1
3500000,0.0,1
3600000,0.0,1
3700000,299.5,1
3800000,215.5,1
3900000,116.4,1
4000000,100.0,1
