step,success,seed
0,0,3
100000,0,3
200000,0,3
300000,0,3
400000,0,3
500000,0,3
600000,0,3
700000,0,3
800000,0,3
900000,0,3
1000000,0,3
1100000,0,3
1200000,0,3
1300000,0,3
1400000,0,3
1500000,0,3
1600000,0,3
1700000,0,3
1800000,0,3
1900000,0,3
2000000,0,3
2100000,0,3
2200000,0,3
2300000,0,3
2400000,0,3
2500000,0,3
2600000,0,3
2700000,0,3
2800000,0,3
2900000,0,3
3000000,0,3
3100000,0,3
3200000,0,3
3300000,0,3
3400000,0,3
3500000,0,3
3600000,0,3
3700000,0,3
3800000,0,3
3900000,0,3
4000000,0,3
4100000,0,3
4200000,0,3
4300000,0,3
4400000,0,3
4500000,0,3
4600000,0,3
4700000,0,3
4800000,0,3
4900000,0,3
5000000,0,3
5100000,0,3
5200000,0,3
5300000,0,3
5400000,0,3
5500000,0,3
5600000,0,3
5700000,0,3
5800000,0,3
5900000,0,3
6000000,0,3
6100000,0,3
6200000,0,3
6300000,0,3
6400000,0,3
6500000,0,3
6600000,0,3
6700000,0,3
6800000,0,3
6900000,0,3
7000000,0,3
7100000,0,3
7200000,0,3
7300000,0,3
7400000,0,3
7500000,0,3
7600000,0,3
7700000,0,3
7800000,0,3
7900000,0,3
8000000,0,3
8100000,0,3
8200000,0,3
8300000,0,3
8400000,0,3
8500000,0,3
8600000,0,3
8700000,0,3
8800000,0,3
8900000,0,3
9000000,0,3
9100000,0,3
9200000,0,3
9300000,0,3
9400000,0,3
9500000,0,3
9600000,0,3
9700000,0,3
9800000,0,3
9900000,0,3
10000000,0,3
10100000,0,3
10200000,0,3
10300000,0,3
10400000,0,3
10500000,0,3
10600000,0,3
10700000,0,3
10800000,0,3
10900000,0,3
11000000,0,3
11100000,0,3
11200000,0,3
11300000,0,3
11400000,0,3
11500000,0,3
11600000,0,3
11700000,0,3
11800000,0,3
11900000,0,3
12000000,0,3
12100000,0,3
12200000,0,3
12300000,0,3
12400000,0,3
12500000,0,3
12600000,0,3
12700000,0,3
12800000,0,3
12900000,0,3
13000000,0,3
13100000,0,3
13200000,0,3
0,0,2
100000,0,2
200000,0,2
300000,0,2
400000,0,2
500000,0,2
600000,0,2
700000,0,2
800000,0,2
900000,0,2
1000000,0,2
1100000,0,2
1200000,0,2
1300000,0,2
1400000,0,2
1500000,0,2
1600000,0,2
1700000,0,2
1800000,0,2
1900000,0,2
2000000,0,2
2100000,0,2
2200000,0,2
2300000,0,2
2400000,0,2
2500000,0,2
2600000,0,2
2700000,0,2
2800000,0,2
2900000,0,2
3000000,0,2
3100000,0,2
3200000,0,2
3300000,0,2
3400000,0,2
3500000,0,2
3600000,0,2
3700000,0,2
3800000,0,2
3900000,0,2
4000000,0,2
4100000,0,2
4200000,0,2
4300000,0,2
4400000,0,2
4500000,0,2
4600000,0,2
4700000,0,2
4800000,0,2
4900000,0,2
5000000,0,2
5100000,0,2
5200000,0,2
5300000,0,2
5400000,0,2
5500000,0,2
5600000,0,2
5700000,0,2
5800000,0,2
5900000,0,2
6000000,0,2
6100000,0,2
6200000,0,2
6300000,0,2
6400000,0,2
6500000,0,2
6600000,0,2
6700000,0,2
6800000,0,2
6900000,0,2
7000000,0,2
7100000,0,2
7200000,0,2
7300000,0,2
7400000,0,2
7500000,0,2
7600000,0,2
7700000,0,2
7800000,0,2
7900000,0,2
8000000,0,2
8100000,0,2
8200000,0,2
8300000,0,2
8400000,0,2
8500000,0,2
8600000,0,2
8700000,0,2
8800000,0,2
8900000,0,2
9000000,0,2
9100000,0,2
9200000,0,2
9300000,0,2
9400000,0,2
9500000,0,2
9600000,0,2
9700000,0,2
9800000,0,2
9900000,0,2
10000000,0,2
10100000,0,2
10200000,0,2
10300000,0,2
10400000,0,2
10500000,0,2
10600000,0,2
10700000,0,2
10800000,0,2
10900000,0,2
11000000,0,2
