step,reward,seed
0,203.5,3
100000,33.0,3
200000,56.4,3
300000,69.6,3
400000,112.5,3
500000,74.2,3
600000,64.8,3
700000,58.7,3
800000,158.8,3
900000,185.0,3
1000000,153.5,3
1100000,264.6,3
1200000,243.8,3
1300000,268.6,3
1400000,226.1,3
1500000,309.4,3
1600000,227.7,3
1700000,331.2,3
1800000,329.8,3
1900000,306.5,3
2000000,349.1,3
2100000,281.2,3
2200000,272.8,3
2300000,250.5,3
2400000,293.0,3
2500000,283.0,3
2600000,351.6,3
2700000,305.4,3
2800000,356.8,3
2900000,374.9,3
3000000,328.8,3
3100000,358.1,3
3200000,331.2,3
3300000,331.2,3
3400000,330.4,3
3500000,330.7,3
3600000,312.9,3
3700000,332.9,3
3800000,336.0,3
3900000,288.8,3
4000000,332.0,3
0,209.2,2
100000,60.0,2
200000,12.6,2
300000,57.9,2
400000,209.4,2
500000,120.3,2
600000,118.7,2
700000,168.2,2
800000,125.4,2
900000,212.8,2
1000000,289.7,2
1100000,255.5,2
1200000,262.5,2
1300000,297.5,2
1400000,341.0,2
1500000,291.4,2
1600000,353.2,2
1700000,276.1,2
1800000,380.5,2
1900000,355.9,2
2000000,298.5,2
2100000,306.5,2
2200000,339.1,2
2300000,305.1,2
2400000,329.4,2
2500000,350.9,2
2600000,301.0,2
2700000,258.1,2
2800000,279.0,2
2900000,305.2,2
3000000,271.8,2
3100000,279.2,2
3200000,276.5,2
3300000,317.3,2
3400000,327.1,2
3500000,279.0,2
3600000,363.0,2
3700000,278.6,2
3800000,359.2,2
3900000,334.5,2
4000000,249.1,2
0,54.9,1
100000,58.6,1
200000,160.9,1
300000,208.8,1
400000,274.4,1
500000,163.5,1
600000,99.2,1
700000,273.6,1
800000,380.3,1
900000,211.9,1
1000000,328.0,1
1100000,235.4,1
1200000,236.0,1
1300000,358.7,1
1400000,318.6,1
1500000,408.4,1
1600000,343.3,1
1700000,351.5,1
1800000,273.6,1
1900000,324.5,1
2000000,374.6,1
2100000,350.9,1
2200000,375.5,1
2300000,383.6,1
2400000,405.9,1
2500000,437.4,1
2600000,481.9,1
2700000,524.3,1
2800000,503.4,1
2900000,516.4,1
3000000,557.9,1
3100000,547.1,1
3200000,574.4,1
3300000,584.0,1
3400000,697.1,1
3500000,642.5,1
3600000,744.5,1
3700000,701.6,1
3800000,694.5,1
3900000,767.1,1
4000000,810.5,1
