step,reward,seed
0,198.4,3
100000,86.5,3
200000,79.1,3
300000,74.1,3
400000,49.9,3
500000,220.4,3
600000,41.6,3
700000,67.0,3
800000,102.2,3
900000,189.8,3
1000000,211.6,3
1100000,168.1,3
1200000,293.0,3
1300000,294.1,3
1400000,201.4,3
1500000,290.1,3
1600000,222.4,3
1700000,395.7,3
1800000,352.6,3
1900000,341.1,3
2000000,432.7,3
2100000,204.1,3
2200000,203.4,3
2300000,82.3,3
2400000,321.7,3
2500000,201.9,3
2600000,387.1,3
2700000,293.9,3
2800000,578.2,3
2900000,464.5,3
3000000,390.3,3
3100000,447.6,3
3200000,346.7,3
3300000,221.6,3
3400000,361.0,3
3500000,214.7,3
3600000,342.4,3
3700000,345.1,3
3800000,443.4,3
3900000,271.7,3
4000000,437.8,3
0,209.6,2
100000,19.6,2
200000,10.7,2
300000,36.1,2
400000,128.2,2
500000,100.4,2
600000,117.9,2
700000,129.1,2
800000,53.8,2
900000,318.3,2
1000000,576.4,2
1100000,784.2,2
1200000,854.9,2
1300000,876.9,2
1400000,943.6,2
1500000,915.1,2
1600000,931.5,2
1700000,918.3,2
1800000,926.3,2
1900000,925.4,2
2000000,911.3,2
2100000,922.8,2
2200000,930.2,2
2300000,896.1,2
2400000,930.8,2
2500000,939.7,2
2600000,921.9,2
2700000,922.0,2
2800000,914.0,2
2900000,916.6,2
3000000,944.1,2
3100000,931.3,2
3200000,933.4,2
3300000,958.6,2
3400000,942.3,2
3500000,938.2,2
3600000,961.7,2
3700000,947.6,2
3800000,949.1,2
3900000,961.2,2
4000000,937.4,2
0,51.5,1
100000,59.6,1
200000,132.5,1
300000,280.6,1
400000,172.8,1
500000,277.5,1
600000,118.6,1
700000,321.2,1
800000,626.2,1
900000,313.8,1
1000000,577.8,1
1100000,386.3,1
1200000,511.9,1
1300000,654.2,1
1400000,507.4,1
1500000,768.7,1
1600000,861.1,1
1700000,898.0,1
1800000,878.3,1
1900000,892.6,1
2000000,743.1,1
2100000,897.5,1
2200000,916.9,1
2300000,943.8,1
2400000,916.6,1
2500000,939.7,1
2600000,936.6,1
2700000,923.1,1
2800000,941.0,1
2900000,936.7,1
3000000,962.2,1
3100000,936.5,1
3200000,940.8,1
3300000,946.6,1
3400000,951.8,1
3500000,949.0,1
3600000,948.3,1
3700000,940.5,1
3800000,957.9,1
3900000,931.6,1
4000000,958.2,1
