step,reward,seed
0,0.0,3
100000,813.4,3
200000,747.1,3
300000,972.6,3
400000,979.2,3
500000,884.0,3
600000,907.3,3
700000,978.5,3
800000,983.4,3
900000,956.2,3
1000000,987.2,3
1100000,983.0,3
1200000,985.3,3
1300000,977.5,3
1400000,983.9,3
1500000,978.6,3
1600000,977.7,3
1700000,988.3,3
1800000,981.0,3
1900000,981.4,3
2000000,980.0,3
2100000,984.0,3
2200000,972.6,3
2300000,985.4,3
2400000,895.5,3
2500000,982.3,3
2600000,984.1,3
2700000,981.1,3
2800000,971.0,3
2900000,989.5,3
3000000,987.6,3
3100000,983.2,3
3200000,976.9,3
3300000,984.2,3
3400000,985.9,3
3500000,980.8,3
3600000,982.0,3
3700000,984.8,3
3800000,981.8,3
3900000,986.6,3
4000000,987.8,3
0,22.6,2
100000,68.4,2
200000,622.7,2
300000,680.1,2
400000,780.4,2
500000,989.4,2
600000,897.7,2
700000,871.0,2
800000,981.0,2
900000,983.7,2
1000000,783.8,2
1100000,984.9,2
1200000,984.0,2
1300000,896.5,2
1400000,985.4,2
1500000,984.9,2
1600000,981.4,2
1700000,989.0,2
1800000,982.8,2
1900000,981.7,2
2000000,981.1,2
2100000,883.8,2
2200000,984.7,2
2300000,240.4,2
2400000,974.8,2
2500000,982.5,2
2600000,981.9,2
2700000,939.1,2
2800000,891.1,2
2900000,979.4,2
3000000,971.7,2
3100000,946.0,2
3200000,984.7,2
3300000,988.3,2
3400000,889.0,2
3500000,984.1,2
3600000,987.7,2
3700000,985.6,2
3800000,887.1,2
3900000,986.6,2
4000000,990.2,2
0,63.6,1
100000,739.3,1
200000,774.0,1
300000,779.2,1
400000,968.5,1
500000,881.5,1
600000,972.1,1
700000,967.3,1
800000,965.2,1
900000,970.4,1
1000000,970.6,1
1100000,971.4,1
1200000,975.2,1
1300000,973.1,1
1400000,982.3,1
1500000,974.1,1
1600000,982.4,1
1700000,978.3,1
1800000,985.6,1
1900000,980.3,1
2000000,972.7,1
2100000,975.0,1
2200000,948.1,1
2300000,882.5,1
2400000,972.3,1
2500000,973.9,1
2600000,974.2,1
2700000,977.9,1
2800000,976.0,1
2900000,976.5,1
3000000,979.7,1
3100000,935.5,1
3200000,970.1,1
3300000,976.4,1
3400000,975.7,1
3500000,981.1,1
3600000,977.8,1
3700000,970.9,1
3800000,979.2,1
3900000,950.9,1
4000000,977.5,1
