step,reward,seed
0,0.0,3
100000,368.3,3
200000,3.2,3
300000,292.9,3
400000,85.3,3
500000,406.0,3
600000,579.5,3
700000,863.3,3
800000,739.1,3
900000,861.9,3
1000000,874.7,3
1100000,867.4,3
1200000,970.7,3
1300000,903.1,3
1400000,970.1,3
1500000,970.3,3
1600000,965.3,3
1700000,965.8,3
1800000,971.1,3
1900000,869.0,3
2000000,968.4,3
2100000,902.3,3
2200000,970.2,3
2300000,869.7,3
2400000,973.3,3
2500000,977.8,3
2600000,968.3,3
2700000,974.9,3
2800000,854.2,3
2900000,921.8,3
3000000,971.5,3
3100000,969.3,3
3200000,975.1,3
3300000,791.2,3
3400000,968.2,3
3500000,898.8,3
3600000,971.2,3
3700000,968.0,3
3800000,949.1,3
3900000,974.1,3
4000000,973.0,3
0,4.0,2
100000,113.2,2
200000,199.3,2
300000,187.1,2
400000,666.2,2
500000,861.4,2
600000,872.0,2
700000,959.2,2
800000,973.2,2
900000,975.8,2
1000000,963.7,2
1100000,884.3,2
1200000,874.9,2
1300000,883.9,2
1400000,977.1,2
1500000,970.8,2
1600000,978.2,2
1700000,971.5,2
1800000,972.3,2
1900000,976.3,2
2000000,977.9,2
2100000,975.5,2
2200000,976.3,2
2300000,882.7,2
2400000,975.8,2
2500000,882.4,2
2600000,970.8,2
2700000,975.2,2
2800000,981.7,2
2900000,977.2,2
3000000,977.7,2
3100000,878.1,2
3200000,894.2,2
3300000,880.6,2
3400000,880.5,2
3500000,979.4,2
3600000,886.9,2
3700000,859.0,2
3800000,781.3,2
3900000,980.9,2
4000000,890.2,2
0,0.0,1
100000,2.3,1
200000,389.1,1
300000,817.5,1
400000,373.3,1
500000,283.2,1
600000,929.3,1
700000,938.7,1
800000,946.3,1
900000,760.3,1
1000000,945.6,1
1100000,928.4,1
1200000,940.8,1
1300000,845.8,1
1400000,852.1,1
1500000,932.8,1
1600000,853.8,1
1700000,938.5,1
1800000,857.6,1
1900000,942.1,1
2000000,945.7,1
2100000,759.7,1
2200000,952.8,1
2300000,954.5,1
2400000,953.5,1
2500000,962.8,1
2600000,761.6,1
2700000,964.6,1
2800000,964.0,1
2900000,961.1,1
3000000,966.9,1
3100000,966.6,1
3200000,962.7,1
3300000,897.1,1
3400000,875.7,1
3500000,965.5,1
3600000,974.9,1
3700000,963.9,1
3800000,967.6,1
3900000,971.9,1
4000000,969.5,1
