step,reward,seed
0,0.0,3
100000,499.2,3
200000,871.1,3
300000,963.6,3
400000,486.7,3
500000,968.4,3
600000,977.0,3
700000,883.3,3
800000,973.3,3
900000,972.9,3
1000000,879.6,3
1100000,377.4,3
1200000,877.4,3
1300000,873.3,3
1400000,878.5,3
1500000,866.9,3
1600000,779.2,3
1700000,691.4,3
1800000,782.7,3
1900000,979.8,3
2000000,883.0,3
2100000,879.9,3
2200000,982.2,3
2300000,879.8,3
2400000,979.1,3
2500000,974.5,3
2600000,357.5,3
2700000,981.6,3
2800000,834.2,3
2900000,976.3,3
3000000,972.2,3
3100000,980.6,3
3200000,986.1,3
3300000,948.1,3
3400000,979.8,3
3500000,880.6,3
3600000,978.7,3
3700000,981.6,3
3800000,976.1,3
3900000,886.2,3
4000000,878.2,3
0,0.0,2
100000,486.8,2
200000,285.9,2
300000,824.4,2
400000,970.3,2
500000,785.9,2
600000,470.0,2
700000,971.3,2
800000,977.2,2
900000,574.9,2
1000000,976.4,2
1100000,968.5,2
1200000,972.5,2
1300000,974.0,2
1400000,978.1,2
1500000,788.5,2
1600000,974.8,2
1700000,975.7,2
1800000,974.9,2
1900000,972.4,2
2000000,975.7,2
2100000,978.8,2
2200000,976.2,2
2300000,924.1,2
2400000,481.5,2
2500000,973.1,2
2600000,875.0,2
2700000,972.1,2
2800000,975.2,2
2900000,887.2,2
3000000,977.6,2
3100000,952.4,2
3200000,931.6,2
3300000,976.0,2
3400000,295.6,2
3500000,168.9,2
3600000,783.8,2
3700000,978.0,2
3800000,977.5,2
3900000,978.8,2
4000000,980.3,2
0,78.1,1
100000,294.9,1
200000,676.7,1
300000,480.2,1
400000,966.5,1
500000,788.7,1
600000,879.1,1
700000,912.6,1
800000,839.9,1
900000,981.6,1
1000000,876.4,1
1100000,973.6,1
1200000,968.4,1
1300000,973.1,1
1400000,976.4,1
1500000,887.8,1
1600000,966.8,1
1700000,970.0,1
1800000,983.5,1
1900000,979.3,1
2000000,976.5,1
2100000,887.0,1
2200000,977.3,1
2300000,936.9,1
2400000,838.8,1
2500000,876.4,1
2600000,980.6,1
2700000,981.9,1
2800000,980.2,1
2900000,976.5,1
3000000,981.1,1
3100000,983.1,1
3200000,894.2,1
3300000,978.0,1
3400000,979.8,1
3500000,900.3,1
3600000,989.4,1
3700000,840.6,1
3800000,982.9,1
3900000,972.1,1
4000000,981.1,1
