step,reward,seed
0,0.0,3
100000,0.0,3
200000,76.8,3
300000,0.2,3
400000,0.6,3
500000,284.9,3
600000,287.4,3
700000,561.6,3
800000,696.4,3
900000,588.4,3
1000000,372.7,3
1100000,658.9,3
1200000,289.3,3
1300000,670.6,3
1400000,670.5,3
1500000,750.5,3
1600000,576.1,3
1700000,284.8,3
1800000,580.4,3
1900000,718.1,3
2000000,478.2,3
2100000,477.4,3
2200000,664.2,3
2300000,757.4,3
2400000,560.1,3
2500000,950.7,3
2600000,660.9,3
2700000,481.6,3
2800000,805.6,3
2900000,670.7,3
3000000,758.0,3
3100000,770.3,3
3200000,667.7,3
3300000,867.0,3
3400000,766.3,3
3500000,573.1,3
3600000,960.6,3
3700000,870.7,3
3800000,872.8,3
3900000,579.7,3
4000000,825.9,3
0,0.0,2
100000,29.0,2
200000,442.6,2
300000,358.8,2
400000,388.0,2
500000,377.4,2
600000,281.5,2
700000,373.6,2
800000,547.5,2
900000,761.7,2
1000000,275.9,2
1100000,377.1,2
1200000,652.6,2
1300000,573.1,2
1400000,659.2,2
1500000,762.9,2
1600000,672.3,2
1700000,771.2,2
1800000,471.1,2
1900000,0.0,2
2000000,478.8,2
2100000,475.8,2
2200000,656.8,2
2300000,582.9,2
2400000,572.8,2
2500000,833.9,2
2600000,668.1,2
2700000,668.2,2
2800000,874.1,2
2900000,761.5,2
3000000,772.8,2
3100000,959.9,2
3200000,856.0,2
3300000,678.5,2
3400000,951.7,2
3500000,664.6,2
3600000,385.7,2
3700000,818.7,2
3800000,584.4,2
3900000,750.0,2
4000000,874.2,2
0,7.7,1
100000,221.5,1
200000,639.6,1
300000,546.2,1
400000,672.2,1
500000,465.9,1
600000,817.3,1
700000,372.9,1
800000,660.5,1
900000,842.9,1
1000000,653.7,1
1100000,735.3,1
1200000,564.6,1
1300000,853.2,1
1400000,381.0,1
1500000,713.0,1
1600000,670.0,1
1700000,945.4,1
1800000,751.4,1
1900000,854.0,1
2000000,950.4,1
2100000,760.7,1
2200000,570.7,1
2300000,672.3,1
2400000,766.8,1
2500000,766.6,1
2600000,772.7,1
2700000,764.7,1
2800000,199.4,1
2900000,719.2,1
3000000,569.8,1
3100000,670.2,1
3200000,853.4,1
3300000,384.7,1
3400000,576.5,1
3500000,864.9,1
3600000,770.5,1
3700000,777.0,1
3800000,672.4,1
3900000,671.9,1
4000000,860.8,1
