step,reward,seed
0,18.1,3
100000,217.9,3
200000,290.1,3
300000,303.8,3
400000,324.4,3
500000,335.8,3
600000,339.8,3
700000,340.6,3
800000,349.1,3
900000,349.8,3
1000000,355.4,3
1100000,56.8,3
1200000,364.3,3
1300000,367.1,3
1400000,378.0,3
1500000,385.9,3
1600000,391.9,3
1700000,393.2,3
1800000,398.7,3
1900000,400.6,3
2000000,401.7,3
2100000,403.3,3
2200000,403.7,3
2300000,406.0,3
2400000,417.9,3
2500000,422.5,3
2600000,419.9,3
2700000,418.8,3
2800000,388.5,3
2900000,428.2,3
3000000,427.6,3
3100000,434.8,3
3200000,432.4,3
3300000,430.7,3
3400000,443.0,3
3500000,443.9,3
3600000,440.5,3
3700000,444.5,3
3800000,436.0,3
3900000,450.5,3
4000000,446.9,3
0,21.2,2
100000,93.6,2
200000,307.6,2
300000,311.4,2
400000,358.7,2
500000,383.0,2
600000,387.1,2
700000,155.9,2
800000,395.9,2
900000,397.2,2
1000000,402.0,2
1100000,408.8,2
1200000,410.5,2
1300000,412.2,2
1400000,412.3,2
1500000,415.0,2
1600000,420.4,2
1700000,423.9,2
1800000,417.6,2
1900000,425.3,2
2000000,423.3,2
2100000,423.3,2
2200000,422.1,2
2300000,430.3,2
2400000,428.8,2
2500000,427.7,2
2600000,432.5,2
2700000,431.5,2
2800000,430.2,2
2900000,427.7,2
3000000,435.1,2
3100000,424.7,2
3200000,424.1,2
3300000,437.6,2
3400000,441.2,2
3500000,440.1,2
3600000,442.1,2
3700000,443.1,2
3800000,437.6,2
3900000,441.9,2
4000000,439.5,2
0,21.4,1
100000,305.1,1
200000,358.7,1
300000,408.3,1
400000,438.1,1
500000,445.5,1
600000,445.6,1
700000,468.4,1
800000,467.8,1
900000,457.4,1
1000000,468.8,1
1100000,466.6,1
1200000,479.8,1
1300000,479.1,1
1400000,489.8,1
1500000,483.3,1
1600000,499.1,1
1700000,505.3,1
1800000,482.3,1
1900000,510.3,1
2000000,520.7,1
2100000,469.7,1
2200000,517.8,1
2300000,518.1,1
2400000,531.8,1
2500000,537.1,1
2600000,536.0,1
2700000,521.2,1
2800000,537.3,1
2900000,529.7,1
3000000,545.0,1
3100000,549.8,1
3200000,545.9,1
3300000,543.0,1
3400000,555.3,1
3500000,549.4,1
3600000,557.2,1
3700000,538.3,1
3800000,541.2,1
3900000,558.5,1
4000000,561.0,1
