step,reward,seed
0,18.2,3
100000,295.2,3
200000,482.4,3
300000,550.8,3
400000,469.7,3
500000,662.7,3
600000,684.3,3
700000,690.7,3
800000,705.5,3
900000,704.6,3
1000000,713.9,3
1100000,722.7,3
1200000,718.5,3
1300000,712.2,3
1400000,722.2,3
1500000,720.1,3
1600000,722.6,3
1700000,719.0,3
1800000,734.9,3
1900000,724.8,3
2000000,727.3,3
2100000,737.1,3
2200000,731.0,3
2300000,730.2,3
2400000,714.7,3
2500000,721.1,3
2600000,709.6,3
2700000,731.7,3
2800000,731.0,3
2900000,727.0,3
3000000,733.8,3
3100000,725.4,3
3200000,36.1,3
3300000,727.8,3
3400000,740.7,3
3500000,740.4,3
3600000,747.1,3
3700000,736.1,3
3800000,746.6,3
3900000,742.9,3
4000000,739.6,3
0,21.2,2
100000,355.7,2
200000,506.0,2
300000,555.9,2
400000,575.3,2
500000,586.8,2
600000,594.8,2
700000,597.6,2
800000,603.7,2
900000,601.9,2
1000000,602.6,2
1100000,617.9,2
1200000,627.1,2
1300000,617.6,2
1400000,621.0,2
1500000,513.1,2
1600000,620.1,2
1700000,616.7,2
1800000,629.7,2
1900000,628.5,2
2000000,623.9,2
2100000,631.6,2
2200000,630.4,2
2300000,644.3,2
2400000,638.1,2
2500000,632.7,2
2600000,588.3,2
2700000,650.6,2
2800000,655.5,2
2900000,659.1,2
3000000,644.0,2
3100000,604.5,2
3200000,649.4,2
3300000,657.5,2
3400000,667.8,2
3500000,671.9,2
3600000,662.3,2
3700000,677.2,2
3800000,664.5,2
3900000,677.3,2
4000000,672.6,2
0,21.4,1
100000,367.8,1
200000,478.1,1
300000,493.1,1
400000,531.2,1
500000,562.7,1
600000,543.3,1
700000,552.7,1
800000,41.4,1
900000,565.8,1
1000000,588.4,1
1100000,583.1,1
1200000,590.5,1
1300000,577.7,1
1400000,605.7,1
1500000,595.0,1
1600000,601.1,1
1700000,578.0,1
1800000,600.8,1
1900000,606.9,1
2000000,618.9,1
2100000,604.3,1
2200000,609.0,1
2300000,614.3,1
2400000,617.1,1
2500000,612.3,1
2600000,616.4,1
2700000,619.0,1
2800000,638.9,1
2900000,631.4,1
3000000,633.5,1
3100000,631.7,1
3200000,616.8,1
3300000,637.3,1
3400000,633.4,1
3500000,631.0,1
3600000,619.8,1
3700000,649.7,1
3800000,642.9,1
3900000,640.2,1
4000000,647.7,1
