step,reward,seed
0,108.5,3
100000,209.7,3
200000,342.7,3
300000,706.2,3
400000,710.9,3
500000,943.6,3
600000,901.8,3
700000,832.7,3
800000,973.7,3
900000,963.0,3
1000000,924.7,3
1100000,969.8,3
1200000,980.1,3
1300000,974.9,3
1400000,975.6,3
1500000,971.7,3
1600000,976.8,3
1700000,973.2,3
1800000,973.5,3
1900000,984.3,3
2000000,975.7,3
2100000,983.3,3
2200000,976.1,3
2300000,988.7,3
2400000,985.5,3
2500000,981.9,3
2600000,981.8,3
2700000,982.5,3
2800000,972.7,3
2900000,985.6,3
3000000,985.3,3
3100000,972.3,3
3200000,980.9,3
3300000,979.1,3
3400000,991.3,3
3500000,985.5,3
3600000,985.7,3
3700000,981.7,3
3800000,987.0,3
3900000,981.4,3
4000000,988.3,3
0,126.9,2
100000,424.5,2
200000,931.6,2
300000,950.1,2
400000,946.2,2
500000,909.9,2
600000,960.6,2
700000,977.6,2
800000,959.6,2
900000,961.7,2
1000000,952.5,2
1100000,979.5,2
1200000,977.1,2
1300000,984.9,2
1400000,973.0,2
1500000,982.1,2
1600000,977.7,2
1700000,980.2,2
1800000,979.2,2
1900000,987.8,2
2000000,983.4,2
2100000,986.2,2
2200000,985.6,2
2300000,974.2,2
2400000,920.8,2
2500000,990.3,2
2600000,977.0,2
2700000,984.0,2
2800000,983.9,2
2900000,983.8,2
3000000,984.6,2
3100000,981.0,2
3200000,969.4,2
3300000,984.7,2
3400000,967.6,2
3500000,994.5,2
3600000,982.8,2
3700000,986.4,2
3800000,981.9,2
3900000,982.4,2
4000000,989.0,2
0,127.8,1
100000,390.1,1
200000,941.9,1
300000,947.6,1
400000,962.7,1
500000,964.6,1
600000,966.9,1
700000,978.6,1
800000,958.3,1
900000,970.0,1
1000000,970.2,1
1100000,980.2,1
1200000,986.1,1
1300000,964.6,1
1400000,982.8,1
1500000,979.7,1
1600000,975.4,1
1700000,945.5,1
1800000,987.3,1
1900000,985.2,1
2000000,985.2,1
2100000,981.7,1
2200000,981.2,1
2300000,986.8,1
2400000,988.9,1
2500000,993.0,1
2600000,987.5,1
2700000,983.6,1
2800000,984.9,1
2900000,982.9,1
3000000,988.3,1
3100000,982.6,1
3200000,990.7,1
3300000,987.1,1
3400000,987.1,1
3500000,989.1,1
3600000,984.4,1
3700000,986.5,1
3800000,986.2,1
3900000,984.8,1
4000000,405.2,1
