step,reward,seed
0,18.3,3
100000,534.8,3
200000,755.4,3
300000,830.9,3
400000,832.9,3
500000,849.2,3
600000,846.4,3
700000,837.1,3
800000,848.4,3
900000,844.0,3
1000000,856.2,3
1100000,857.3,3
1200000,860.5,3
1300000,866.9,3
1400000,861.0,3
1500000,856.1,3
1600000,867.2,3
1700000,862.5,3
1800000,862.3,3
1900000,870.9,3
2000000,867.4,3
2100000,875.7,3
2200000,856.7,3
2300000,871.2,3
2400000,860.6,3
2500000,872.8,3
2600000,863.2,3
2700000,860.7,3
2800000,873.8,3
2900000,868.7,3
3000000,865.8,3
3100000,872.0,3
3200000,878.0,3
3300000,868.5,3
3400000,886.8,3
3500000,881.7,3
3600000,874.7,3
3700000,872.5,3
3800000,875.9,3
3900000,887.2,3
4000000,891.3,3
0,21.9,2
100000,642.1,2
200000,895.0,2
300000,931.5,2
400000,918.9,2
500000,935.0,2
600000,936.8,2
700000,938.8,2
800000,938.8,2
900000,932.9,2
1000000,941.5,2
1100000,946.9,2
1200000,952.1,2
1300000,948.3,2
1400000,952.6,2
1500000,950.1,2
1600000,950.5,2
1700000,944.3,2
1800000,950.4,2
1900000,962.2,2
2000000,941.8,2
2100000,950.1,2
2200000,956.7,2
2300000,953.2,2
2400000,953.1,2
2500000,943.6,2
2600000,953.1,2
2700000,952.4,2
2800000,952.0,2
2900000,949.1,2
3000000,949.9,2
3100000,952.4,2
3200000,947.1,2
3300000,958.4,2
3400000,956.7,2
3500000,964.9,2
3600000,948.7,2
3700000,960.4,2
3800000,960.0,2
3900000,964.0,2
4000000,958.4,2
0,21.8,1
100000,518.9,1
200000,715.3,1
300000,765.9,1
400000,789.5,1
500000,795.2,1
600000,781.7,1
700000,796.7,1
800000,798.2,1
900000,805.3,1
1000000,792.1,1
1100000,802.9,1
1200000,801.0,1
1300000,802.3,1
1400000,815.2,1
1500000,808.8,1
1600000,811.1,1
1700000,814.8,1
1800000,805.3,1
1900000,812.6,1
2000000,818.7,1
2100000,811.0,1
2200000,809.7,1
2300000,828.6,1
2400000,818.2,1
2500000,831.0,1
2600000,819.2,1
2700000,822.0,1
2800000,838.9,1
2900000,833.1,1
3000000,831.4,1
3100000,835.6,1
3200000,825.3,1
3300000,842.7,1
3400000,847.3,1
3500000,850.6,1
3600000,850.4,1
3700000,855.1,1
3800000,852.4,1
3900000,863.0,1
4000000,870.3,1
