step,reward,seed
0,18.6,3
100000,697.1,3
200000,922.7,3
300000,952.7,3
400000,956.2,3
500000,953.0,3
600000,955.9,3
700000,955.6,3
800000,961.9,3
900000,954.8,3
1000000,961.3,3
1100000,959.7,3
1200000,967.6,3
1300000,969.0,3
1400000,961.3,3
1500000,963.3,3
1600000,967.7,3
1700000,965.0,3
1800000,973.3,3
1900000,971.2,3
2000000,963.1,3
2100000,955.8,3
2200000,956.6,3
2300000,973.0,3
2400000,974.8,3
2500000,975.4,3
2600000,972.5,3
2700000,976.8,3
2800000,970.8,3
2900000,971.7,3
3000000,970.8,3
3100000,973.5,3
3200000,969.6,3
3300000,968.5,3
3400000,983.7,3
3500000,974.2,3
3600000,970.3,3
3700000,973.2,3
3800000,977.9,3
3900000,977.8,3
4000000,977.5,3
0,21.7,2
100000,509.6,2
200000,928.2,2
300000,950.6,2
400000,947.7,2
500000,948.2,2
600000,944.8,2
700000,963.6,2
800000,957.8,2
900000,944.8,2
1000000,954.2,2
1100000,963.1,2
1200000,970.1,2
1300000,964.0,2
1400000,966.7,2
1500000,967.1,2
1600000,961.3,2
1700000,963.9,2
1800000,961.9,2
1900000,966.2,2
2000000,965.5,2
2100000,967.7,2
2200000,969.5,2
2300000,965.8,2
2400000,974.2,2
2500000,969.7,2
2600000,965.9,2
2700000,971.2,2
2800000,964.9,2
2900000,971.5,2
3000000,966.6,2
3100000,961.2,2
3200000,952.0,2
3300000,968.8,2
3400000,974.3,2
3500000,976.3,2
3600000,965.5,2
3700000,976.0,2
3800000,969.6,2
3900000,975.3,2
4000000,970.7,2
0,21.9,1
100000,917.8,1
200000,916.7,1
300000,953.6,1
400000,945.9,1
500000,957.4,1
600000,858.2,1
700000,965.3,1
800000,961.2,1
900000,954.7,1
1000000,956.4,1
1100000,956.1,1
1200000,876.6,1
1300000,862.9,1
1400000,969.8,1
1500000,961.0,1
1600000,967.6,1
1700000,950.8,1
1800000,958.3,1
1900000,967.4,1
2000000,968.1,1
2100000,962.4,1
2200000,778.4,1
2300000,966.5,1
2400000,968.3,1
2500000,967.0,1
2600000,969.5,1
2700000,962.3,1
2800000,963.4,1
2900000,967.7,1
3000000,969.6,1
3100000,959.9,1
3200000,968.8,1
3300000,963.3,1
3400000,969.6,1
3500000,966.3,1
3600000,968.1,1
3700000,971.6,1
3800000,964.0,1
3900000,965.2,1
4000000,974.1,1
