step,reward,seed
0,1.6,3
100000,85.8,3
200000,111.9,3
300000,131.1,3
400000,175.8,3
500000,207.5,3
600000,292.5,3
700000,204.3,3
800000,424.7,3
900000,299.8,3
1000000,397.0,3
1100000,271.6,3
1200000,439.5,3
1300000,418.7,3
1400000,422.5,3
1500000,488.4,3
1600000,451.9,3
1700000,409.6,3
1800000,215.0,3
1900000,415.5,3
2000000,273.6,3
2100000,512.6,3
2200000,234.8,3
2300000,458.3,3
2400000,532.6,3
2500000,269.5,3
2600000,386.9,3
2700000,426.2,3
2800000,291.4,3
2900000,559.5,3
3000000,420.3,3
3100000,280.8,3
3200000,287.4,3
3300000,320.8,3
3400000,480.0,3
3500000,388.9,3
3600000,476.3,3
3700000,216.0,3
3800000,407.8,3
3900000,508.9,3
4000000,347.7,3
0,6.1,1
100000,112.0,1
200000,43.8,1
300000,170.7,1
400000,113.0,1
500000,156.5,1
600000,247.0,1
700000,223.0,1
800000,213.4,1
900000,333.1,1
1000000,316.9,1
1100000,210.5,1
1200000,248.5,1
1300000,388.4,1
1400000,189.9,1
1500000,114.9,1
1600000,124.1,1
1700000,395.5,1
1800000,221.8,1
1900000,387.7,1
2000000,324.6,1
2100000,172.8,1
2200000,284.8,1
2300000,309.4,1
2400000,471.5,1
2500000,190.2,1
2600000,273.4,1
2700000,209.9,1
2800000,318.8,1
2900000,136.0,1
3000000,373.3,1
3100000,326.8,1
3200000,486.9,1
3300000,477.0,1
3400000,504.5,1
3500000,316.5,1
3600000,397.1,1
3700000,565.1,1
3800000,373.9,1
3900000,430.9,1
4000000,544.4,1
0,6.7,2
100000,9.9,2
200000,165.6,2
300000,79.2,2
400000,271.0,2
500000,304.3,2
600000,287.6,2
700000,348.1,2
800000,411.5,2
900000,340.3,2
1000000,425.6,2
1100000,380.1,2
1200000,255.4,2
1300000,392.6,2
1400000,309.6,2
1500000,223.9,2
1600000,228.8,2
1700000,556.7,2
1800000,255.0,2
1900000,233.1,2
2000000,272.8,2
2100000,305.0,2
2200000,426.4,2
2300000,379.0,2
2400000,273.4,2
2500000,432.7,2
2600000,439.7,2
2700000,397.2,2
2800000,513.7,2
2900000,175.3,2
3000000,381.3,2
3100000,421.2,2
3200000,473.8,2
3300000,505.6,2
3400000,308.0,2
3500000,194.7,2
3600000,252.5,2
3700000,366.3,2
3800000,267.8,2
3900000,218.8,2
4000000,169.0,2
