step,reward,seed
0,0.0,3
100000,3.7,3
200000,0.0,3
300000,829.6,3
400000,848.4,3
500000,846.7,3
600000,842.5,3
700000,846.8,3
800000,847.1,3
900000,846.6,3
1000000,847.4,3
1100000,846.9,3
1200000,845.9,3
1300000,846.3,3
1400000,736.2,3
1500000,847.9,3
1600000,847.9,3
1700000,846.6,3
1800000,846.3,3
1900000,847.6,3
2000000,846.2,3
2100000,847.9,3
2200000,847.8,3
2300000,847.8,3
2400000,847.2,3
2500000,847.8,3
2600000,845.6,3
2700000,846.8,3
2800000,843.9,3
2900000,847.6,3
3000000,847.0,3
3100000,845.6,3
3200000,0.0,3
3300000,0.0,3
3400000,833.9,3
3500000,845.9,3
3600000,845.5,3
3700000,846.3,3
3800000,846.1,3
3900000,846.0,3
4000000,847.4,3
0,0.0,1
100000,0.0,1
200000,0.0,1
300000,0.0,1
400000,0.0,1
500000,0.0,1
600000,0.0,1
700000,0.0,1
800000,0.0,1
900000,0.0,1
1000000,0.0,1
1100000,0.0,1
1200000,0.0,1
1300000,0.0,1
1400000,0.0,1
1500000,0.0,1
1600000,218.9,1
1700000,841.2,1
1800000,808.6,1
1900000,842.9,1
2000000,840.2,1
2100000,844.8,1
2200000,843.6,1
2300000,846.0,1
2400000,847.1,1
2500000,848.7,1
2600000,848.2,1
2700000,815.9,1
2800000,847.1,1
2900000,848.5,1
3000000,848.6,1
3100000,847.6,1
3200000,849.4,1
3300000,846.5,1
3400000,849.8,1
3500000,849.3,1
3600000,850.0,1
3700000,847.3,1
3800000,847.9,1
3900000,850.1,1
4000000,849.8,1
0,0.2,2
100000,0.0,2
200000,0.0,2
300000,0.0,2
400000,0.0,2
500000,828.6,2
600000,834.0,2
700000,844.8,2
800000,787.3,2
900000,841.9,2
1000000,843.7,2
1100000,840.3,2
1200000,842.8,2
1300000,842.9,2
1400000,844.3,2
1500000,847.0,2
1600000,844.1,2
1700000,844.5,2
1800000,847.6,2
1900000,847.4,2
2000000,842.4,2
2100000,845.8,2
2200000,847.6,2
2300000,847.9,2
2400000,847.6,2
2500000,845.8,2
2600000,847.3,2
2700000,846.0,2
2800000,847.8,2
2900000,847.7,2
3000000,0.0,2
3100000,847.3,2
3200000,847.6,2
3300000,847.9,2
3400000,816.5,2
3500000,847.6,2
3600000,846.3,2
3700000,0.0,2
3800000,743.2,2
3900000,0.0,2
4000000,40.8,2
