step,reward,seed
0,29.1,3
100000,850.7,3
200000,854.1,3
300000,862.0,3
400000,866.5,3
500000,866.0,3
600000,829.2,3
700000,869.9,3
800000,875.9,3
900000,878.2,3
1000000,878.4,3
1100000,881.2,3
1200000,875.5,3
1300000,882.2,3
1400000,881.9,3
1500000,881.9,3
1600000,881.7,3
1700000,882.5,3
1800000,882.0,3
1900000,882.8,3
2000000,882.8,3
2100000,882.9,3
2200000,883.1,3
2300000,882.8,3
2400000,882.5,3
2500000,883.0,3
2600000,882.8,3
2700000,883.2,3
2800000,883.1,3
2900000,883.2,3
3000000,881.5,3
3100000,883.1,3
3200000,883.3,3
3300000,882.9,3
3400000,882.8,3
3500000,883.2,3
3600000,882.9,3
3700000,883.1,3
3800000,883.0,3
3900000,881.8,3
4000000,882.9,3
0,53.1,1
100000,877.5,1
200000,880.4,1
300000,882.3,1
400000,873.3,1
500000,881.6,1
600000,882.9,1
700000,882.7,1
800000,882.9,1
900000,883.2,1
1000000,883.0,1
1100000,882.7,1
1200000,882.7,1
1300000,882.8,1
1400000,883.5,1
1500000,882.8,1
1600000,881.0,1
1700000,882.9,1
1800000,883.0,1
1900000,883.2,1
2000000,880.0,1
2100000,881.8,1
2200000,882.8,1
2300000,882.9,1
2400000,883.3,1
2500000,883.2,1
2600000,859.0,1
2700000,876.4,1
2800000,882.8,1
2900000,883.0,1
3000000,882.9,1
3100000,882.2,1
3200000,883.0,1
3300000,883.1,1
3400000,882.9,1
3500000,875.3,1
3600000,883.2,1
3700000,882.6,1
3800000,882.9,1
3900000,882.9,1
4000000,883.0,1
0,34.8,2
100000,861.2,2
200000,877.4,2
300000,881.0,2
400000,881.8,2
500000,881.3,2
600000,879.9,2
700000,881.1,2
800000,880.6,2
900000,881.7,2
1000000,876.5,2
1100000,882.8,2
1200000,882.6,2
1300000,882.8,2
1400000,883.2,2
1500000,882.6,2
1600000,883.1,2
1700000,882.3,2
1800000,882.8,2
1900000,882.2,2
2000000,883.0,2
2100000,883.0,2
2200000,883.1,2
2300000,882.9,2
2400000,883.2,2
2500000,882.8,2
2600000,883.3,2
2700000,883.3,2
2800000,875.9,2
2900000,883.3,2
3000000,883.2,2
3100000,883.0,2
3200000,883.2,2
3300000,883.2,2
3400000,882.9,2
3500000,882.8,2
3600000,882.6,2
3700000,874.6,2
3800000,878.2,2
3900000,883.4,2
4000000,882.9,2
