step,reward,seed
0,173.9,3
100000,363.6,3
200000,585.8,3
300000,768.4,3
400000,791.3,3
500000,779.1,3
600000,798.2,3
700000,803.5,3
800000,808.0,3
900000,747.1,3
1000000,807.4,3
1100000,804.4,3
1200000,805.7,3
1300000,807.5,3
1400000,802.1,3
1500000,805.9,3
1600000,785.1,3
1700000,807.1,3
1800000,793.8,3
1900000,798.8,3
2000000,786.0,3
2100000,790.1,3
2200000,769.7,3
2300000,796.5,3
2400000,780.9,3
2500000,714.5,3
2600000,743.1,3
2700000,803.3,3
2800000,795.0,3
2900000,801.2,3
3000000,792.7,3
3100000,799.9,3
3200000,795.7,3
3300000,794.0,3
3400000,805.9,3
3500000,805.3,3
3600000,798.8,3
3700000,745.4,3
3800000,794.1,3
3900000,778.0,3
4000000,782.7,3
0,174.6,1
100000,251.7,1
200000,608.6,1
300000,666.5,1
400000,777.5,1
500000,784.7,1
600000,809.4,1
700000,814.8,1
800000,812.0,1
900000,819.3,1
1000000,812.0,1
1100000,801.3,1
1200000,813.1,1
1300000,807.1,1
1400000,816.9,1
1500000,821.7,1
1600000,812.2,1
1700000,818.0,1
1800000,816.1,1
1900000,786.9,1
2000000,818.8,1
2100000,809.8,1
2200000,825.0,1
2300000,820.7,1
2400000,801.5,1
2500000,802.6,1
2600000,824.7,1
2700000,819.0,1
2800000,821.4,1
2900000,832.7,1
3000000,828.1,1
3100000,830.3,1
3200000,823.7,1
3300000,831.3,1
3400000,811.5,1
3500000,824.5,1
3600000,816.3,1
3700000,826.9,1
3800000,798.4,1
3900000,831.7,1
4000000,810.7,1
0,174.1,2
100000,554.5,2
200000,625.6,2
300000,756.7,2
400000,755.7,2
500000,817.8,2
600000,820.4,2
700000,821.5,2
800000,819.2,2
900000,827.1,2
1000000,811.0,2
1100000,812.2,2
1200000,818.8,2
1300000,829.7,2
1400000,813.6,2
1500000,822.8,2
1600000,821.0,2
1700000,820.0,2
1800000,818.9,2
1900000,821.3,2
2000000,817.7,2
2100000,818.4,2
2200000,253.6,2
2300000,820.5,2
2400000,809.5,2
2500000,806.1,2
2600000,813.1,2
2700000,813.2,2
2800000,811.0,2
2900000,796.5,2
3000000,807.7,2
3100000,816.6,2
3200000,806.7,2
3300000,805.1,2
3400000,814.9,2
3500000,791.3,2
3600000,813.3,2
3700000,796.0,2
3800000,815.8,2
3900000,816.1,2
4000000,808.4,2
