step,reward,seed
0,6.6,3
100000,469.7,3
200000,493.1,3
300000,556.3,3
400000,567.0,3
500000,597.2,3
600000,611.3,3
700000,595.4,3
800000,714.5,3
900000,862.7,3
1000000,863.3,3
1100000,854.1,3
1200000,861.4,3
1300000,880.0,3
1400000,873.4,3
1500000,879.2,3
1600000,874.0,3
1700000,882.7,3
1800000,870.7,3
1900000,867.6,3
2000000,876.4,3
2100000,871.0,3
2200000,867.1,3
2300000,859.0,3
2400000,864.6,3
2500000,854.6,3
2600000,788.1,3
2700000,860.6,3
2800000,860.7,3
2900000,856.2,3
3000000,474.7,3
3100000,856.8,3
3200000,815.3,3
3300000,855.3,3
3400000,856.4,3
3500000,836.6,3
3600000,857.1,3
3700000,786.7,3
3800000,866.4,3
3900000,847.8,3
4000000,855.1,3
0,6.7,2
100000,403.7,2
200000,488.6,2
300000,766.3,2
400000,760.5,2
500000,743.4,2
600000,812.2,2
700000,823.3,2
800000,829.5,2
900000,827.7,2
1000000,821.3,2
1100000,822.5,2
1200000,830.5,2
1300000,830.1,2
1400000,824.9,2
1500000,801.3,2
1600000,826.3,2
1700000,817.5,2
1800000,819.9,2
1900000,829.7,2
2000000,774.1,2
2100000,813.7,2
2200000,797.2,2
2300000,782.3,2
2400000,790.2,2
2500000,812.5,2
2600000,746.6,2
2700000,708.5,2
2800000,585.9,2
2900000,742.1,2
3000000,785.6,2
3100000,797.1,2
3200000,801.5,2
3300000,751.8,2
3400000,787.4,2
3500000,811.3,2
3600000,807.0,2
3700000,749.2,2
3800000,818.2,2
3900000,753.2,2
4000000,806.1,2
0,6.6,1
100000,469.4,1
200000,498.0,1
300000,555.0,1
400000,597.2,1
500000,604.0,1
600000,630.1,1
700000,636.7,1
800000,632.2,1
900000,636.2,1
1000000,639.3,1
1100000,636.6,1
1200000,639.7,1
1300000,649.2,1
1400000,654.9,1
1500000,431.4,1
1600000,655.5,1
1700000,656.0,1
1800000,655.1,1
1900000,660.2,1
2000000,652.6,1
2100000,669.5,1
2200000,643.6,1
2300000,669.4,1
2400000,657.3,1
2500000,638.5,1
2600000,652.2,1
2700000,647.4,1
2800000,671.3,1
2900000,609.9,1
3000000,673.4,1
3100000,633.3,1
3200000,624.9,1
3300000,637.1,1
3400000,671.8,1
3500000,669.3,1
3600000,672.1,1
3700000,656.9,1
3800000,676.2,1
3900000,671.1,1
4000000,659.1,1
