step,reward,seed
0,26.2,1
100000,565.0,1
200000,560.3,1
300000,567.0,1
400000,471.9,1
500000,554.3,1
600000,580.6,1
700000,586.7,1
800000,591.6,1
900000,593.1,1
1000000,603.5,1
1100000,607.9,1
1200000,603.5,1
1300000,612.0,1
1400000,609.4,1
1500000,602.3,1
1600000,616.9,1
1700000,624.8,1
1800000,608.7,1
1900000,599.2,1
2000000,617.3,1
2100000,590.1,1
2200000,595.5,1
2300000,612.2,1
2400000,617.5,1
2500000,612.0,1
2600000,609.9,1
2700000,595.0,1
2800000,608.0,1
2900000,603.7,1
3000000,614.3,1
3100000,612.7,1
3200000,609.3,1
3300000,619.3,1
3400000,616.5,1
3500000,612.0,1
3600000,624.2,1
3700000,611.0,1
3800000,618.9,1
3900000,609.9,1
4000000,614.6,1
0,25.8,3
100000,605.7,3
200000,600.2,3
300000,597.3,3
400000,640.2,3
500000,617.0,3
600000,630.4,3
700000,626.9,3
800000,601.3,3
900000,619.9,3
1000000,609.8,3
1100000,614.2,3
1200000,638.7,3
1300000,645.5,3
1400000,632.9,3
1500000,567.7,3
1600000,605.1,3
1700000,637.2,3
1800000,645.9,3
1900000,632.1,3
2000000,649.4,3
2100000,646.3,3
2200000,595.6,3
2300000,649.8,3
2400000,625.6,3
2500000,656.0,3
2600000,660.6,3
2700000,632.4,3
2800000,647.1,3
2900000,611.9,3
3000000,637.2,3
3100000,627.5,3
3200000,645.3,3
3300000,559.0,3
3400000,643.7,3
3500000,654.7,3
3600000,641.3,3
3700000,640.1,3
3800000,645.6,3
3900000,629.9,3
4000000,658.9,3
0,28.2,2
100000,601.1,2
200000,631.9,2
300000,554.4,2
400000,624.6,2
500000,601.0,2
600000,637.6,2
700000,633.7,2
800000,640.5,2
900000,632.9,2
1000000,643.1,2
1100000,634.5,2
1200000,654.9,2
1300000,633.9,2
1400000,647.2,2
1500000,654.5,2
1600000,643.4,2
1700000,642.2,2
1800000,653.1,2
1900000,656.9,2
2000000,662.6,2
2100000,650.5,2
2200000,651.2,2
2300000,640.3,2
2400000,612.9,2
2500000,639.3,2
2600000,651.8,2
2700000,637.1,2
2800000,631.9,2
2900000,628.2,2
3000000,582.8,2
3100000,642.7,2
3200000,629.9,2
3300000,616.1,2
3400000,578.2,2
3500000,566.4,2
3600000,541.8,2
3700000,632.2,2
3800000,620.3,2
3900000,636.0,2
4000000,624.2,2
0,25.3,2
100000,560.5,2
200000,625.8,2
300000,625.9,2
400000,614.9,2
500000,578.9,2
600000,616.9,2
700000,629.2,2
0,28.2,1
100000,596.4,1
200000,601.9,1
300000,634.1,1
400000,625.6,1
500000,653.8,1
600000,630.9,1
700000,645.0,1
