step,reward,seed
0,6.8,3
100000,353.0,3
200000,531.7,3
300000,623.3,3
400000,588.3,3
500000,654.0,3
600000,521.0,3
700000,665.6,3
800000,629.3,3
900000,671.5,3
1000000,564.7,3
1100000,695.7,3
1200000,682.8,3
1300000,693.9,3
1400000,636.2,3
1500000,543.4,3
1600000,718.2,3
1700000,610.8,3
1800000,716.9,3
1900000,683.0,3
2000000,706.0,3
2100000,660.4,3
2200000,678.1,3
2300000,723.7,3
2400000,686.2,3
2500000,625.1,3
2600000,728.9,3
2700000,715.6,3
2800000,728.6,3
2900000,700.2,3
3000000,720.4,3
3100000,733.0,3
3200000,727.9,3
3300000,735.4,3
3400000,747.3,3
3500000,738.5,3
3600000,745.3,3
3700000,746.2,3
3800000,754.6,3
3900000,748.8,3
4000000,704.6,3
0,6.8,2
100000,351.3,2
200000,445.2,2
300000,493.0,2
400000,564.4,2
500000,580.6,2
600000,606.3,2
700000,599.1,2
800000,614.3,2
900000,595.8,2
1000000,607.3,2
1100000,600.9,2
1200000,614.4,2
1300000,635.8,2
1400000,611.4,2
1500000,619.3,2
1600000,629.0,2
1700000,613.9,2
1800000,619.8,2
1900000,611.5,2
2000000,610.6,2
2100000,623.7,2
2200000,628.1,2
2300000,603.5,2
2400000,635.9,2
2500000,632.8,2
2600000,644.3,2
2700000,638.1,2
2800000,616.2,2
2900000,633.0,2
3000000,631.2,2
3100000,634.9,2
3200000,632.7,2
3300000,628.5,2
3400000,626.1,2
3500000,629.2,2
3600000,625.0,2
3700000,647.2,2
3800000,647.5,2
3900000,647.8,2
4000000,616.4,2
0,6.8,1
100000,476.2,1
200000,492.0,1
300000,594.5,1
400000,532.5,1
500000,626.8,1
600000,680.8,1
700000,706.9,1
800000,682.2,1
900000,722.1,1
1000000,730.7,1
1100000,724.6,1
1200000,715.8,1
1300000,682.2,1
1400000,749.6,1
1500000,682.1,1
1600000,744.7,1
1700000,734.5,1
1800000,747.6,1
1900000,718.4,1
2000000,752.4,1
2100000,712.3,1
2200000,751.7,1
2300000,739.1,1
2400000,712.9,1
2500000,736.5,1
2600000,737.9,1
2700000,701.2,1
2800000,748.8,1
2900000,713.9,1
3000000,666.9,1
3100000,728.5,1
3200000,735.7,1
3300000,741.5,1
3400000,760.3,1
3500000,739.5,1
3600000,667.2,1
3700000,745.3,1
3800000,746.5,1
3900000,738.6,1
4000000,710.4,1
0,6.9,2
100000,385.5,2
200000,486.6,2
300000,619.3,2
400000,622.8,2
500000,642.1,2
600000,605.5,2
700000,666.1,2
0,6.8,1
100000,469.1,1
200000,488.3,1
300000,449.5,1
400000,577.7,1
500000,463.3,1
600000,566.7,1
700000,589.1,1
