step,reward,seed
0,5.5,3
100000,677.1,3
200000,711.9,3
300000,818.9,3
400000,780.4,3
500000,712.6,3
600000,805.2,3
700000,839.3,3
800000,847.1,3
900000,808.9,3
1000000,721.9,3
1100000,837.3,3
1200000,850.8,3
1300000,889.0,3
1400000,897.2,3
1500000,894.4,3
1600000,893.4,3
1700000,890.2,3
1800000,904.8,3
1900000,785.6,3
2000000,897.8,3
2100000,869.1,3
2200000,718.3,3
2300000,404.0,3
2400000,890.0,3
2500000,890.2,3
2600000,836.8,3
2700000,748.6,3
2800000,875.2,3
2900000,896.2,3
3000000,895.8,3
3100000,882.9,3
3200000,870.5,3
3300000,897.6,3
3400000,766.5,3
3500000,887.5,3
3600000,893.4,3
3700000,889.5,3
3800000,880.3,3
3900000,893.9,3
4000000,793.2,3
0,6.9,2
100000,640.9,2
200000,781.1,2
300000,786.4,2
400000,812.1,2
500000,854.3,2
600000,883.3,2
700000,733.3,2
800000,800.6,2
900000,897.8,2
1000000,857.1,2
1100000,819.2,2
1200000,887.2,2
1300000,827.2,2
1400000,890.9,2
1500000,894.1,2
1600000,795.7,2
1700000,844.0,2
1800000,845.9,2
1900000,844.6,2
2000000,888.8,2
2100000,871.7,2
2200000,752.3,2
2300000,869.6,2
2400000,794.4,2
2500000,525.8,2
2600000,727.6,2
2700000,850.6,2
2800000,792.9,2
2900000,811.9,2
3000000,684.7,2
3100000,796.4,2
3200000,629.5,2
3300000,675.0,2
3400000,828.1,2
3500000,3.4,2
3600000,753.4,2
3700000,860.3,2
3800000,680.6,2
3900000,780.7,2
4000000,817.8,2
0,5.4,1
100000,277.7,1
200000,820.4,1
300000,792.7,1
400000,906.0,1
500000,903.7,1
600000,909.6,1
700000,817.3,1
800000,815.9,1
900000,825.6,1
1000000,910.0,1
1100000,733.5,1
1200000,887.6,1
1300000,903.1,1
1400000,891.6,1
1500000,886.8,1
1600000,840.8,1
1700000,895.4,1
1800000,892.6,1
1900000,900.3,1
2000000,907.0,1
2100000,860.9,1
2200000,872.4,1
2300000,891.0,1
2400000,888.2,1
2500000,852.6,1
2600000,900.4,1
2700000,884.7,1
2800000,869.7,1
2900000,840.8,1
3000000,888.6,1
3100000,897.1,1
3200000,820.0,1
3300000,874.8,1
3400000,775.2,1
3500000,786.5,1
3600000,362.4,1
3700000,855.0,1
3800000,887.1,1
3900000,889.5,1
4000000,878.1,1
