step,reward,seed
0,85.2,3
100000,977.3,3
200000,974.1,3
300000,980.0,3
400000,977.6,3
500000,983.1,3
600000,979.3,3
700000,987.9,3
800000,979.0,3
900000,979.0,3
1000000,978.9,3
1100000,987.8,3
1200000,981.3,3
1300000,978.8,3
1400000,986.8,3
1500000,977.6,3
1600000,984.7,3
1700000,984.3,3
1800000,986.2,3
1900000,987.2,3
2000000,986.6,3
2100000,981.7,3
2200000,985.1,3
2300000,983.1,3
2400000,985.0,3
2500000,983.3,3
2600000,976.9,3
2700000,986.0,3
2800000,976.6,3
2900000,985.8,3
3000000,989.1,3
3100000,977.4,3
3200000,984.1,3
3300000,987.2,3
3400000,985.6,3
3500000,985.1,3
3600000,983.3,3
3700000,987.3,3
3800000,978.9,3
3900000,990.6,3
4000000,982.2,3
0,0.0,1
100000,977.2,1
200000,977.5,1
300000,970.6,1
400000,983.2,1
500000,983.9,1
600000,979.1,1
700000,982.1,1
800000,982.1,1
900000,981.9,1
1000000,987.2,1
1100000,979.9,1
1200000,984.4,1
1300000,981.5,1
1400000,982.9,1
1500000,981.7,1
1600000,978.2,1
1700000,980.9,1
1800000,981.0,1
1900000,970.4,1
2000000,977.7,1
2100000,980.4,1
2200000,973.4,1
2300000,981.9,1
2400000,976.6,1
2500000,974.6,1
2600000,964.7,1
2700000,972.9,1
2800000,973.8,1
2900000,977.0,1
3000000,973.0,1
3100000,979.0,1
3200000,975.1,1
3300000,981.8,1
3400000,977.8,1
3500000,988.3,1
3600000,980.6,1
3700000,983.1,1
3800000,984.3,1
3900000,975.5,1
4000000,966.8,1
0,0.0,2
100000,988.3,2
200000,975.0,2
300000,979.1,2
400000,975.8,2
500000,984.6,2
600000,977.0,2
700000,979.6,2
800000,984.7,2
900000,981.8,2
1000000,975.3,2
1100000,974.4,2
1200000,979.0,2
1300000,980.3,2
1400000,981.9,2
1500000,980.9,2
1600000,989.8,2
1700000,983.4,2
1800000,982.5,2
1900000,983.6,2
2000000,980.4,2
2100000,990.0,2
2200000,975.1,2
2300000,980.3,2
2400000,978.6,2
2500000,985.7,2
2600000,976.8,2
2700000,983.5,2
2800000,984.8,2
2900000,973.1,2
3000000,990.6,2
3100000,980.7,2
3200000,973.8,2
3300000,971.2,2
3400000,976.7,2
3500000,978.1,2
3600000,979.9,2
3700000,978.4,2
3800000,982.7,2
3900000,976.1,2
4000000,977.7,2
