step,reward,seed
0,33.3,3
100000,839.2,3
200000,841.4,3
300000,842.4,3
400000,842.7,3
500000,842.1,3
600000,842.6,3
700000,842.3,3
800000,842.9,3
900000,842.8,3
1000000,842.1,3
1100000,841.9,3
1200000,842.8,3
1300000,843.8,3
1400000,842.6,3
1500000,843.2,3
1600000,843.1,3
1700000,842.8,3
1800000,842.9,3
1900000,842.8,3
2000000,843.2,3
2100000,843.4,3
2200000,842.0,3
2300000,843.0,3
2400000,842.8,3
2500000,843.0,3
2600000,842.3,3
2700000,842.7,3
2800000,843.3,3
2900000,843.2,3
3000000,840.8,3
3100000,841.6,3
3200000,843.4,3
3300000,842.7,3
3400000,842.6,3
3500000,843.0,3
3600000,843.2,3
3700000,822.0,3
3800000,842.8,3
3900000,842.9,3
4000000,842.5,3
0,89.3,1
100000,832.5,1
200000,841.4,1
300000,837.8,1
400000,841.0,1
500000,840.1,1
600000,840.1,1
700000,836.8,1
800000,840.1,1
900000,839.9,1
1000000,840.3,1
1100000,840.0,1
1200000,840.4,1
1300000,838.4,1
1400000,839.8,1
1500000,840.8,1
1600000,840.8,1
1700000,839.2,1
1800000,840.3,1
1900000,841.1,1
2000000,841.3,1
2100000,841.4,1
2200000,840.9,1
2300000,841.9,1
2400000,841.0,1
2500000,838.5,1
2600000,840.8,1
2700000,835.1,1
2800000,838.2,1
2900000,840.4,1
3000000,835.3,1
3100000,838.7,1
3200000,838.6,1
3300000,841.5,1
3400000,838.4,1
3500000,839.2,1
3600000,838.6,1
3700000,835.1,1
3800000,839.3,1
3900000,839.1,1
4000000,832.2,1
0,54.7,2
100000,836.5,2
200000,838.4,2
300000,837.2,2
400000,839.4,2
500000,836.1,2
600000,839.7,2
700000,837.6,2
800000,838.6,2
900000,838.1,2
1000000,839.2,2
1100000,837.7,2
1200000,835.1,2
1300000,838.6,2
1400000,839.2,2
1500000,839.8,2
1600000,839.0,2
1700000,839.1,2
1800000,839.7,2
1900000,838.6,2
2000000,839.5,2
2100000,840.5,2
2200000,839.7,2
2300000,841.9,2
2400000,842.1,2
2500000,839.7,2
2600000,842.0,2
2700000,843.2,2
2800000,840.7,2
2900000,842.9,2
3000000,843.2,2
3100000,843.0,2
3200000,837.9,2
3300000,842.6,2
3400000,841.6,2
3500000,842.6,2
3600000,841.8,2
3700000,842.3,2
3800000,834.3,2
3900000,843.4,2
4000000,842.5,2
