step,reward,seed
0,5.7,3
100000,28.2,3
200000,24.2,3
300000,88.7,3
400000,133.5,3
500000,160.6,3
600000,166.2,3
700000,4.7,3
800000,14.6,3
900000,11.3,3
1000000,12.1,3
1100000,21.9,3
1200000,2.6,3
1300000,3.0,3
1400000,7.1,3
1500000,36.5,3
1600000,3.3,3
1700000,31.3,3
1800000,4.1,3
1900000,5.2,3
2000000,3.5,3
2100000,10.7,3
2200000,2.4,3
2300000,7.8,3
2400000,5.3,3
2500000,4.4,3
2600000,27.3,3
2700000,149.4,3
2800000,209.3,3
2900000,223.0,3
3000000,157.3,3
3100000,306.4,3
3200000,309.2,3
3300000,277.3,3
3400000,352.8,3
3500000,295.7,3
3600000,353.9,3
3700000,388.8,3
3800000,356.4,3
3900000,398.3,3
4000000,416.8,3
4100000,387.3,3
4200000,435.8,3
4300000,404.2,3
4400000,431.6,3
4500000,438.0,3
4600000,451.2,3
4700000,446.9,3
4800000,429.7,3
4900000,390.5,3
5000000,439.3,3
5100000,397.8,3
5200000,454.7,3
5300000,399.0,3
5400000,463.7,3
5500000,441.8,3
5600000,452.4,3
5700000,484.9,3
5800000,460.1,3
5900000,494.4,3
6000000,419.2,3
6100000,440.6,3
6200000,478.3,3
6300000,348.5,3
6400000,311.6,3
6500000,470.6,3
6600000,431.7,3
6700000,380.1,3
6800000,312.3,3
6900000,384.8,3
7000000,279.8,3
7100000,368.2,3
7200000,334.5,3
7300000,373.1,3
7400000,290.8,3
7500000,316.6,3
7600000,249.7,3
7700000,371.3,3
7800000,415.4,3
7900000,342.3,3
8000000,411.0,3
8100000,313.9,3
8200000,263.0,3
8300000,284.9,3
8400000,241.2,3
8500000,299.3,3
8600000,309.8,3
8700000,401.3,3
8800000,426.8,3
8900000,432.0,3
9000000,449.8,3
9100000,536.4,3
9200000,524.5,3
9300000,544.6,3
9400000,559.6,3
9500000,562.7,3
9600000,576.1,3
9700000,568.2,3
9800000,578.3,3
9900000,587.7,3
10000000,588.4,3
10100000,587.9,3
10200000,584.7,3
10300000,563.0,3
10400000,531.6,3
10500000,612.7,3
10600000,591.6,3
10700000,615.0,3
10800000,615.7,3
10900000,604.2,3
11000000,592.4,3
11100000,623.2,3
11200000,624.4,3
11300000,608.2,3
11400000,611.3,3
11500000,607.6,3
11600000,627.8,3
11700000,636.7,3
11800000,611.7,3
11900000,603.7,3
12000000,594.9,3
12100000,620.7,3
12200000,597.9,3
12300000,634.2,3
12400000,608.5,3
12500000,608.3,3
12600000,599.7,3
12700000,608.3,3
12800000,610.7,3
12900000,603.0,3
13000000,592.5,3
13100000,564.7,3
13200000,619.4,3
13300000,595.4,3
13400000,580.4,3
13500000,584.7,3
13600000,567.7,3
13700000,589.6,3
13800000,553.3,3
13900000,587.0,3
14000000,545.2,3
0,6.1,2
100000,12.9,2
200000,31.9,2
300000,78.4,2
400000,108.4,2
500000,13.2,2
600000,29.1,2
700000,12.7,2
800000,7.8,2
900000,11.1,2
1000000,5.2,2
1100000,5.0,2
1200000,5.9,2
1300000,9.4,2
1400000,16.3,2
1500000,10.1,2
1600000,5.7,2
1700000,45.1,2
1800000,10.2,2
1900000,5.6,2
2000000,20.2,2
2100000,10.9,2
2200000,5.9,2
2300000,8.6,2
2400000,10.8,2
2500000,14.0,2
2600000,5.2,2
2700000,11.0,2
2800000,4.9,2
2900000,5.9,2
3000000,15.9,2
3100000,9.8,2
3200000,72.7,2
3300000,150.2,2
3400000,170.0,2
3500000,14.2,2
3600000,185.2,2
3700000,213.0,2
3800000,229.3,2
3900000,227.6,2
4000000,248.2,2
4100000,229.9,2
4200000,285.2,2
4300000,282.2,2
4400000,272.1,2
4500000,286.9,2
4600000,290.9,2
4700000,307.5,2
4800000,308.2,2
4900000,301.4,2
5000000,307.8,2
5100000,337.0,2
5200000,322.8,2
5300000,317.6,2
5400000,331.2,2
5500000,324.8,2
5600000,334.2,2
5700000,274.8,2
5800000,339.5,2
5900000,349.3,2
6000000,310.3,2
6100000,326.5,2
6200000,325.6,2
6300000,235.3,2
6400000,348.1,2
6500000,333.6,2
6600000,284.4,2
6700000,242.0,2
6800000,248.6,2
6900000,272.2,2
7000000,319.4,2
7100000,315.8,2
7200000,230.8,2
7300000,118.5,2
7400000,300.7,2
7500000,182.2,2
7600000,309.0,2
7700000,279.2,2
7800000,191.5,2
7900000,156.0,2
8000000,217.0,2
8100000,188.9,2
8200000,118.8,2
8300000,155.3,2
8400000,141.5,2
8500000,95.1,2
8600000,47.8,2
8700000,33.3,2
8800000,108.2,2
8900000,61.4,2
9000000,108.8,2
9100000,92.1,2
9200000,164.2,2
9300000,188.0,2
9400000,220.8,2
9500000,220.7,2
9600000,172.7,2
9700000,236.7,2
9800000,232.4,2
9900000,191.4,2
10000000,196.5,2
10100000,198.4,2
10200000,93.9,2
10300000,220.9,2
10400000,327.2,2
10500000,299.3,2
10600000,318.6,2
10700000,347.1,2
10800000,299.4,2
10900000,306.5,2
11000000,360.2,2
11100000,343.3,2
11200000,388.8,2
11300000,383.3,2
11400000,347.9,2
11500000,334.1,2
11600000,396.1,2
11700000,361.2,2
11800000,320.2,2
11900000,304.1,2
12000000,386.9,2
12100000,296.2,2
12200000,411.3,2
12300000,320.0,2
12400000,364.1,2
12500000,340.6,2
12600000,322.0,2
12700000,356.1,2
12800000,344.4,2
12900000,369.4,2
13000000,317.9,2
13100000,457.5,2
13200000,473.4,2
13300000,486.3,2
13400000,485.5,2
13500000,504.3,2
13600000,491.9,2
13700000,484.0,2
13800000,501.0,2
13900000,514.9,2
14000000,482.2,2
0,4.9,1
100000,8.9,1
200000,51.0,1
300000,89.1,1
400000,140.8,1
500000,169.4,1
600000,202.7,1
700000,219.4,1
800000,245.5,1
900000,269.7,1
1000000,283.9,1
1100000,332.5,1
1200000,355.2,1
1300000,382.3,1
1400000,392.7,1
1500000,390.7,1
1600000,387.9,1
1700000,361.6,1
1800000,394.5,1
1900000,399.3,1
2000000,415.8,1
2100000,432.1,1
2200000,457.2,1
2300000,453.0,1
2400000,451.3,1
2500000,459.2,1
2600000,480.7,1
2700000,495.0,1
2800000,439.6,1
2900000,496.5,1
3000000,507.4,1
3100000,511.0,1
3200000,501.5,1
3300000,513.5,1
3400000,497.6,1
3500000,502.7,1
3600000,477.2,1
3700000,464.4,1
3800000,516.0,1
3900000,494.4,1
4000000,487.8,1
4100000,504.3,1
4200000,533.9,1
4300000,511.2,1
4400000,505.1,1
4500000,515.9,1
4600000,515.6,1
4700000,538.3,1
4800000,527.2,1
4900000,515.5,1
5000000,501.0,1
5100000,483.0,1
5200000,480.2,1
5300000,527.2,1
5400000,506.2,1
5500000,488.9,1
5600000,505.1,1
5700000,503.2,1
5800000,470.5,1
5900000,526.6,1
6000000,468.1,1
6100000,508.0,1
6200000,456.7,1
6300000,477.2,1
6400000,472.6,1
6500000,447.1,1
6600000,478.5,1
6700000,451.4,1
6800000,459.3,1
6900000,424.7,1
7000000,405.2,1
7100000,457.3,1
7200000,456.1,1
7300000,438.3,1
7400000,440.2,1
7500000,435.2,1
7600000,387.8,1
7700000,347.1,1
7800000,456.6,1
7900000,493.8,1
8000000,455.6,1
8100000,439.1,1
8200000,445.3,1
8300000,369.3,1
8400000,449.5,1
8500000,449.6,1
8600000,457.7,1
8700000,425.1,1
8800000,431.2,1
8900000,357.9,1
9000000,432.7,1
9100000,399.6,1
9200000,356.9,1
9300000,388.0,1
9400000,327.7,1
9500000,350.6,1
