step,reward,seed
0,22.5,1
100000,86.8,1
200000,388.5,1
300000,598.5,1
400000,593.0,1
500000,761.7,1
600000,724.3,1
700000,924.0,1
800000,867.3,1
900000,939.5,1
1000000,955.1,1
1100000,966.5,1
1200000,915.8,1
1300000,882.1,1
1400000,939.1,1
1500000,939.7,1
1600000,934.8,1
1700000,947.5,1
1800000,954.8,1
1900000,942.1,1
2000000,940.6,1
2100000,945.9,1
2200000,961.8,1
2300000,969.4,1
2400000,921.0,1
2500000,962.1,1
2600000,959.4,1
2700000,944.0,1
2800000,957.5,1
2900000,951.8,1
3000000,955.6,1
3100000,957.9,1
3200000,970.3,1
3300000,956.4,1
3400000,975.5,1
3500000,943.9,1
3600000,969.0,1
3700000,965.1,1
3800000,967.7,1
3900000,976.1,1
4000000,950.0,1
4100000,961.3,1
4200000,976.1,1
4300000,976.5,1
4400000,957.7,1
4500000,959.8,1
4600000,958.0,1
4700000,976.4,1
4800000,965.1,1
4900000,970.0,1
5000000,972.2,1
5100000,967.2,1
5200000,973.8,1
5300000,939.5,1
5400000,960.4,1
5500000,936.6,1
5600000,966.2,1
5700000,964.4,1
5800000,961.3,1
5900000,965.6,1
6000000,905.4,1
6100000,952.5,1
6200000,943.9,1
6300000,961.1,1
6400000,972.1,1
6500000,941.7,1
6600000,927.5,1
6700000,949.3,1
6800000,957.8,1
6900000,905.5,1
7000000,965.4,1
7100000,955.6,1
7200000,925.8,1
7300000,929.8,1
7400000,951.2,1
7500000,931.7,1
7600000,927.5,1
7700000,943.7,1
7800000,942.7,1
7900000,878.2,1
8000000,911.8,1
8100000,911.2,1
8200000,898.1,1
8300000,909.6,1
8400000,876.1,1
8500000,926.9,1
8600000,915.1,1
8700000,863.9,1
8800000,818.9,1
8900000,848.0,1
9000000,840.4,1
9100000,840.1,1
9200000,894.9,1
9300000,794.8,1
9400000,856.4,1
9500000,904.2,1
9600000,904.7,1
9700000,890.2,1
9800000,895.6,1
9900000,820.2,1
10000000,908.4,1
10100000,832.4,1
10200000,923.1,1
10300000,875.4,1
10400000,850.1,1
10500000,862.6,1
10600000,852.6,1
10700000,842.3,1
10800000,900.3,1
10900000,847.5,1
11000000,628.8,1
11100000,768.6,1
11200000,831.9,1
11300000,838.0,1
11400000,849.4,1
11500000,555.2,1
11600000,746.3,1
11700000,824.1,1
11800000,814.2,1
11900000,859.9,1
12000000,779.3,1
12100000,780.7,1
12200000,773.1,1
12300000,859.5,1
12400000,837.6,1
12500000,812.4,1
12600000,608.0,1
12700000,866.4,1
12800000,866.2,1
12900000,692.9,1
13000000,902.3,1
13100000,746.1,1
13200000,899.0,1
13300000,796.8,1
13400000,801.3,1
13500000,856.6,1
13600000,824.3,1
13700000,719.2,1
13800000,863.8,1
13900000,799.8,1
14000000,816.7,1
0,24.1,2
100000,73.9,2
200000,357.9,2
300000,514.9,2
400000,658.3,2
500000,586.4,2
600000,766.3,2
700000,807.5,2
800000,748.7,2
900000,784.9,2
1000000,859.6,2
1100000,860.1,2
1200000,935.7,2
1300000,875.3,2
1400000,744.2,2
1500000,913.6,2
1600000,878.7,2
1700000,943.1,2
1800000,942.2,2
1900000,958.9,2
2000000,951.5,2
2100000,942.5,2
2200000,922.4,2
2300000,916.6,2
2400000,935.9,2
2500000,944.8,2
2600000,958.4,2
2700000,964.7,2
2800000,941.2,2
2900000,926.9,2
3000000,931.5,2
3100000,965.9,2
3200000,965.5,2
3300000,974.7,2
3400000,967.8,2
3500000,944.1,2
3600000,931.7,2
3700000,954.2,2
3800000,963.3,2
3900000,961.5,2
4000000,970.3,2
4100000,961.3,2
4200000,956.4,2
4300000,944.6,2
4400000,969.8,2
4500000,968.5,2
4600000,956.0,2
4700000,971.8,2
4800000,939.6,2
4900000,932.7,2
5000000,968.1,2
5100000,961.8,2
5200000,956.1,2
5300000,926.4,2
5400000,970.8,2
5500000,970.1,2
5600000,956.7,2
5700000,958.1,2
5800000,918.7,2
5900000,936.0,2
6000000,937.2,2
6100000,916.2,2
6200000,952.7,2
6300000,889.1,2
