step,reward,seed
0,8.2,2
100000,10.0,2
200000,32.7,2
300000,108.1,2
400000,137.2,2
500000,262.3,2
600000,260.3,2
700000,367.6,2
800000,432.6,2
900000,525.0,2
1000000,496.9,2
1100000,582.8,2
1200000,580.0,2
1300000,668.2,2
1400000,671.5,2
1500000,674.4,2
1600000,654.3,2
1700000,677.8,2
1800000,745.9,2
1900000,758.5,2
2000000,787.4,2
2100000,809.8,2
2200000,828.7,2
2300000,680.9,2
2400000,827.3,2
2500000,819.5,2
2600000,823.1,2
2700000,806.9,2
2800000,827.7,2
2900000,853.5,2
3000000,720.1,2
3100000,818.9,2
3200000,844.0,2
3300000,840.7,2
3400000,829.3,2
3500000,822.6,2
3600000,840.9,2
3700000,840.1,2
3800000,856.5,2
3900000,864.2,2
4000000,874.0,2
4100000,843.9,2
4200000,844.5,2
4300000,846.9,2
4400000,798.0,2
4500000,814.4,2
4600000,856.2,2
4700000,801.6,2
4800000,792.6,2
4900000,832.7,2
5000000,865.3,2
5100000,842.9,2
5200000,859.1,2
5300000,845.2,2
5400000,780.2,2
5500000,801.0,2
5600000,792.8,2
5700000,840.3,2
5800000,775.0,2
5900000,846.5,2
6000000,832.4,2
6100000,859.3,2
6200000,768.5,2
6300000,818.9,2
6400000,780.0,2
6500000,810.6,2
6600000,808.2,2
6700000,749.2,2
6800000,787.3,2
6900000,771.3,2
7000000,749.3,2
7100000,846.5,2
7200000,796.3,2
7300000,779.3,2
7400000,605.8,2
7500000,785.5,2
7600000,801.3,2
7700000,823.7,2
7800000,609.7,2
7900000,726.5,2
8000000,726.4,2
8100000,720.1,2
8200000,606.4,2
8300000,719.7,2
8400000,482.7,2
8500000,680.3,2
8600000,747.3,2
8700000,587.4,2
8800000,678.7,2
8900000,687.3,2
9000000,581.7,2
9100000,793.4,2
9200000,515.6,2
9300000,640.5,2
9400000,555.8,2
9500000,348.2,2
9600000,450.4,2
9700000,570.0,2
9800000,574.3,2
9900000,373.8,2
10000000,512.7,2
10100000,618.4,2
10200000,289.4,2
10300000,526.2,2
10400000,541.2,2
10500000,589.7,2
10600000,553.6,2
10700000,507.8,2
10800000,367.1,2
10900000,237.3,2
11000000,312.5,2
11100000,467.5,2
11200000,488.7,2
11300000,625.0,2
11400000,302.0,2
11500000,627.0,2
11600000,538.6,2
11700000,456.2,2
11800000,447.6,2
11900000,527.3,2
12000000,361.1,2
12100000,401.5,2
12200000,333.3,2
12300000,532.2,2
12400000,469.0,2
12500000,460.2,2
12600000,343.6,2
12700000,463.4,2
12800000,483.5,2
12900000,534.6,2
13000000,442.4,2
13100000,399.1,2
13200000,364.4,2
13300000,308.3,2
13400000,378.2,2
13500000,385.4,2
13600000,533.9,2
13700000,483.3,2
13800000,435.9,2
13900000,520.9,2
14000000,537.6,2
0,6.0,1
100000,22.3,1
200000,54.7,1
300000,125.2,1
400000,180.7,1
500000,253.1,1
600000,297.0,1
700000,408.0,1
800000,444.8,1
900000,514.7,1
1000000,550.4,1
1100000,680.0,1
1200000,697.4,1
1300000,817.9,1
1400000,784.1,1
1500000,757.8,1
1600000,799.9,1
1700000,849.2,1
1800000,795.1,1
1900000,825.1,1
2000000,862.4,1
2100000,836.7,1
2200000,882.5,1
2300000,891.1,1
2400000,885.1,1
2500000,868.4,1
2600000,891.3,1
2700000,895.6,1
2800000,881.2,1
2900000,890.3,1
3000000,864.4,1
3100000,895.1,1
3200000,844.6,1
3300000,876.0,1
3400000,876.2,1
3500000,828.9,1
3600000,827.9,1
3700000,807.1,1
3800000,834.4,1
3900000,801.7,1
4000000,773.6,1
4100000,812.3,1
4200000,818.4,1
4300000,760.0,1
4400000,740.2,1
4500000,771.6,1
4600000,823.3,1
4700000,814.5,1
4800000,774.5,1
4900000,760.4,1
5000000,797.5,1
5100000,789.5,1
5200000,819.8,1
5300000,825.4,1
5400000,860.2,1
5500000,845.1,1
5600000,836.8,1
5700000,832.5,1
5800000,819.4,1
5900000,814.5,1
6000000,847.8,1
6100000,860.6,1
6200000,828.2,1
6300000,824.7,1
6400000,800.9,1
6500000,782.1,1
6600000,855.0,1
6700000,820.6,1
6800000,743.3,1
6900000,811.2,1
7000000,800.1,1
7100000,798.7,1
7200000,821.2,1
7300000,838.3,1
7400000,798.3,1
7500000,806.1,1
7600000,758.4,1
7700000,768.0,1
7800000,800.1,1
7900000,538.9,1
8000000,635.8,1
8100000,738.4,1
8200000,676.9,1
8300000,744.6,1
8400000,644.7,1
8500000,709.7,1
8600000,758.6,1
8700000,723.4,1
8800000,618.2,1
8900000,713.5,1
9000000,677.4,1
9100000,699.2,1
9200000,598.9,1
9300000,684.0,1
9400000,613.7,1
9500000,749.3,1
9600000,682.9,1
9700000,764.6,1
9800000,729.7,1
9900000,652.9,1
10000000,737.2,1
10100000,694.0,1
10200000,713.6,1
10300000,655.3,1
10400000,745.6,1
10500000,701.5,1
10600000,727.9,1
10700000,703.3,1
10800000,619.6,1
10900000,751.5,1
11000000,702.2,1
11100000,554.8,1
11200000,664.2,1
11300000,700.9,1
11400000,711.7,1
11500000,615.3,1
11600000,521.6,1
11700000,613.2,1
11800000,384.0,1
11900000,727.1,1
12000000,455.3,1
12100000,600.9,1
12200000,508.7,1
12300000,269.0,1
12400000,366.8,1
12500000,91.8,1
12600000,256.2,1
12700000,218.2,1
12800000,37.4,1
12900000,167.5,1
13000000,318.5,1
13100000,382.9,1
13200000,359.2,1
13300000,75.8,1
13400000,258.9,1
13500000,331.6,1
13600000,564.6,1
13700000,329.1,1
13800000,599.6,1
13900000,367.2,1
14000000,310.5,1
0,7.2,3
100000,22.0,3
200000,46.7,3
300000,97.1,3
400000,151.2,3
500000,256.1,3
600000,363.4,3
700000,380.3,3
800000,466.4,3
900000,522.8,3
1000000,554.3,3
1100000,585.9,3
1200000,636.2,3
1300000,665.4,3
1400000,686.0,3
1500000,741.1,3
1600000,762.3,3
1700000,776.9,3
1800000,809.9,3
1900000,800.1,3
2000000,859.1,3
2100000,799.7,3
2200000,861.9,3
2300000,854.3,3
2400000,819.2,3
2500000,871.4,3
2600000,859.7,3
2700000,845.0,3
2800000,867.8,3
2900000,895.1,3
3000000,878.3,3
3100000,878.6,3
3200000,813.7,3
3300000,872.0,3
3400000,795.3,3
3500000,857.8,3
3600000,817.3,3
3700000,876.9,3
3800000,883.3,3
3900000,869.2,3
4000000,854.5,3
4100000,755.9,3
4200000,871.4,3
4300000,870.0,3
4400000,776.6,3
4500000,782.7,3
4600000,763.7,3
4700000,700.6,3
4800000,737.5,3
4900000,780.6,3
5000000,742.0,3
5100000,730.0,3
5200000,694.1,3
5300000,822.3,3
5400000,769.5,3
5500000,763.7,3
5600000,835.7,3
5700000,805.6,3
5800000,845.2,3
5900000,824.6,3
6000000,864.1,3
6100000,785.6,3
6200000,810.8,3
6300000,816.3,3
6400000,819.2,3
6500000,857.6,3
6600000,747.5,3
6700000,853.9,3
6800000,803.0,3
6900000,818.0,3
7000000,810.5,3
7100000,569.3,3
7200000,731.9,3
7300000,727.5,3
7400000,626.8,3
7500000,819.1,3
7600000,733.6,3
7700000,310.8,3
7800000,774.6,3
7900000,774.7,3
8000000,783.3,3
8100000,798.6,3
8200000,663.6,3
8300000,692.6,3
8400000,741.8,3
8500000,633.0,3
8600000,659.8,3
8700000,576.2,3
8800000,789.2,3
8900000,662.3,3
9000000,720.6,3
9100000,849.6,3
9200000,782.7,3
9300000,745.5,3
9400000,726.0,3
9500000,824.3,3
9600000,528.4,3
9700000,721.7,3
9800000,739.7,3
9900000,633.8,3
10000000,592.1,3
10100000,808.5,3
10200000,655.4,3
10300000,657.5,3
10400000,650.5,3
10500000,728.1,3
10600000,742.3,3
10700000,662.7,3
10800000,747.8,3
10900000,748.3,3
11000000,695.8,3
11100000,786.1,3
11200000,757.2,3
11300000,709.2,3
11400000,589.0,3
11500000,712.7,3
11600000,540.8,3
11700000,625.5,3
11800000,703.4,3
11900000,417.8,3
12000000,532.4,3
12100000,655.9,3
12200000,487.9,3
12300000,527.7,3
12400000,417.1,3
12500000,596.1,3
12600000,573.2,3
12700000,592.3,3
12800000,599.0,3
12900000,526.2,3
13000000,631.8,3
13100000,499.5,3
13200000,615.9,3
13300000,396.8,3
13400000,479.4,3
13500000,461.1,3
13600000,607.4,3
13700000,351.8,3
13800000,622.1,3
13900000,650.7,3
14000000,516.1,3
0,6.8,2
100000,13.6,2
200000,38.7,2
300000,59.8,2
400000,134.3,2
500000,187.4,2
600000,250.9,2
700000,278.9,2
800000,338.8,2
900000,375.5,2
1000000,471.3,2
1100000,531.3,2
1200000,576.1,2
1300000,630.5,2
1400000,626.4,2
1500000,730.4,2
1600000,692.9,2
1700000,786.7,2
1800000,796.0,2
1900000,840.9,2
2000000,840.3,2
2100000,836.0,2
2200000,824.7,2
2300000,833.2,2
2400000,835.7,2
2500000,847.0,2
2600000,859.8,2
2700000,857.4,2
2800000,881.6,2
2900000,896.2,2
3000000,875.5,2
3100000,840.6,2
3200000,872.7,2
3300000,884.7,2
3400000,860.7,2
3500000,824.4,2
3600000,824.4,2
3700000,889.3,2
3800000,887.8,2
3900000,829.4,2
4000000,876.2,2
0,7.7,1
100000,12.9,1
200000,32.2,1
300000,77.7,1
400000,77.9,1
500000,164.1,1
600000,270.2,1
700000,307.9,1
800000,392.3,1
900000,458.5,1
1000000,478.8,1
1100000,598.2,1
1200000,652.8,1
1300000,661.6,1
1400000,720.9,1
1500000,769.6,1
1600000,752.3,1
1700000,716.6,1
1800000,776.7,1
1900000,819.8,1
2000000,805.4,1
2100000,814.4,1
2200000,865.0,1
2300000,790.7,1
2400000,846.9,1
2500000,795.5,1
2600000,868.9,1
2700000,859.2,1
2800000,836.8,1
2900000,871.4,1
3000000,879.3,1
3100000,861.8,1
3200000,878.5,1
3300000,898.7,1
3400000,861.2,1
3500000,864.1,1
3600000,891.9,1
3700000,883.6,1
3800000,804.9,1
3900000,861.4,1
4000000,856.0,1
