step,reward,seed
0,9.7,3
100000,33.5,3
200000,61.1,3
300000,129.1,3
400000,370.6,3
500000,326.7,3
600000,594.0,3
700000,688.1,3
800000,759.1,3
900000,780.1,3
1000000,828.3,3
1100000,879.8,3
1200000,868.2,3
1300000,866.6,3
1400000,894.1,3
1500000,850.7,3
1600000,922.6,3
1700000,908.0,3
1800000,889.1,3
1900000,884.5,3
2000000,923.3,3
2100000,870.2,3
2200000,897.8,3
2300000,924.9,3
2400000,929.2,3
2500000,937.6,3
2600000,906.3,3
2700000,947.4,3
2800000,943.1,3
2900000,941.3,3
3000000,933.9,3
3100000,914.7,3
3200000,938.8,3
3300000,939.3,3
3400000,946.7,3
3500000,923.2,3
3600000,955.2,3
3700000,945.1,3
3800000,924.8,3
3900000,933.8,3
4000000,940.3,3
4100000,949.7,3
4200000,939.3,3
4300000,952.5,3
4400000,948.2,3
4500000,919.4,3
4600000,931.5,3
4700000,928.5,3
4800000,944.5,3
4900000,943.0,3
5000000,939.7,3
5100000,934.5,3
5200000,930.5,3
5300000,927.6,3
5400000,934.1,3
5500000,936.4,3
5600000,960.1,3
5700000,954.0,3
5800000,933.8,3
5900000,926.6,3
6000000,950.8,3
6100000,947.5,3
6200000,927.3,3
6300000,911.2,3
6400000,956.3,3
6500000,927.7,3
6600000,923.9,3
6700000,922.4,3
6800000,893.6,3
6900000,911.1,3
7000000,933.3,3
7100000,946.1,3
7200000,941.2,3
7300000,934.3,3
7400000,926.4,3
7500000,950.9,3
7600000,910.3,3
7700000,917.8,3
7800000,929.4,3
7900000,865.7,3
8000000,913.7,3
8100000,917.0,3
8200000,909.7,3
8300000,780.9,3
8400000,807.1,3
8500000,766.6,3
8600000,869.0,3
8700000,601.4,3
8800000,751.1,3
8900000,776.0,3
9000000,924.0,3
9100000,924.5,3
9200000,917.2,3
9300000,930.3,3
9400000,917.7,3
9500000,909.9,3
9600000,900.0,3
9700000,927.6,3
9800000,926.2,3
9900000,847.6,3
10000000,926.6,3
10100000,908.7,3
10200000,892.4,3
10300000,860.7,3
10400000,786.1,3
10500000,831.0,3
10600000,924.0,3
10700000,902.6,3
10800000,753.5,3
10900000,878.0,3
11000000,857.4,3
11100000,880.6,3
11200000,770.5,3
11300000,759.8,3
11400000,858.0,3
11500000,743.4,3
11600000,232.4,3
11700000,729.6,3
11800000,744.9,3
11900000,872.6,3
12000000,834.1,3
12100000,681.4,3
12200000,827.2,3
12300000,668.8,3
12400000,841.4,3
12500000,680.8,3
12600000,839.1,3
12700000,490.1,3
12800000,787.7,3
12900000,847.3,3
13000000,796.1,3
13100000,725.7,3
13200000,596.5,3
13300000,735.2,3
13400000,808.3,3
13500000,725.5,3
13600000,664.5,3
13700000,731.2,3
13800000,414.6,3
13900000,342.1,3
14000000,372.8,3
0,8.3,2
100000,22.0,2
200000,67.4,2
300000,179.1,2
400000,273.5,2
500000,490.4,2
600000,557.1,2
700000,572.3,2
800000,656.0,2
900000,679.6,2
1000000,749.1,2
1100000,748.5,2
1200000,885.0,2
1300000,861.1,2
1400000,893.5,2
1500000,871.1,2
1600000,868.3,2
1700000,895.1,2
1800000,913.1,2
1900000,920.9,2
2000000,912.8,2
2100000,915.5,2
2200000,906.6,2
2300000,932.1,2
2400000,903.4,2
