step,reward,seed
0,0.6,3
100000,929.9,3
200000,980.0,3
300000,962.2,3
400000,986.6,3
500000,985.0,3
600000,982.3,3
700000,983.9,3
800000,984.2,3
900000,960.3,3
1000000,982.1,3
1100000,982.0,3
1200000,985.3,3
1300000,980.1,3
1400000,969.0,3
1500000,983.1,3
1600000,956.3,3
1700000,961.5,3
1800000,974.0,3
1900000,980.4,3
2000000,935.5,3
2100000,967.1,3
2200000,629.2,3
2300000,977.5,3
2400000,981.7,3
2500000,952.1,3
2600000,872.4,3
2700000,980.5,3
2800000,970.8,3
2900000,975.5,3
3000000,977.4,3
3100000,982.3,3
3200000,979.8,3
3300000,936.8,3
3400000,977.3,3
3500000,785.5,3
3600000,985.3,3
3700000,986.9,3
3800000,975.6,3
3900000,871.1,3
4000000,984.3,3
0,0.1,1
100000,742.0,1
200000,768.0,1
300000,747.2,1
400000,705.4,1
500000,172.2,1
600000,755.7,1
700000,756.3,1
800000,736.1,1
900000,748.2,1
1000000,509.7,1
1100000,757.9,1
1200000,690.6,1
1300000,695.9,1
1400000,7.5,1
1500000,352.3,1
1600000,410.6,1
1700000,385.5,1
1800000,533.2,1
1900000,5.4,1
2000000,55.9,1
2100000,569.0,1
2200000,723.7,1
2300000,770.2,1
2400000,766.8,1
2500000,648.6,1
2600000,3.8,1
2700000,612.6,1
2800000,635.4,1
2900000,742.0,1
3000000,690.5,1
3100000,2.0,1
3200000,614.7,1
3300000,208.7,1
3400000,599.1,1
3500000,685.2,1
3600000,653.7,1
3700000,758.7,1
3800000,813.0,1
3900000,780.3,1
4000000,746.7,1
0,1.8,2
100000,969.3,2
200000,982.3,2
300000,980.3,2
400000,987.5,2
500000,985.3,2
600000,984.1,2
700000,983.4,2
800000,986.4,2
900000,988.6,2
1000000,986.3,2
1100000,985.2,2
1200000,979.1,2
1300000,983.4,2
1400000,979.4,2
1500000,980.2,2
1600000,982.3,2
1700000,966.5,2
1800000,986.8,2
1900000,983.3,2
2000000,983.8,2
2100000,986.9,2
2200000,982.0,2
2300000,987.3,2
2400000,989.6,2
2500000,980.9,2
2600000,983.8,2
2700000,984.6,2
2800000,979.9,2
2900000,983.8,2
3000000,989.0,2
3100000,979.5,2
3200000,984.4,2
3300000,988.2,2
3400000,984.4,2
3500000,985.7,2
3600000,981.2,2
3700000,982.5,2
3800000,987.4,2
3900000,975.8,2
4000000,983.5,2
