step,reward,seed
0,149.2,3
100000,200.0,3
200000,490.5,3
300000,681.6,3
400000,558.2,3
500000,862.5,3
600000,971.4,3
700000,974.7,3
800000,883.2,3
900000,887.2,3
1000000,784.5,3
1100000,985.3,3
1200000,877.0,3
1300000,988.3,3
1400000,973.4,3
1500000,986.8,3
1600000,883.6,3
1700000,979.4,3
1800000,991.6,3
1900000,882.6,3
2000000,976.0,3
2100000,985.9,3
2200000,980.7,3
2300000,977.9,3
2400000,985.2,3
2500000,981.3,3
2600000,883.1,3
2700000,989.4,3
2800000,983.5,3
2900000,981.3,3
3000000,980.2,3
3100000,988.4,3
3200000,988.9,3
3300000,885.8,3
3400000,990.1,3
3500000,886.9,3
3600000,984.9,3
3700000,985.4,3
3800000,894.0,3
3900000,982.4,3
4000000,886.1,3
0,394.0,2
100000,573.6,2
200000,478.7,2
300000,783.1,2
400000,882.5,2
500000,882.4,2
600000,945.6,2
700000,982.2,2
800000,777.0,2
900000,879.2,2
1000000,975.0,2
1100000,684.3,2
1200000,977.6,2
1300000,790.5,2
1400000,987.9,2
1500000,977.7,2
1600000,985.6,2
1700000,986.6,2
1800000,979.6,2
1900000,989.7,2
2000000,987.8,2
2100000,987.5,2
2200000,974.5,2
2300000,986.6,2
2400000,987.6,2
2500000,975.9,2
2600000,974.2,2
2700000,983.8,2
2800000,887.0,2
2900000,886.7,2
3000000,880.4,2
3100000,883.4,2
3200000,980.2,2
3300000,986.7,2
3400000,989.0,2
3500000,889.0,2
3600000,984.3,2
3700000,983.9,2
3800000,983.8,2
3900000,885.1,2
4000000,979.5,2
0,170.1,1
100000,198.7,1
200000,486.0,1
300000,770.6,1
400000,594.5,1
500000,967.9,1
600000,986.5,1
700000,881.7,1
800000,982.1,1
900000,884.6,1
1000000,991.7,1
1100000,876.4,1
1200000,966.9,1
1300000,967.7,1
1400000,986.8,1
1500000,782.8,1
1600000,981.3,1
1700000,982.2,1
1800000,984.6,1
1900000,890.0,1
2000000,983.6,1
2100000,987.3,1
2200000,981.5,1
2300000,983.9,1
2400000,887.0,1
2500000,980.8,1
2600000,889.2,1
2700000,982.3,1
2800000,880.3,1
2900000,986.1,1
3000000,986.3,1
3100000,983.5,1
3200000,892.0,1
3300000,980.6,1
3400000,976.7,1
3500000,966.4,1
3600000,971.3,1
3700000,982.5,1
3800000,979.3,1
3900000,984.0,1
4000000,963.6,1
