step,reward,seed
0,93.3,3
100000,272.1,3
200000,465.7,3
300000,380.7,3
400000,264.4,3
500000,576.3,3
600000,770.1,3
700000,884.1,3
800000,776.8,3
900000,880.8,3
1000000,974.6,3
1100000,763.9,3
1200000,968.6,3
1300000,881.6,3
1400000,974.9,3
1500000,888.3,3
1600000,878.7,3
1700000,970.9,3
1800000,984.4,3
1900000,844.6,3
2000000,973.7,3
2100000,979.8,3
2200000,962.3,3
2300000,201.1,3
2400000,852.2,3
2500000,977.2,3
2600000,966.4,3
2700000,986.1,3
2800000,985.9,3
2900000,879.7,3
3000000,979.1,3
3100000,985.0,3
3200000,982.0,3
3300000,980.8,3
3400000,987.5,3
3500000,983.9,3
3600000,981.3,3
3700000,878.1,3
3800000,789.1,3
3900000,880.7,3
4000000,951.4,3
0,149.4,2
100000,96.3,2
200000,297.2,2
300000,390.0,2
400000,581.3,2
500000,589.5,2
600000,639.7,2
700000,863.0,2
800000,672.6,2
900000,868.8,2
1000000,770.2,2
1100000,863.4,2
1200000,973.5,2
1300000,939.5,2
1400000,959.5,2
1500000,967.4,2
1600000,985.2,2
1700000,882.9,2
1800000,980.4,2
1900000,983.7,2
2000000,984.9,2
2100000,983.9,2
2200000,967.4,2
2300000,984.6,2
2400000,983.6,2
2500000,972.0,2
2600000,980.3,2
2700000,982.9,2
2800000,882.3,2
2900000,928.5,2
3000000,979.1,2
3100000,978.2,2
3200000,976.0,2
3300000,885.2,2
3400000,987.6,2
3500000,983.2,2
3600000,984.6,2
3700000,977.5,2
3800000,982.3,2
3900000,981.5,2
4000000,972.0,2
0,86.9,1
100000,96.6,1
200000,349.7,1
300000,234.6,1
400000,397.9,1
500000,665.7,1
600000,772.0,1
700000,430.8,1
800000,655.0,1
900000,859.7,1
1000000,874.8,1
1100000,601.8,1
1200000,855.5,1
1300000,872.5,1
1400000,884.9,1
1500000,965.0,1
1600000,881.7,1
1700000,977.6,1
1800000,974.8,1
1900000,981.6,1
2000000,979.8,1
2100000,983.7,1
2200000,975.1,1
2300000,979.0,1
2400000,979.1,1
2500000,881.7,1
2600000,981.2,1
2700000,972.6,1
2800000,781.2,1
2900000,979.2,1
3000000,977.6,1
3100000,952.0,1
3200000,789.2,1
3300000,972.1,1
3400000,979.5,1
3500000,976.3,1
3600000,971.0,1
3700000,982.4,1
3800000,965.2,1
3900000,987.7,1
4000000,983.0,1
