step,reward,seed
0,86.4,3
100000,359.1,3
200000,397.7,3
300000,544.6,3
400000,530.9,3
500000,594.9,3
600000,739.4,3
700000,573.5,3
800000,764.7,3
900000,681.1,3
1000000,702.4,3
1100000,653.9,3
1200000,730.7,3
1300000,734.2,3
1400000,770.9,3
1500000,770.9,3
1600000,814.2,3
1700000,780.5,3
1800000,820.9,3
1900000,709.3,3
2000000,641.1,3
2100000,787.5,3
2200000,694.6,3
2300000,709.3,3
2400000,588.8,3
2500000,666.9,3
2600000,714.3,3
2700000,595.8,3
2800000,687.8,3
2900000,725.0,3
3000000,528.7,3
3100000,725.6,3
3200000,728.5,3
3300000,632.2,3
3400000,675.1,3
3500000,657.2,3
3600000,599.8,3
3700000,562.2,3
3800000,615.6,3
3900000,710.4,3
4000000,630.4,3
0,62.6,1
100000,286.4,1
200000,422.5,1
300000,430.7,1
400000,594.5,1
500000,755.9,1
600000,696.8,1
700000,608.2,1
800000,773.4,1
900000,795.2,1
1000000,767.7,1
1100000,682.5,1
1200000,793.3,1
1300000,761.5,1
1400000,804.7,1
1500000,671.5,1
1600000,775.1,1
1700000,783.8,1
1800000,658.2,1
1900000,571.4,1
2000000,511.2,1
2100000,513.7,1
2200000,524.6,1
2300000,438.1,1
2400000,671.0,1
2500000,727.9,1
2600000,662.6,1
2700000,693.6,1
2800000,747.0,1
2900000,726.5,1
3000000,720.1,1
3100000,668.1,1
3200000,762.8,1
3300000,696.2,1
3400000,589.2,1
3500000,645.6,1
3600000,808.4,1
3700000,636.5,1
3800000,753.6,1
3900000,800.8,1
4000000,670.2,1
0,59.8,2
100000,168.4,2
200000,416.4,2
300000,626.3,2
400000,608.8,2
500000,693.4,2
600000,714.4,2
700000,668.6,2
800000,738.6,2
900000,621.1,2
1000000,715.7,2
1100000,637.6,2
1200000,636.0,2
1300000,776.7,2
1400000,727.2,2
1500000,618.7,2
1600000,813.8,2
1700000,649.9,2
1800000,678.8,2
1900000,584.2,2
2000000,550.9,2
2100000,687.4,2
2200000,690.3,2
2300000,512.0,2
2400000,674.6,2
2500000,435.2,2
2600000,655.6,2
2700000,710.1,2
2800000,680.8,2
2900000,534.5,2
3000000,654.0,2
3100000,691.0,2
3200000,683.3,2
3300000,518.4,2
3400000,753.6,2
3500000,495.8,2
3600000,624.9,2
3700000,663.1,2
3800000,643.6,2
3900000,636.8,2
4000000,638.8,2
