step,reward,seed
0,0.0,3
100000,42.8,3
200000,859.7,3
300000,906.4,3
400000,824.1,3
500000,830.2,3
600000,929.4,3
700000,941.3,3
800000,931.3,3
900000,946.5,3
1000000,947.6,3
1100000,948.8,3
1200000,925.9,3
1300000,948.7,3
1400000,929.2,3
1500000,943.6,3
1600000,948.7,3
1700000,950.2,3
1800000,939.7,3
1900000,929.9,3
2000000,942.8,3
2100000,939.0,3
2200000,943.3,3
2300000,942.0,3
2400000,943.3,3
2500000,952.8,3
2600000,933.5,3
2700000,860.6,3
2800000,941.5,3
2900000,951.3,3
3000000,950.0,3
3100000,936.7,3
3200000,932.5,3
3300000,950.8,3
3400000,853.8,3
3500000,941.3,3
3600000,945.0,3
3700000,946.2,3
3800000,948.0,3
3900000,948.4,3
4000000,953.8,3
0,0.0,1
100000,571.3,1
200000,650.9,1
300000,678.1,1
400000,714.2,1
500000,748.0,1
600000,751.6,1
700000,783.0,1
800000,667.7,1
900000,777.0,1
1000000,755.3,1
1100000,754.2,1
1200000,754.6,1
1300000,781.1,1
1400000,687.4,1
1500000,743.9,1
1600000,771.4,1
1700000,745.8,1
1800000,756.4,1
1900000,749.4,1
2000000,777.5,1
2100000,682.1,1
2200000,733.6,1
2300000,763.3,1
2400000,763.2,1
2500000,779.6,1
2600000,748.3,1
2700000,714.3,1
2800000,713.0,1
2900000,678.1,1
3000000,772.4,1
3100000,717.6,1
3200000,617.5,1
3300000,429.9,1
3400000,684.1,1
3500000,646.0,1
3600000,547.4,1
3700000,454.7,1
3800000,253.1,1
3900000,601.5,1
4000000,198.9,1
0,0.5,2
100000,0.6,2
200000,477.4,2
300000,889.2,2
400000,888.2,2
500000,930.1,2
600000,945.9,2
700000,954.2,2
800000,938.2,2
900000,953.8,2
1000000,948.7,2
1100000,938.9,2
1200000,952.5,2
1300000,954.2,2
1400000,959.6,2
1500000,945.5,2
1600000,953.3,2
1700000,957.4,2
1800000,959.2,2
1900000,962.1,2
2000000,954.6,2
2100000,946.1,2
2200000,963.1,2
2300000,854.4,2
2400000,954.0,2
2500000,958.2,2
2600000,949.3,2
2700000,856.7,2
2800000,952.0,2
2900000,953.6,2
3000000,953.8,2
3100000,939.4,2
3200000,957.3,2
3300000,951.9,2
3400000,936.5,2
3500000,953.5,2
3600000,889.9,2
3700000,957.0,2
3800000,949.6,2
3900000,922.5,2
4000000,946.2,2
