step,reward,seed
0,0.0,3
100000,55.0,3
200000,158.5,3
300000,177.0,3
400000,235.4,3
500000,244.1,3
600000,274.9,3
700000,276.4,3
800000,264.1,3
900000,267.1,3
1000000,267.3,3
1100000,137.0,3
1200000,251.3,3
1300000,271.5,3
1400000,132.6,3
1500000,271.3,3
1600000,75.2,3
1700000,72.8,3
1800000,6.7,3
1900000,0.1,3
2000000,0.0,3
2100000,0.0,3
2200000,0.0,3
2300000,0.0,3
2400000,70.9,3
2500000,95.7,3
2600000,21.6,3
2700000,16.0,3
2800000,94.9,3
2900000,0.0,3
3000000,108.7,3
3100000,57.6,3
3200000,38.9,3
3300000,52.7,3
3400000,0.9,3
3500000,73.7,3
3600000,94.9,3
3700000,0.0,3
3800000,1.6,3
3900000,0.0,3
4000000,0.7,3
0,0.5,1
100000,1.8,1
200000,66.5,1
300000,139.1,1
400000,126.0,1
500000,166.2,1
600000,139.2,1
700000,105.5,1
800000,85.2,1
900000,184.2,1
1000000,130.3,1
1100000,184.5,1
1200000,100.1,1
1300000,115.2,1
1400000,66.5,1
1500000,252.7,1
1600000,94.7,1
1700000,129.5,1
1800000,182.0,1
1900000,219.7,1
2000000,159.2,1
2100000,11.2,1
2200000,137.8,1
2300000,2.6,1
2400000,14.8,1
2500000,4.0,1
2600000,0.3,1
2700000,162.8,1
2800000,138.0,1
2900000,153.8,1
3000000,5.1,1
3100000,65.1,1
3200000,11.8,1
3300000,0.4,1
3400000,1.5,1
3500000,171.9,1
3600000,161.3,1
3700000,107.8,1
3800000,183.8,1
3900000,6.1,1
4000000,1.5,1
0,0.0,2
100000,103.0,2
200000,220.8,2
300000,299.2,2
400000,333.1,2
500000,303.7,2
600000,497.2,2
700000,485.2,2
800000,534.2,2
900000,539.3,2
1000000,558.9,2
1100000,563.8,2
1200000,554.7,2
1300000,565.1,2
1400000,564.6,2
1500000,516.9,2
1600000,560.9,2
1700000,576.1,2
1800000,562.4,2
1900000,569.5,2
2000000,581.4,2
2100000,557.7,2
2200000,574.7,2
2300000,509.2,2
2400000,567.7,2
2500000,571.5,2
2600000,571.1,2
2700000,566.5,2
2800000,540.0,2
2900000,577.1,2
3000000,579.5,2
3100000,565.3,2
3200000,579.6,2
3300000,574.9,2
3400000,573.9,2
3500000,584.3,2
3600000,581.9,2
3700000,585.7,2
3800000,586.8,2
3900000,597.7,2
4000000,576.7,2
