step,reward,seed
0,1.6,3
100000,883.9,3
200000,940.3,3
300000,951.8,3
400000,844.4,3
500000,857.8,3
600000,942.6,3
700000,951.6,3
800000,939.5,3
900000,955.7,3
1000000,954.1,3
1100000,958.0,3
1200000,962.0,3
1300000,957.6,3
1400000,948.5,3
1500000,952.5,3
1600000,957.7,3
1700000,958.6,3
1800000,952.0,3
1900000,962.3,3
2000000,954.8,3
2100000,959.9,3
2200000,961.0,3
2300000,963.7,3
2400000,959.7,3
2500000,960.5,3
2600000,952.7,3
2700000,900.4,3
2800000,950.4,3
2900000,945.2,3
3000000,961.7,3
3100000,951.5,3
3200000,956.9,3
3300000,961.9,3
3400000,862.6,3
3500000,944.7,3
3600000,960.3,3
3700000,955.3,3
3800000,962.1,3
3900000,951.0,3
4000000,949.7,3
0,3.2,2
100000,6.5,2
200000,908.2,2
300000,944.9,2
400000,937.1,2
500000,950.3,2
600000,954.6,2
700000,959.7,2
800000,959.9,2
900000,965.3,2
1000000,948.3,2
1100000,943.6,2
1200000,961.1,2
1300000,953.5,2
1400000,953.1,2
1500000,954.8,2
1600000,966.5,2
1700000,959.7,2
1800000,961.8,2
1900000,970.5,2
2000000,961.5,2
2100000,930.9,2
2200000,964.4,2
2300000,867.9,2
2400000,966.4,2
2500000,958.9,2
2600000,953.9,2
2700000,948.7,2
2800000,940.0,2
2900000,959.0,2
3000000,962.9,2
3100000,958.0,2
3200000,959.6,2
3300000,964.9,2
3400000,954.3,2
3500000,961.3,2
3600000,935.7,2
3700000,975.4,2
3800000,942.2,2
3900000,954.1,2
4000000,946.1,2
0,2.3,1
100000,33.8,1
200000,257.7,1
300000,940.7,1
400000,953.4,1
500000,941.1,1
600000,953.2,1
700000,963.2,1
800000,854.3,1
900000,951.7,1
1000000,961.1,1
1100000,958.3,1
1200000,956.3,1
1300000,956.8,1
1400000,855.3,1
1500000,957.4,1
1600000,962.2,1
1700000,963.2,1
1800000,958.9,1
1900000,962.1,1
2000000,962.8,1
2100000,870.9,1
2200000,951.0,1
2300000,958.9,1
2400000,955.9,1
2500000,956.7,1
2600000,952.1,1
2700000,951.0,1
2800000,958.0,1
2900000,949.6,1
3000000,953.9,1
3100000,945.1,1
3200000,962.4,1
3300000,855.4,1
3400000,957.6,1
3500000,960.4,1
3600000,961.2,1
3700000,968.3,1
3800000,957.8,1
3900000,955.7,1
4000000,941.1,1
