step,reward,seed
0,1.0,2
100000,1.0,2
200000,12.4,2
300000,54.9,2
400000,87.5,2
500000,91.6,2
600000,128.1,2
700000,119.6,2
800000,147.0,2
900000,162.4,2
1000000,189.0,2
1100000,207.3,2
1200000,237.8,2
1300000,179.7,2
1400000,113.6,2
1500000,204.5,2
1600000,142.4,2
1700000,166.5,2
1800000,234.7,2
1900000,208.5,2
2000000,123.3,2
2100000,261.1,2
2200000,259.2,2
2300000,240.4,2
2400000,232.0,2
2500000,221.9,2
2600000,170.8,2
2700000,269.2,2
2800000,229.5,2
2900000,244.2,2
3000000,249.9,2
3100000,307.6,2
3200000,243.0,2
3300000,270.4,2
3400000,272.5,2
3500000,252.6,2
3600000,207.0,2
3700000,246.0,2
3800000,258.0,2
3900000,202.7,2
4000000,272.1,2
4100000,276.9,2
4200000,254.8,2
4300000,277.8,2
4400000,228.1,2
4500000,274.5,2
4600000,197.0,2
4700000,322.6,2
4800000,334.3,2
4900000,302.7,2
5000000,277.1,2
5100000,217.7,2
5200000,379.3,2
5300000,299.6,2
5400000,296.2,2
5500000,335.4,2
5600000,226.0,2
5700000,322.0,2
5800000,347.8,2
5900000,346.5,2
6000000,266.8,2
6100000,254.6,2
6200000,335.9,2
6300000,270.4,2
6400000,418.2,2
6500000,356.3,2
6600000,336.2,2
6700000,283.7,2
6800000,323.0,2
6900000,228.1,2
7000000,349.3,2
7100000,302.7,2
7200000,321.4,2
7300000,304.9,2
7400000,244.9,2
7500000,370.2,2
7600000,298.3,2
7700000,351.2,2
7800000,366.1,2
7900000,308.2,2
8000000,428.2,2
8100000,319.5,2
8200000,380.1,2
8300000,363.4,2
8400000,403.7,2
8500000,265.8,2
8600000,355.0,2
8700000,361.6,2
8800000,329.9,2
8900000,293.2,2
9000000,349.6,2
9100000,318.0,2
9200000,412.7,2
9300000,361.7,2
9400000,412.6,2
9500000,329.4,2
9600000,406.2,2
9700000,330.3,2
9800000,385.2,2
9900000,260.2,2
10000000,341.8,2
10100000,396.8,2
10200000,390.1,2
10300000,450.4,2
10400000,421.0,2
10500000,371.8,2
10600000,374.0,2
10700000,386.4,2
10800000,343.0,2
10900000,313.7,2
11000000,305.0,2
11100000,322.1,2
11200000,325.5,2
11300000,312.5,2
11400000,399.6,2
11500000,304.8,2
11600000,325.7,2
11700000,236.9,2
11800000,386.3,2
11900000,414.5,2
12000000,285.9,2
12100000,357.3,2
12200000,270.6,2
12300000,379.9,2
12400000,381.3,2
12500000,391.5,2
12600000,359.8,2
12700000,364.3,2
12800000,358.7,2
12900000,295.8,2
13000000,319.9,2
13100000,322.1,2
13200000,369.7,2
13300000,364.9,2
13400000,394.6,2
13500000,357.7,2
13600000,326.6,2
13700000,349.6,2
13800000,395.1,2
13900000,317.5,2
14000000,339.7,2
0,0.7,3
100000,0.8,3
200000,7.4,3
300000,53.2,3
400000,99.4,3
500000,107.9,3
600000,111.3,3
700000,123.6,3
800000,201.4,3
900000,226.2,3
1000000,235.9,3
1100000,193.1,3
1200000,194.3,3
1300000,316.3,3
1400000,216.5,3
1500000,275.9,3
1600000,332.0,3
1700000,192.8,3
1800000,302.4,3
1900000,327.8,3
2000000,332.4,3
2100000,207.2,3
2200000,392.9,3
2300000,279.5,3
2400000,375.8,3
2500000,295.1,3
2600000,361.6,3
2700000,402.3,3
2800000,368.1,3
2900000,345.4,3
3000000,310.4,3
3100000,422.6,3
3200000,336.9,3
3300000,375.7,3
3400000,417.9,3
3500000,409.1,3
3600000,346.4,3
3700000,325.3,3
3800000,424.5,3
3900000,424.4,3
4000000,393.0,3
4100000,396.9,3
4200000,405.5,3
4300000,479.8,3
4400000,463.2,3
4500000,448.3,3
4600000,467.9,3
4700000,423.1,3
4800000,387.9,3
4900000,462.1,3
5000000,159.2,3
5100000,304.1,3
5200000,393.7,3
5300000,478.7,3
5400000,438.6,3
5500000,417.4,3
5600000,389.2,3
5700000,213.1,3
5800000,86.5,3
5900000,365.5,3
6000000,406.9,3
6100000,383.4,3
6200000,305.6,3
6300000,328.5,3
6400000,485.1,3
6500000,315.2,3
6600000,444.3,3
6700000,497.6,3
6800000,437.9,3
6900000,361.8,3
7000000,341.5,3
7100000,430.9,3
7200000,456.4,3
7300000,205.3,3
7400000,466.6,3
7500000,436.9,3
7600000,470.3,3
7700000,482.4,3
7800000,476.4,3
7900000,477.3,3
8000000,333.7,3
8100000,499.2,3
8200000,204.7,3
8300000,471.2,3
8400000,422.9,3
8500000,489.1,3
8600000,499.2,3
8700000,512.4,3
8800000,354.7,3
8900000,494.2,3
9000000,489.0,3
9100000,505.7,3
9200000,314.4,3
9300000,397.2,3
9400000,480.2,3
9500000,398.3,3
9600000,51.7,3
9700000,438.0,3
9800000,419.9,3
9900000,386.5,3
10000000,413.2,3
10100000,224.6,3
10200000,468.2,3
10300000,164.7,3
10400000,469.6,3
10500000,505.8,3
10600000,400.8,3
10700000,406.4,3
10800000,511.3,3
10900000,473.4,3
11000000,461.9,3
11100000,482.9,3
11200000,329.4,3
11300000,442.6,3
11400000,435.4,3
11500000,470.3,3
11600000,286.4,3
11700000,434.1,3
11800000,456.5,3
11900000,486.4,3
12000000,418.6,3
12100000,325.9,3
12200000,430.4,3
12300000,407.9,3
12400000,461.9,3
12500000,484.9,3
12600000,447.3,3
12700000,480.9,3
12800000,396.9,3
12900000,519.1,3
13000000,426.4,3
13100000,455.8,3
13200000,471.3,3
13300000,508.3,3
13400000,469.6,3
13500000,499.1,3
13600000,477.0,3
13700000,263.6,3
13800000,465.0,3
13900000,344.1,3
14000000,469.2,3
0,1.0,1
